world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/italy/sicily/trapani,Trapani,Trapani,7,70,see,Church of Saint Mary of Itria,0.74,candidate,has coordinates; has description; high-value type; strong travel term,38.01787,12.512386,Palazzo Senatorio,europe/italy/sicily/trapani/palazzo_senatorio,0.633,0.367,0.325,needs_external_source,,https://en.wikivoyage.org/wiki/Trapani
asia/bangladesh/chittagong,Chittagong,Chittagong,15,149,see,Faujdarhat Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,22.400198,91.7456084,Sadarghat,asia/bangladesh/chittagong/sadarghat,0.56,11.445,11.746,needs_external_source,,https://en.wikivoyage.org/wiki/Chittagong
northamerica/unitedstates/oregon/florence,Florence,Florence (Oregon),9,12,see,Old Town,0.74,candidate,has coordinates; has description; high-value type; strong travel term,43.9709483,-124.1095695,Old Town Florence,northamerica/unitedstates/oregon/florence/old_town_florence,0.64,0.685,1.513,needs_external_source,,https://en.wikivoyage.org/wiki/Florence_%28Oregon%29
europe/germany/lowersaxony/east_frisian_islands/wangerooge,Wangerooge,Wangerooge,6,5,see,Island Museum Old Lighthouse,0.74,candidate,has coordinates; has description; high-value type; strong travel term,53.78879,7.89925,Old Lighthouse,europe/germany/lowersaxony/east_frisian_islands/wangerooge/old_lighthouse,0.667,0.439,2.373,needs_external_source,,https://en.wikivoyage.org/wiki/Wangerooge
europe/norway/kristiansand,Kristiansand,Kristiansand,20,80,see,Kristiansand Dyrepark,0.74,candidate,has coordinates; has description; high-value type; strong travel term,58.1846,8.1473,Kristiansand Cathedral,europe/norway/kristiansand/kristiansand_cathedral,0.698,9.921,9.845,needs_external_source,,https://en.wikivoyage.org/wiki/Kristiansand
africa/kenya/thecoast/lamu,Lamu,Lamu,13,25,do,Takwa Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-2.2883,40.9694,Shela Beach,africa/kenya/thecoast/lamu/shela_beach,0.636,6.183,7.933,needs_external_source,,https://en.wikivoyage.org/wiki/Lamu
asia/india/andhrapradesh/visakhapatnam,Visakhapatnam,Visakhapatnam,11,44,do,Lumbini Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,17.741196,83.344157,Shivaji Park,asia/india/andhrapradesh/visakhapatnam/shivaji_park,0.583,2.978,7.644,needs_external_source,,https://en.wikivoyage.org/wiki/Visakhapatnam
asia/uzbekistan/tashkent,Tashkent,Tashkent,41,109,see,Museum of Telecommunication of Uzbekistan,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.3231,69.2529,State Museum of History of Uzbekistan,asia/uzbekistan/tashkent/state_museum_of_history,0.692,1.895,2.467,needs_external_source,,https://en.wikivoyage.org/wiki/Tashkent
southamerica/argentina/bahiablanca,Bahía Blanca,Bahía Blanca,9,8,see,Museum of Art,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-38.71292,-62.262148,Museo del Puerto,southamerica/argentina/bahiablanca/museo_del_puerto,0.64,7.739,0.601,needs_external_source,,https://en.wikivoyage.org/wiki/Bah%C3%ADa_Blanca
asia/china/innermongolia/hohhot,Hohhot,Hohhot,49,25,see,Tomb of Princess Zhaojun,0.74,candidate,has coordinates; has description; high-value type; strong travel term,40.709728,111.683358,Mausoleum of Wang Zhaojun,asia/china/innermongolia/hohhot/zhaojun_tomb,0.571,11.294,11.85,needs_external_source,,https://en.wikivoyage.org/wiki/Hohhot
africa/angola/lubango,Lubango,Lubango,10,9,see,Fenda da Tundavala,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-14.81606,13.38067,Tundavala Gap (Fenda da Tundavala),africa/angola/lubango/tundavala_gap,0.581,5.222,16.428,needs_external_source,,https://en.wikivoyage.org/wiki/Lubango
asia/thailand/chantaburi/chanta_buri,Chantaburi,Chanthaburi,14,20,see,Taksin Maharat Memorial,0.74,candidate,has coordinates; has description; high-value type; strong travel term,12.6052,102.1059,Gem Market,asia/thailand/chantaburi/chanta_buri/gem_market,0.674,0.326,0.72,needs_external_source,,https://en.wikivoyage.org/wiki/Chanthaburi
asia/india/maharashtra/alibag,Alibag,Alibag,5,6,see,Mandwa Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,18.803,72.882,Kashid Beach,asia/india/maharashtra/alibag/kashid_beach,0.667,40.275,17.04,needs_external_source,,https://en.wikivoyage.org/wiki/Alibag
asia/china/fujianprovince/fuzhou,Fuzhou,Fuzhou,9,76,see,Hualin Temple,0.74,candidate,has coordinates; has description; high-value type; strong travel term,26.10364,119.29207,Yongquan Temple,asia/china/fujianprovince/fuzhou/yongquan_temple,0.714,9.891,2.907,needs_external_source,,https://en.wikivoyage.org/wiki/Fuzhou
asia/thailand/sukhothai,Sukhothai,Sukhothai,12,72,see,Wat Ton Chan,0.74,candidate,has coordinates; has description; high-value type; strong travel term,17.003053,99.71007,Wat Chang Lom,asia/thailand/sukhothai/wat_chang_lom,0.64,48.143,1.888,needs_external_source,,https://en.wikivoyage.org/wiki/Sukhothai
asia/iran/tabriz,Tabriz,Tabriz,25,46,do,Hike in El-Goli Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,38.0224,46.3688,El Goli (Shah Goli) Park,asia/iran/tabriz/el_goli_park,0.692,3.883,8.446,needs_external_source,,https://en.wikivoyage.org/wiki/Tabriz
asia/china/liaoning/shenyang,Shenyang,Shenyang,6,59,see,Fuling,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.83293,123.58351,Fuling Tomb (East Tomb),asia/china/liaoning/shenyang/fuling_tomb,0.706,3.555,13.329,needs_external_source,,https://en.wikivoyage.org/wiki/Shenyang
