world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,see,Stalin era architecture,0.59,candidate,has description; high-value type; strong travel term,,,Auerbachs Keller,europe/germany/saxony/leipzig/auerbachs_keller,0.41,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Leipzig,candidate score 0.59 is below the 6.0 POI threshold
asia/india/himachalpradesh/dalhousie,Dalhousie,Dalhousie (India),0,16,see,Dainkund Walk,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dalhousie_%28India%29,candidate score 0.59 is below the 6.0 POI threshold
australiaandpacific/australia/queensland/townsville,Townsville,Townsville,7,65,see,Ross River,0.59,candidate,has description; high-value type; strong travel term,,,Reef HQ Aquarium,australiaandpacific/australia/queensland/townsville/reef_hq_aquarium,0.308,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Townsville,candidate score 0.59 is below the 6.0 POI threshold
asia/india/goa/oldgoa,Old Goa,Old Goa,7,11,see,Sound and Light Gallery Museum,0.59,candidate,has description; high-value type; strong travel term,,,Archaeological Museum and Portrait Gallery,asia/india/goa/oldgoa/archaeological_museum,0.472,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Old_Goa,candidate score 0.59 is below the 6.0 POI threshold
northamerica/mexico/yucatan/chichen_itza,Chichen Itza,Chichen Itza,0,27,see,Old Chichen,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chichen_Itza,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/florida/gainesville,Gainesville,Gainesville (Florida),8,43,do,Ginnie Springs Outdoors,0.59,candidate,has description; high-value type; strong travel term,,,Samuel P. Harn Museum of Art,northamerica/unitedstates/florida/gainesville/harn_museum_of_art,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gainesville_%28Florida%29,candidate score 0.59 is below the 6.0 POI threshold
asia/laos/savannakhet,Savannakhet,Savannakhet,4,32,do,Boat Racing Festival,0.59,candidate,has description; high-value type; strong travel term,,,That Ing Hang Stupa,asia/laos/savannakhet/thatinghang,0.513,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Savannakhet,candidate score 0.59 is below the 6.0 POI threshold
europe/ukraine/donetsk,Donetsk,Donetsk,12,124,see,Degtyarevu Vladimiru Ivanovichu Monument,0.59,candidate,has description; high-value type; strong travel term,,,To Donbas Liberators Monument,europe/ukraine/donetsk/to_donbas_liberators_monument,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Donetsk,candidate score 0.59 is below the 6.0 POI threshold
northamerica/canada/ontario/hamilton,Hamilton,Hamilton (Ontario),18,97,see,Waterfront,0.59,candidate,has description; high-value type; strong travel term,,,Bayfront Park,northamerica/canada/ontario/hamilton/bayfront_park,0.522,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hamilton_%28Ontario%29,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/missouri/joplin,Joplin,Joplin,5,13,see,Historic Homes,0.59,candidate,has description; high-value type; strong travel term,,,Joplin Downtown Historic District,northamerica/unitedstates/missouri/joplin/joplin_downtown_historic_district,0.426,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Joplin,candidate score 0.59 is below the 6.0 POI threshold
africa/southafrica/portelizabeth,Port Elizabeth,Port Elizabeth,10,66,do,Roseate Tern hiking trail,0.59,candidate,has description; high-value type; strong travel term,,,The Horse Memorial,africa/southafrica/portelizabeth/horse_memorial,0.462,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Port_Elizabeth,candidate score 0.59 is below the 6.0 POI threshold
