world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/shanxiprovince/datong,Datong,Datong,5,31,see,City Walls,0.85,candidate,has coordinates; has description; high-value type,40.092168,113.305887,Nine Dragon Screen,asia/china/shanxiprovince/datong/nine_dragon_screen,0.286,0.936,0.904,needs_external_source,,https://en.wikivoyage.org/wiki/Datong
asia/japan/honshu/shimonoseki,Shimonoseki,Shimonoseki,10,33,see,Sumiyoshi-jinja,0.85,candidate,has coordinates; has description; high-value type,33.9996,130.95656,Sushi Hiryu,asia/japan/honshu/shimonoseki/sushi_hiryu,0.538,5.086,4.862,needs_external_source,,https://en.wikivoyage.org/wiki/Shimonoseki
australiaandpacific/northernmarianaislands/saipan,Saipan,Saipan,10,35,do,Marianas Trekking,0.85,candidate,has coordinates; has description; high-value type,15.265014,145.788372,Hachiman Shrine,australiaandpacific/northernmarianaislands/saipan/hachiman_shrine,0.375,9.899,9.804,needs_external_source,,https://en.wikivoyage.org/wiki/Saipan
europe/france/around_paris/versailles,Versailles,Versailles,52,27,see,Arboretum de Chèvreloup,0.85,candidate,has coordinates; has description; high-value type,48.830278,2.111667,Royal Chapel,europe/france/around_paris/versailles/chapelle_royale,0.438,2.915,3.17,needs_external_source,,https://en.wikivoyage.org/wiki/Versailles
asia/china/anhui/hefei,Hefei,Hefei,15,55,see,Emerald Lake scenic area,0.85,candidate,has coordinates; has description; high-value type,31.7716,117.187,Shushan Lake Wetland Park,asia/china/anhui/hefei/shushan_lake_wetland,0.49,11.251,13.95,needs_external_source,,https://en.wikivoyage.org/wiki/Hefei
asia/malaysia/kotakinabalu,Kota Kinabalu,Kota Kinabalu,15,115,see,Kokol Hills,0.85,candidate,has coordinates; has description; high-value type,5.988294,116.212914,Lok Kawi Wildlife Park,asia/malaysia/kotakinabalu/lok_kawi_wildlife_park,0.364,26.057,15.526,needs_external_source,,https://en.wikivoyage.org/wiki/Kota_Kinabalu
europe/portugal/setubal,Setúbal,Setúbal,13,47,see,7ª Bataria do Outão - Coastal Battery,0.85,candidate,has coordinates; has description; high-value type,38.48936,-8.93802,Arrábida Natural Park,europe/portugal/setubal/arrabida_natural_park,0.436,3.998,5.493,needs_external_source,,https://en.wikivoyage.org/wiki/Set%C3%BAbal
europe/switzerland/chur,Chur,Chur,5,12,see,Turnerwiese,0.85,candidate,has coordinates; has description; high-value type,46.85689,9.53337,Bündner Kunstmuseum,europe/switzerland/chur/bundner_kunstmuseum,0.374,0.626,0.565,needs_external_source,,https://en.wikivoyage.org/wiki/Chur
europe/sweden/karlskrona,Karlskrona,Karlskrona,12,20,see,Stakholm,0.85,candidate,has coordinates; has description; high-value type,56.164051,15.576605,Björkholmen,europe/sweden/karlskrona/bjorkholmen,0.526,0.811,0.658,needs_external_source,,https://en.wikivoyage.org/wiki/Karlskrona
asia/india/kerala/munnar,Munnar,Munnar,5,54,see,Kundala Lake,0.85,candidate,has coordinates; has description; high-value type,10.1454,77.2023,Mattupetty Dam and Lake,asia/india/kerala/munnar/mattupetty_dam,0.514,9.615,16.867,needs_external_source,,https://en.wikivoyage.org/wiki/Munnar
northamerica/unitedstates/california/centralcoast/santabarbara,Santa Barbara,Santa Barbara,28,107,see,Upper East Side,0.85,candidate,has coordinates; has description; high-value type,34.43387,-119.7126,Lobero Theatre,northamerica/unitedstates/california/centralcoast/santabarbara/lobero_theatre,0.483,1.794,1.592,needs_external_source,,https://en.wikivoyage.org/wiki/Santa_Barbara
southamerica/brazil/ouropreto,Ouro Preto,Ouro Preto,15,48,see,Capela Do Bom Jesus das Cabeças ou De São Miguel E Almas,0.85,candidate,has coordinates; has description; high-value type,-20.3822,-43.5162,Capela do Padre Faria,southamerica/brazil/ouropreto/capela_padre_faria,0.432,2.357,1.367,needs_external_source,,https://en.wikivoyage.org/wiki/Ouro_Preto
europe/unitedkingdom/northernireland/derry,Derry,Derry,10,35,see,Grianan of Aileach,0.85,candidate,has coordinates; has description; high-value type,55.016667,-7.433333,Ebrington Square,europe/unitedkingdom/northernireland/derry/ebrington_square,0.412,8.076,7.443,needs_external_source,,https://en.wikivoyage.org/wiki/Derry
europe/russia/ural/ekaterinburg,Ekaterinburg,Yekaterinburg,11,72,see,Uktus,0.85,candidate,has coordinates; has description; high-value type,56.7772,60.6238,Ural Geological Museum,europe/russia/ural/ekaterinburg/geological_museum,0.222,7.04,6.927,needs_external_source,,https://en.wikivoyage.org/wiki/Yekaterinburg
asia/india/andhrapradesh/visakhapatnam,Visakhapatnam,Visakhapatnam,11,44,see,Dolphin's Nose Lighthouse,0.85,candidate,has coordinates; has description; high-value type,17.676419,83.292719,Lepakshi Emporium,asia/india/andhrapradesh/visakhapatnam/lepakshi_emporium,0.381,4.144,1.906,needs_external_source,,https://en.wikivoyage.org/wiki/Visakhapatnam
europe/ukraine/kharkiv,Kharkiv,Kharkiv,13,157,see,Piskunov Apartment house,0.85,candidate,has coordinates; has description; high-value type,50.0063,36.2509,Kharkiv Art Museum,europe/ukraine/kharkiv/kharkiv_art_museum,0.476,1.194,2.106,needs_external_source,,https://en.wikivoyage.org/wiki/Kharkiv
europe/spain/spanishcostas/denia,Dénia,Dénia,3,33,see,Ermita de Santa Paula,0.85,candidate,has coordinates; has description; high-value type,38.8307,0.09,Dénia Castle,europe/spain/spanishcostas/denia/denia_castle,0.4,2.049,1.794,needs_external_source,,https://en.wikivoyage.org/wiki/D%C3%A9nia
europe/unitedkingdom/england/eastern_england/luton,Luton,Luton,7,14,see,Shaw's Corner,0.85,candidate,has coordinates; has description; high-value type,51.83434,-0.26709,Stockwood Discovery Centre,europe/unitedkingdom/england/eastern_england/luton/stockwood_discovery_centre,0.41,11.119,12.428,needs_external_source,,https://en.wikivoyage.org/wiki/Luton
asia/india/karnataka/hampi,Hampi,Hampi,10,26,see,Sanapur Lake,0.85,candidate,has coordinates; has description; high-value type,15.3574,76.4348,Matanga Hill,asia/india/karnataka/hampi/matanga_hill,0.417,3.922,3.698,needs_external_source,,https://en.wikivoyage.org/wiki/Hampi
europe/hungary/esztergom,Esztergom,Esztergom,6,86,see,The equestrian statue of Vak Bottyán,0.85,candidate,has coordinates; has description; high-value type,47.77765,18.74551,Christian Museum,europe/hungary/esztergom/christian_museum,0.333,2.348,0.976,needs_external_source,,https://en.wikivoyage.org/wiki/Esztergom
asia/india/punjab/amritsar,Amritsar,Amritsar,10,63,see,Statue of Netaji,0.85,candidate,has coordinates; has description; high-value type,31.6404,74.878,Kanha Sweets,asia/india/punjab/amritsar/kanha_sweets,0.286,2.132,0.893,needs_external_source,,https://en.wikivoyage.org/wiki/Amritsar
asia/india/uttarpradesh/agra,Agra,Agra,28,60,see,Hazrat Ahmad Shah Bukhari Rahmatullah Aleh Dargah,0.85,candidate,has coordinates; has description; high-value type,27.176893,78.048385,Taj Mahal,asia/india/uttarpradesh/agra/tajmahal,0.344,0.656,3.82,needs_external_source,,https://en.wikivoyage.org/wiki/Agra
europe/ukraine/vinnista,Vinnytsia,Vinnytsia,7,92,see,Gymnasium,0.85,candidate,has coordinates; has description; high-value type,49.2345,28.46,Roshen Fountain,europe/ukraine/vinnista/roshen_fountain,0.385,0.615,0.615,needs_external_source,,https://en.wikivoyage.org/wiki/Vinnytsia
europe/serbia/kosovoprovince/peja,Peja,Peja,8,64,see,Karstic river spring,0.85,candidate,has coordinates; has description; high-value type,42.77068,20.40324,Patriarchate of Peć,europe/serbia/kosovoprovince/peja/patriarchate_of_pec,0.368,16.567,15.507,needs_external_source,,https://en.wikivoyage.org/wiki/Peja
europe/unitedkingdom/england/birmingham_and_west_midlands/leamingtonspa,Leamington Spa,Leamington Spa,11,22,see,Newbold Comyn,0.85,candidate,has coordinates; has description; high-value type,52.2915,-1.5124,Royal Spa Centre,europe/unitedkingdom/england/birmingham_and_west_midlands/leamingtonspa/royal_spa_centre,0.345,1.349,1.632,needs_external_source,,https://en.wikivoyage.org/wiki/Leamington_Spa
asia/india/uttarpradesh/agra,Agra,Agra,28,60,see,Great Idgah,0.85,candidate,has coordinates; has description; high-value type,27.169557,78.003396,Statue of Jhalkaribai,asia/india/uttarpradesh/agra/jhalkaribai_statue,0.493,0.507,0.897,needs_external_source,,https://en.wikivoyage.org/wiki/Agra
asia/myanmar/inlelake,Inle Lake,Inle Lake,1,42,see,Nga Hpe Kyaung (Jumping Cat Monastery),0.85,candidate,has coordinates; has description; high-value type,20.5167745,96.8955842,Shwe Inn Thein,asia/myanmar/inlelake/shwe_inn_thein,0.286,6.058,3.417,needs_external_source,,https://en.wikivoyage.org/wiki/Inle_Lake
asia/bangladesh/chittagong,Chittagong,Chittagong,15,149,see,Myanmar,0.85,candidate,has coordinates; has description; high-value type,22.326918,91.814028,Sadarghat,asia/bangladesh/chittagong/sadarghat,0.375,1.507,2.233,needs_external_source,,https://en.wikivoyage.org/wiki/Chittagong
asia/india/westbengal/digha,Digha,Digha,4,20,do,Dheusagar,0.85,candidate,has coordinates; has description; high-value type,21.61656,87.49845,Shankarpur Beach,asia/india/westbengal/digha/shankarpur_beach,0.32,7.338,1.246,needs_external_source,,https://en.wikivoyage.org/wiki/Digha
asia/iraq/mosul,Mosul,Mosul,11,34,see,Adad Gate,0.85,candidate,has coordinates; has description; high-value type,36.3747,43.1545,Dair Mar Elia,asia/iraq/mosul/dair_mar_elia,0.455,8.548,5.996,needs_external_source,,https://en.wikivoyage.org/wiki/Mosul
asia/turkmenistan/ashgabat,Ashgabat,Ashgabat,7,59,see,Jeitun archaeological site,0.85,candidate,has coordinates; has description; high-value type,38.103267,58.207401,Turkmen Cuisine,asia/turkmenistan/ashgabat/turkmen_cuisine,0.439,,18.565,needs_external_source,,https://en.wikivoyage.org/wiki/Ashgabat
europe/greece/thassos_island,Thassos,Thasos,14,112,do,Scala Maries,0.85,candidate,has coordinates; has description; high-value type,40.6395,24.5157,Alyki Ancient Marble Quarries,europe/greece/thassos_island/alyki_quarries,0.488,20.081,12.475,needs_external_source,,https://en.wikivoyage.org/wiki/Thasos
asia/northkorea/pyongyang,Pyongyang,Pyongyang,6,67,see,Arirang Mass Games,0.85,candidate,has coordinates; has description; high-value type,39.04962,125.7752,Mansudae Grand Monument,asia/northkorea/pyongyang/mansudae_monument,0.39,3.789,4.643,needs_external_source,,https://en.wikivoyage.org/wiki/Pyongyang
southamerica/brazil/belohorizonte,Belo Horizonte,Belo Horizonte,55,50,see,Alta Vila Tower,0.85,candidate,has coordinates; has description; high-value type,-19.98676,-43.94707,Santa Tereza,southamerica/brazil/belohorizonte/santa_tereza,0.519,8.799,7.126,needs_external_source,,https://en.wikivoyage.org/wiki/Belo_Horizonte
asia/srilanka/kandy,Kandy,Kandy,50,51,see,Commonwealth War Cemetery,0.85,candidate,has coordinates; has description; high-value type,7.281563,80.60839,Kandy Garrison Cemetery,asia/srilanka/kandy/kandy_garrison_cemetery,0.542,3.886,3.208,needs_external_source,,https://en.wikivoyage.org/wiki/Kandy
europe/estonia/rakvere,Rakvere,Rakvere,7,41,see,Uhtna Manor,0.85,candidate,has coordinates; has description; high-value type,59.39302,26.5679,Katariina Kelder,europe/estonia/rakvere/katariina_kelder,0.37,13.017,12.7,needs_external_source,,https://en.wikivoyage.org/wiki/Rakvere
europe/serbia/kosovoprovince/peja,Peja,Peja,8,64,see,Peja Baths,0.85,candidate,has coordinates; has description; high-value type,42.724821,20.393951,Old Çarshia (Bazaar),europe/serbia/kosovoprovince/peja/carsija,0.3,11.368,11.269,needs_external_source,,https://en.wikivoyage.org/wiki/Peja
northamerica/unitedstates/nevada/reno,Reno,Reno,15,64,see,California Ave,0.85,candidate,has coordinates; has description; high-value type,39.51444,-119.82744,Reno Arch,northamerica/unitedstates/nevada/reno/reno_arch,0.348,1.923,1.82,needs_external_source,,https://en.wikivoyage.org/wiki/Reno
southamerica/peru/arequipa,Arequipa,Arequipa,19,39,see,Mansión del Fundador,0.85,candidate,has coordinates; has description; high-value type,-16.4642,-71.5574,Yanahuara Mirador,southamerica/peru/arequipa/yanahuara_mirador,0.424,8.694,6.495,needs_external_source,,https://en.wikivoyage.org/wiki/Arequipa
