world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/portugal/castro_marim,Castro Marim,Castro Marim,4,13,see,Ermida de Santo António,0.7,candidate,has coordinates; has description; high-value type,37.2161,-7.4391,Forte de São Sebastião,europe/portugal/castro_marim/forte_de_sao_sebastiao,0.552,0.448,0.618,needs_external_source,,https://en.wikivoyage.org/wiki/Castro_Marim
europe/armenia/yerevan,Yerevan,Yerevan,53,133,do,Yerevan reservoir,0.7,candidate,has coordinates; has description; high-value type,40.1606,44.4799,Yerevan Opera Theatre,europe/armenia/yerevan/opera_house,0.579,4.231,3.369,needs_external_source,,https://en.wikivoyage.org/wiki/Yerevan
africa/angola/luanda,Luanda,Luanda,10,32,see,Agostinho Neto Mausoleum,0.7,candidate,has coordinates; has description; high-value type,-8.823789,13.218918,National Slavery Museum,africa/angola/luanda/slavery_museum,0.553,8.946,2.778,needs_external_source,,https://en.wikivoyage.org/wiki/Luanda
asia/nepal/kathmandu,Kathmandu,Kathmandu,48,43,see,Bagamati Tripureswor Bridge,0.7,candidate,has coordinates; has description; high-value type,27.69213,85.31051,Bagmati Riverside Walk,asia/nepal/kathmandu/bagmati_riverside,0.612,0.996,2.055,needs_external_source,,https://en.wikivoyage.org/wiki/Kathmandu
northamerica/unitedstates/california/sanjose,San Jose,San Jose (California),6,114,see,Quetzalcoatl statue,0.7,candidate,has coordinates; has description; high-value type,37.331176,-121.88863,La Victoria Taqueria,northamerica/unitedstates/california/sanjose/la_victoria_taquer,0.594,0.406,0.581,needs_external_source,,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
africa/nigeria/benincity,Benin City,Benin City,10,37,do,Okomu National Park,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,6.243,5.2817,Ramat Park,africa/nigeria/benincity/ramat_park,0.552,38.588,39.512,has_external_url; day_trip_review,http://nigeriaparkservice.org/?p=152,https://en.wikivoyage.org/wiki/Benin_City
southamerica/brazil/manaus,Manaus,Manaus,48,62,see,Museu Do Seringal,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-2.9992,-60.1861,Museu do Índio,southamerica/brazil/manaus/museu_do_indio,0.667,23.117,26.98,has_external_url; day_trip_review,https://cultura.am.gov.br/portal/museu-do-seringal-vila-paraiso/,https://en.wikivoyage.org/wiki/Manaus
northamerica/unitedstates/nebraska/scottsbluff,Scotts Bluff,Scottsbluff,7,9,see,Agate Fossil Beds National Monument,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.4164,-103.728,Scotts Bluff National Monument,northamerica/unitedstates/nebraska/scottsbluff/scotts_bluff_national_monument,0.677,64.702,62.381,has_external_url; day_trip_review,https://www.nps.gov/agfo/,https://en.wikivoyage.org/wiki/Scottsbluff
asia/china/fujianprovince/tulou,Fujian Tulou,Fujian Tulou,3,16,see,Fujian Tulou Museum,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,24.7531381961,116.7494448839,Tianluokeng Tulou Cluster,asia/china/fujianprovince/tulou/tianluokeng_tulou_cluster,0.591,35.994,36.456,has_external_url; day_trip_review,http://www.fjtlbwg.com/,https://en.wikivoyage.org/wiki/Fujian_Tulou
europe/spain/centralspain/zamora,Zamora,Zamora (Spain),5,28,see,Iglesia de Santiago el Viejo,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.4997,-5.7583,Iglesia de la Magdalena,europe/spain/centralspain/zamora/iglesia_de_la_magdalena,0.564,26.267,25.734,has_external_url; day_trip_review,https://www.romanicozamora.es/es/monumentos/ver/santiago-de-los-caballeros/,https://en.wikivoyage.org/wiki/Zamora_%28Spain%29
northamerica/canada/ontario/wawa,Wawa,Wawa,4,21,do,Potholes Provincial Park,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.95708,-84.26916,Lake Superior Provincial Park,northamerica/canada/ontario/wawa/lake_superior_provincial_park,0.717,50.931,37.791,has_external_url; day_trip_review,https://www.ontarioparks.ca/park/potholes,https://en.wikivoyage.org/wiki/Wawa
northamerica/unitedstates/texas/fort_worth,Fort Worth,Fort Worth,24,85,see,C.R. Smith Aviation Museum,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.83258,-97.06322,Sid Richardson Museum,northamerica/unitedstates/texas/fort_worth/sid_richardson_museum,0.609,26.501,26.691,has_external_url; day_trip_review,http://www.crsmithmuseum.org,https://en.wikivoyage.org/wiki/Fort_Worth
europe/spain/aragon/teruel,Teruel,Teruel,8,13,see,Museo de Teruel,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.34412,-1.10628,Museo Provincial de Teruel,europe/spain/aragon/teruel/museo_provincial_teruel,0.686,32.652,32.455,has_external_url; day_trip_review,http://museo.deteruel.es/DPT/museoprovincial/home.nsf?OpenDatabase,https://en.wikivoyage.org/wiki/Teruel
northamerica/unitedstates/wyoming/sheridan,Sheridan,Sheridan,7,6,do,The Bighorn Mountains,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.3833,-107.167,Bighorn National Forest,northamerica/unitedstates/wyoming/sheridan/bighorn_national_forest,0.65,31.475,48.957,has_external_url; day_trip_review,http://www.bighornmountains.com/,https://en.wikivoyage.org/wiki/Sheridan
asia/china/shandong_province/jinan,Jinan,Jinan,65,109,see,Shandong Traditional Medicine Museum,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.5517,116.753,Shandong Revolutionary History Museum,asia/china/shandong_province/jinan/shandong_revolutionary_museum,0.658,24.985,25.448,has_external_url; day_trip_review,http://www.stcmchina.com/show-4-1-1.html,https://en.wikivoyage.org/wiki/Jinan
asia/china/hubei/shiyan,Shiyan,Shiyan,3,10,see,Wudang Museum,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.51709942,111.0769272,Dongfeng Museum,asia/china/hubei/shiyan/dongfeng_museum,0.714,32.332,28.988,has_external_url; day_trip_review,http://www.wudangmuseum.com/,https://en.wikivoyage.org/wiki/Shiyan
