world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/yunnanprovince/lijiang,Lijiang,Lijiang,8,36,see,Zhiyun Monastery,0.85,candidate,has coordinates; has description; high-value type,26.861637,100.100807,Mishi Naxi Restaurant,asia/china/yunnanprovince/lijiang/mishi_naxi_restaurant,0.432,13.108,12.32,needs_external_source,,https://en.wikivoyage.org/wiki/Lijiang
asia/india/gujarat/junagadh,Junagadh,Junagadh,6,45,see,Navghan Kuvo,0.85,candidate,has coordinates; has description; high-value type,21.523889,70.469167,Junagadh Museum,asia/india/gujarat/junagadh/junagadh_museum,0.444,1.154,0.94,needs_external_source,,https://en.wikivoyage.org/wiki/Junagadh
europe/finland/vantaa,Vantaa,Vantaa,4,103,see,Hakkila Stone Bridge,0.85,candidate,has coordinates; has description; high-value type,60.2957,25.066,Heureka Science Centre,europe/finland/vantaa/heureka,0.429,1.684,1.267,needs_external_source,,https://en.wikivoyage.org/wiki/Vantaa
europe/sweden/uppsala,Uppsala,Uppsala,18,180,do,Hammarskog mansion,0.85,candidate,has coordinates; has description; high-value type,59.7694,17.5618,Hambergs Fisk,europe/sweden/uppsala/hambergs_fisk,0.387,10.742,10.81,needs_external_source,,https://en.wikivoyage.org/wiki/Uppsala
europe/russia/vladivostok,Vladivostok,Vladivostok,14,56,see,Lighthouse at Egersheld cape,0.85,candidate,has coordinates; has description; high-value type,43.073174,131.84315,Primorye State Art Gallery,europe/russia/vladivostok/primorye_art_gallery,0.407,5.819,5.798,needs_external_source,,https://en.wikivoyage.org/wiki/Vladivostok
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,see,Rare & Racy,0.85,candidate,has coordinates; has description; high-value type,53.379692,-1.47938,Kelham Island,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/kelham_island,0.385,1.17,0.619,needs_external_source,,https://en.wikivoyage.org/wiki/Sheffield
asia/china/yunnanprovince/tengchong,Tengchong,Tengchong,5,25,see,Liu Family Ancestral Hall,0.85,candidate,has coordinates; has description; high-value type,25.007698341,98.4602716373,Heshun Ancient Town,asia/china/yunnanprovince/tengchong/heshun_ancient_town,0.364,0.744,2.527,needs_external_source,,https://en.wikivoyage.org/wiki/Tengchong
asia/india/gujarat/morbi,Morbi,Morbi,4,15,see,Mahaprabhuji Bethak,0.85,candidate,has coordinates; has description; high-value type,22.816622,70.845127,New Palace,asia/india/gujarat/morbi/new_palace,0.364,0.636,4.583,needs_external_source,,https://en.wikivoyage.org/wiki/Morbi
europe/italy/lombardia/como,Como,Como,10,35,see,Como Lago,0.85,candidate,has coordinates; has description; high-value type,45.814296,9.084104,Como Cathedral,europe/italy/lombardia/como/theduomo,0.522,11.91,11.91,needs_external_source,,https://en.wikivoyage.org/wiki/Como
europe/sweden/uppsala,Uppsala,Uppsala,18,180,do,Lyssnaängsbadet,0.85,candidate,has coordinates; has description; high-value type,59.783222476362,17.634453767157,Upplandsmuseet,europe/sweden/uppsala/upplandsmuseet,0.414,8.415,8.385,needs_external_source,,https://en.wikivoyage.org/wiki/Uppsala
europe/armenia/tzakhadzor,Tsaghkadzor,Tsaghkadzor,6,6,do,Snow Tubing,0.85,candidate,has coordinates; has description; high-value type,40.53472467028093,44.68595103055837,Makravank Monastery,europe/armenia/tzakhadzor/makravank_monastery,0.2,4.405,4.204,needs_external_source,,https://en.wikivoyage.org/wiki/Tsaghkadzor
europe/estonia/tallinn,Tallinn,Tallinn,57,163,see,Metsakalmistu Cemetery,0.85,candidate,has coordinates; has description; high-value type,59.47159,24.8712,Tallinn TV Tower,europe/estonia/tallinn/tallinn_tv_tower,0.421,2.249,7.486,needs_external_source,,https://en.wikivoyage.org/wiki/Tallinn
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/salisbury,Salisbury,Salisbury (England),11,35,do,Harnham Meadows,0.85,candidate,has coordinates; has description; high-value type,51.0592,-1.78592,Haunch of Venison,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/salisbury/haunch_of_venison,0.438,1.298,1.282,needs_external_source,,https://en.wikivoyage.org/wiki/Salisbury_%28England%29
asia/myanmar/mrauku,Mrauk-U,Mrauk U,11,21,see,Sunrise Hill,0.85,candidate,has coordinates; has description; high-value type,20.593882,93.1854,The Great Image,asia/myanmar/mrauku/the_great_image,0.348,,0.767,needs_external_source,,https://en.wikivoyage.org/wiki/Mrauk_U
europe/russia/kaliningrad,Kaliningrad,Kaliningrad,9,42,see,Victory Square,0.85,candidate,has coordinates; has description; high-value type,54.720072,20.500724,King's Gate,europe/russia/kaliningrad/kings_gate,0.4,2.355,1.028,needs_external_source,,https://en.wikivoyage.org/wiki/Kaliningrad
europe/germany/northrhinewestphalia/duisburg,Duisburg,Duisburg,8,22,see,Rathaus,0.85,candidate,has coordinates; has description; high-value type,51.43539,6.7613,Port of Duisburg (Duisport),europe/germany/northrhinewestphalia/duisburg/port_of_duisburg,0.348,1.905,0.128,needs_external_source,,https://en.wikivoyage.org/wiki/Duisburg
asia/china/sichuanprovince/dujiangyan,Dujiangyan,Dujiangyan,4,36,see,Nanqiao Riverside Night View,0.85,candidate,has coordinates; has description; high-value type,30.9879,103.6462,Dujiangyan Irrigation System,asia/china/sichuanprovince/dujiangyan/dujiangyan_irrigation_system,0.321,2.964,3.191,needs_external_source,,https://en.wikivoyage.org/wiki/Dujiangyan
europe/ukraine/donetsk,Donetsk,Donetsk,12,124,see,Bokhum of bell Copy,0.85,candidate,has coordinates; has description; high-value type,48.0162,37.8022,Donbass Palace Restaurant,europe/ukraine/donetsk/donbass_palace_restaurant,0.54,0.46,0.062,needs_external_source,,https://en.wikivoyage.org/wiki/Donetsk
asia/china/anhui/huaibei,Huaibei,Huaibei,5,33,do,Huaibei Sui‑Tang Grand Canal Ancient Town,0.85,candidate,has coordinates; has description; high-value type,33.95,116.8,Linhuan Ancient City Ruins,asia/china/anhui/huaibei/linhuan_ruins,0.448,5.566,2.224,needs_external_source,,https://en.wikivoyage.org/wiki/Huaibei
asia/china/henan_province/anyang,Anyang,Anyang,7,25,see,Yuan Shikai Tomb,0.85,candidate,has coordinates; has description; high-value type,36.125,114.3491,Huanbei Shang City,asia/china/henan_province/anyang/huanbei_shang_city,0.529,0.988,3.28,needs_external_source,,https://en.wikivoyage.org/wiki/Anyang
