world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/ohio/chillicothe,Chillicothe,Chillicothe (Ohio),5,37,do,Charity Bed Race,0.47,candidate,high-value type,,,Tecumseh! Outdoor Drama,northamerica/unitedstates/ohio/chillicothe/tecumseh_drama,0.263,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chillicothe_%28Ohio%29,candidate score 0.47 is below the 6.0 POI threshold
asia/china/beijing,Beijing,Beijing,50,94,see,Iran,0.47,candidate,high-value type,,,Bird's Nest (National Stadium),asia/china/beijing/birds_nest,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Beijing,candidate score 0.47 is below the 6.0 POI threshold
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,see,Guatemala,0.47,candidate,high-value type,,,South Pembina,northamerica/canada/manitoba/winnipeg/southpembina,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Winnipeg,candidate score 0.47 is below the 6.0 POI threshold
europe/denmark/copenhagen,Copenhagen,Copenhagen,101,98,see,Vest-Taxa,0.47,candidate,high-value type,,,Vesterbro Torv,europe/denmark/copenhagen/vesterbro_torv,0.522,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Copenhagen,candidate score 0.47 is below the 6.0 POI threshold
asia/indonesia/java/yogyakarta,Yogyakarta,Yogyakarta,16,99,do,France Consular Agency in Jogjakarta,0.47,candidate,high-value type,,,Sumur Gumuling,asia/indonesia/java/yogyakarta/sumur_gumuling,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yogyakarta,candidate score 0.47 is below the 6.0 POI threshold
europe/russia/vladivostok,Vladivostok,Vladivostok,14,56,see,Thailand,0.47,candidate,high-value type,,,Russky Island,europe/russia/vladivostok/russky_island,0.476,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vladivostok,candidate score 0.47 is below the 6.0 POI threshold
asia/malaysia/penang,Penang,Penang,10,9,see,Ambulance - Police - Fire,0.47,candidate,high-value type,,,Clan Jetties,asia/malaysia/penang/clan_jetties,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Penang,candidate score 0.47 is below the 6.0 POI threshold
asia/china/liaoning/panjin,Panjin,Panjin,3,11,see,First Sino-Japanese War Martyr Cemetery,0.47,candidate,high-value type,,,Panjin Crab and Rice,asia/china/liaoning/panjin/panjin_crab_and_rice,0.203,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Panjin,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/colorado/breckenridge,Breckenridge,Breckenridge (Colorado),15,40,see,Imperial Express SuperChair,0.47,candidate,high-value type,,,International Snow Sculpture Championships,northamerica/unitedstates/colorado/breckenridge/snow_sculptures,0.493,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Breckenridge_%28Colorado%29,candidate score 0.47 is below the 6.0 POI threshold
europe/russia/kaliningrad,Kaliningrad,Kaliningrad,9,42,see,Hungary and Slovenia,0.47,candidate,high-value type,,,Church of the Holy Family,europe/russia/kaliningrad/church_holy_family,0.341,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kaliningrad,candidate score 0.47 is below the 6.0 POI threshold
northamerica/canada/ontario/ottawa,Ottawa,Ottawa,23,271,see,Yemen,0.47,candidate,high-value type,,,The Glebe,northamerica/canada/ontario/ottawa/the_glebe,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ottawa,candidate score 0.47 is below the 6.0 POI threshold
asia/pakistan/karachi,Karachi,Karachi,50,197,see,Iraq,0.47,candidate,high-value type,,,Wazir Mansion,asia/pakistan/karachi/wazirmansion,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Karachi,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,see,Ceramics,0.47,candidate,high-value type,,,Rochester Public Market,northamerica/unitedstates/newyorkstate/rochester/rochester_public_market,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29,candidate score 0.47 is below the 6.0 POI threshold
australiaandpacific/fiji/vitilevu/lautoka,Lautoka,Lautoka,9,12,do,Mt Batilamu and Abaca Trekking,0.47,candidate,high-value type,,,Koroyanitu National Heritage Park,australiaandpacific/fiji/vitilevu/lautoka/koroyanitu_park,0.349,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lautoka,candidate score 0.47 is below the 6.0 POI threshold
australiaandpacific/australia/queensland/sunshinecoast,Sunshine Coast,Sunshine Coast,7,112,see,Mudjimba,0.47,candidate,high-value type,,,Mooloolaba,australiaandpacific/australia/queensland/sunshinecoast/mooloolaba,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sunshine_Coast,candidate score 0.47 is below the 6.0 POI threshold
southamerica/brazil/recife,Recife,Recife,34,154,see,RádioTáxi Recife,0.47,candidate,high-value type,,,Recife Antigo,southamerica/brazil/recife/recife_antigo,0.414,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Recife,candidate score 0.47 is below the 6.0 POI threshold
asia/china/liaoning/shenyang,Shenyang,Shenyang,6,59,see,North Korea,0.47,candidate,high-value type,,,September 18th History Museum,asia/china/liaoning/shenyang/nine_eighteen_museum,0.35,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Shenyang,candidate score 0.47 is below the 6.0 POI threshold
asia/indonesia/java/solo,Solo,Solo,20,80,see,Mahkota Ratu,0.47,candidate,high-value type,,,Pasar Triwindu,asia/indonesia/java/solo/pasar_triwindu,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Solo,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/illinois/chicago,Chicago,Chicago,152,132,see,Mongolia (Honorary),0.47,candidate,high-value type,,,Demon Dogs,northamerica/unitedstates/illinois/chicago/demon_dogs,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chicago,candidate score 0.47 is below the 6.0 POI threshold
northamerica/thecaribbean/haiti/portauprince,Port-au-Prince,Port-au-Prince,7,23,see,Bahamas,0.47,candidate,high-value type,,,Champs de Mars,northamerica/thecaribbean/haiti/portauprince/champs_de_mars,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Port-au-Prince,candidate score 0.47 is below the 6.0 POI threshold
europe/ireland/tralee,Tralee,Tralee,4,21,see,Castleisland,0.47,candidate,high-value type,,,Blennerville Windmill,europe/ireland/tralee/blennerville_windmill,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tralee,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/illinois/chicago,Chicago,Chicago,152,132,see,Argentina,0.47,candidate,high-value type,,,Lake Geneva,northamerica/unitedstates/illinois/chicago/lake_geneva,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chicago,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/colorado/vail,Vail,Vail,12,77,do,Gravity Jones Ski Werks,0.47,candidate,high-value type,,,Vail Ski Resort,northamerica/unitedstates/colorado/vail/vail_ski_resort,0.474,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vail,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/newyorkstate/new_paltz,New Paltz,New Paltz,17,19,do,Hike,0.47,candidate,high-value type,,,Mohonk Preserve,northamerica/unitedstates/newyorkstate/new_paltz/mohonk_preserve,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/New_Paltz,candidate score 0.47 is below the 6.0 POI threshold
europe/finland/helsinki,Helsinki,Helsinki,56,99,see,Tunisia,0.47,candidate,high-value type,,,Jugendsali,europe/finland/helsinki/jugendsali,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Helsinki,candidate score 0.47 is below the 6.0 POI threshold
europe/bulgaria/vratza,Vratsa,Vratsa,2,20,see,Hizhata (the Hut),0.47,candidate,high-value type,,,Sights,europe/bulgaria/vratza/sights,0.462,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vratsa,candidate score 0.47 is below the 6.0 POI threshold
asia/syria/palmyra,Palmyra,Palmyra,6,13,do,Camel ride,0.47,candidate,high-value type,,,Camp of Diocletian,asia/syria/palmyra/camp_of_diocletian,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Palmyra,candidate score 0.47 is below the 6.0 POI threshold
