world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,see,Stalin era architecture,0.59,candidate,has description; high-value type; strong travel term,,,Auerbachs Keller,europe/germany/saxony/leipzig/auerbachs_keller,0.41,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Leipzig
asia/india/himachalpradesh/dalhousie,Dalhousie,Dalhousie (India),0,16,see,Dainkund Walk,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dalhousie_%28India%29
australiaandpacific/australia/queensland/townsville,Townsville,Townsville,7,65,see,Ross River,0.59,candidate,has description; high-value type; strong travel term,,,Reef HQ Aquarium,australiaandpacific/australia/queensland/townsville/reef_hq_aquarium,0.308,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Townsville
asia/india/goa/oldgoa,Old Goa,Old Goa,7,11,see,Sound and Light Gallery Museum,0.59,candidate,has description; high-value type; strong travel term,,,Archaeological Museum and Portrait Gallery,asia/india/goa/oldgoa/archaeological_museum,0.472,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Old_Goa
northamerica/mexico/yucatan/chichen_itza,Chichen Itza,Chichen Itza,0,27,see,Old Chichen,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chichen_Itza
northamerica/unitedstates/florida/gainesville,Gainesville,Gainesville (Florida),8,43,do,Ginnie Springs Outdoors,0.59,candidate,has description; high-value type; strong travel term,,,Samuel P. Harn Museum of Art,northamerica/unitedstates/florida/gainesville/harn_museum_of_art,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gainesville_%28Florida%29
asia/laos/savannakhet,Savannakhet,Savannakhet,4,32,do,Boat Racing Festival,0.59,candidate,has description; high-value type; strong travel term,,,That Ing Hang Stupa,asia/laos/savannakhet/thatinghang,0.513,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Savannakhet
europe/ukraine/donetsk,Donetsk,Donetsk,12,124,see,Degtyarevu Vladimiru Ivanovichu Monument,0.59,candidate,has description; high-value type; strong travel term,,,To Donbas Liberators Monument,europe/ukraine/donetsk/to_donbas_liberators_monument,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Donetsk
northamerica/canada/ontario/hamilton,Hamilton,Hamilton (Ontario),18,97,see,Waterfront,0.59,candidate,has description; high-value type; strong travel term,,,Bayfront Park,northamerica/canada/ontario/hamilton/bayfront_park,0.522,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hamilton_%28Ontario%29
northamerica/unitedstates/missouri/joplin,Joplin,Joplin,5,13,see,Historic Homes,0.59,candidate,has description; high-value type; strong travel term,,,Joplin Downtown Historic District,northamerica/unitedstates/missouri/joplin/joplin_downtown_historic_district,0.426,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Joplin
africa/southafrica/portelizabeth,Port Elizabeth,Port Elizabeth,10,66,do,Roseate Tern hiking trail,0.59,candidate,has description; high-value type; strong travel term,,,The Horse Memorial,africa/southafrica/portelizabeth/horse_memorial,0.462,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Port_Elizabeth
asia/lebanon/tripoli,Tripoli,Tripoli (Lebanon),9,15,see,Lion Tower,0.59,candidate,has description; high-value type; strong travel term,,,Old City Souks,asia/lebanon/tripoli/old_city_souks,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tripoli_%28Lebanon%29
europe/germany/brandenburg/spreewald,Spreewald,Spreewald,7,19,see,Burglehn,0.59,candidate,has description; high-value type; strong travel term,,,Gurkenmuseum (Cucumber Museum),europe/germany/brandenburg/spreewald/gurkenmuseum,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Spreewald
africa/tunisia/dougga,Dougga,Dougga,9,14,see,Mosque.,0.59,candidate,has description; high-value type; strong travel term,,,Forum and Square of the Winds,africa/tunisia/dougga/forum,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dougga
asia/iraq/basra,Basra,Basra,6,29,see,Basrah Adventist church,0.59,candidate,has description; high-value type; strong travel term,,,Basra War Cemetery,asia/iraq/basra/basra_war_cemetery,0.488,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Basra
asia/china/liaoning/liaoyang,Liaoyang,Liaoyang,4,20,see,Hehuogou Provincial Level Forest Park,0.59,candidate,has description; high-value type; strong travel term,,,Dongjing City Site,asia/china/liaoning/liaoyang/dongjing_city_site,0.291,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Liaoyang
europe/greece/kalambaka,Kalambaka,Kalambaka,12,14,see,Theopetra Cave,0.59,candidate,has description; high-value type; strong travel term,,,Kastraki Village,europe/greece/kalambaka/kastraki_village,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kalambaka
africa/capeverde/fogo,Fogo,Fogo,5,7,do,La Salina,0.59,candidate,has description; high-value type; strong travel term,,,Chã das Caldeiras,africa/capeverde/fogo/cha_das_caldeiras,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fogo
europe/ukraine/kirovograd,Kropyvnytskyi,Kropyvnytskyi,5,42,see,Sacred Virgin (Rizdva Presviatoi Bohorodytsi) Cathedral,0.59,candidate,has description; high-value type; strong travel term,,,Fortress of Saint Elizabeth Earthworks,europe/ukraine/kirovograd/fortress_of_saint_elizabeth,0.361,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kropyvnytskyi
australiaandpacific/frenchpolynesia/moorea,Moorea,Moorea,13,21,see,Waterfalls,0.59,candidate,has description; high-value type; strong travel term,,,Pao Pao Village,australiaandpacific/frenchpolynesia/moorea/pao_pao,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moorea
asia/india/madhyapradesh/indore,Indore,Indore,7,60,see,Sapna- Sangeeta Road,0.59,candidate,has description; high-value type; strong travel term,,,Sarafa Bazaar,asia/india/madhyapradesh/indore/sarafa_bazaar,0.438,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Indore
northamerica/unitedstates/pennsylvania/harrisburg,Harrisburg,Harrisburg,6,44,see,Salem United Church of Christ,0.59,candidate,has description; high-value type; strong travel term,,,State Museum of Pennsylvania,northamerica/unitedstates/pennsylvania/harrisburg/state_museum,0.386,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Harrisburg
asia/india/punjab/chandigarh,Chandigarh,Chandigarh,21,37,see,National Gallery of Portraits,0.59,candidate,has description; high-value type; strong travel term,,,Chandigarh College of Architecture,asia/india/punjab/chandigarh/chandigarh_college_architecture,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chandigarh
northamerica/unitedstates/delaware/rehobothbeach,Rehoboth Beach,Rehoboth Beach,9,43,see,Anna Hazzard Museum,0.59,candidate,has description; high-value type; strong travel term,,,Tanger Outlets,northamerica/unitedstates/delaware/rehobothbeach/tanger_outlets,0.242,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Rehoboth_Beach
northamerica/mexico/villahermosa,Villahermosa,Villahermosa,6,17,see,Galería de Arte El Jaguar Despertado,0.59,candidate,has description; high-value type; strong travel term,,,Parque-Museo La Venta,northamerica/mexico/villahermosa/parque_museo_la_venta,0.391,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Villahermosa
europe/slovenia/piran,Piran,Piran,14,26,do,Swim,0.59,candidate,has description; high-value type; strong travel term,,,Fiesa,europe/slovenia/piran/fiesa,0.222,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Piran
northamerica/unitedstates/idaho/twinfalls,Twin Falls,Twin Falls,9,22,do,Viki Le Fevre Mountain Bike Skills Park,0.59,candidate,has description; high-value type; strong travel term,,,The Anchor Bistro and Bar,northamerica/unitedstates/idaho/twinfalls/the_anchor_bistro,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Twin_Falls
northamerica/unitedstates/indiana/south_bend,South Bend,South Bend,9,77,do,St. Patrick's County Park,0.59,candidate,has description; high-value type; strong travel term,,,Studebaker National Museum,northamerica/unitedstates/indiana/south_bend/studebaker_national_museum,0.36,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/South_Bend
asia/taiwan/tainan,Tainan,Tainan,18,56,see,Museum of Archaeology,0.59,candidate,has description; high-value type; strong travel term,,,National Museum of Taiwan Literature,asia/taiwan/tainan/national_museum_of_taiwan_literature,0.456,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tainan
europe/denmark/ribe,Ribe,Ribe,21,34,see,The old town hall,0.59,candidate,has description; high-value type; strong travel term,,,The Long Ships,europe/denmark/ribe/the_long_ships,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ribe
europe/romania/deva,Deva,Deva,8,33,see,Synagogue,0.59,candidate,has description; high-value type; strong travel term,,,Piața Victoriei,europe/romania/deva/piata_victoriei,0.273,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Deva
europe/spain/andalucia/sanlcar,Sanlúcar de Barrameda,Sanlúcar de Barrameda,7,15,do,Parque Nacional de Doñana,0.59,candidate,has description; high-value type; strong travel term,,,Palacio Ducal de Medina Sidonia,europe/spain/andalucia/sanlcar/palacio_ducal_medina_sidonia,0.48,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sanl%C3%BAcar_de_Barrameda
northamerica/unitedstates/pennsylvania/harrisburg,Harrisburg,Harrisburg,6,44,see,Cathedral of Saint Patrick,0.59,candidate,has description; high-value type; strong travel term,,,Riverfront Park,northamerica/unitedstates/pennsylvania/harrisburg/riverfront_park,0.439,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Harrisburg
asia/china/gansu/tianshui,Tianshui,Tianshui,4,27,see,Maijishan National Park,0.59,candidate,has description; high-value type; strong travel term,,,Wushan Water Curtain Caves,asia/china/gansu/tianshui/wushan_water_curtain_caves,0.327,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tianshui
northamerica/unitedstates/southcarolina/beaufort,Beaufort,Beaufort (South Carolina),15,16,do,Taste of Beaufort,0.59,candidate,has description; high-value type; strong travel term,,,Haint Blue Porches,northamerica/unitedstates/southcarolina/beaufort/haint_blue_porches,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Beaufort_%28South_Carolina%29
europe/greece/skyros,Skyros,Skyros,8,39,do,Boat trips,0.59,candidate,has description; high-value type; strong travel term,,,Grave of Rupert Brooke,europe/greece/skyros/rupert_brooke_grave,0.25,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Skyros
europe/spain/puigcerd,Puigcerdà,Puigcerdà,10,6,see,Church of Sant Tomàs de Ventajola,0.59,candidate,has description; high-value type; strong travel term,,,Església de Sant Domènec,europe/spain/puigcerd/esglesia_de_sant_domenec,0.431,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Puigcerd%C3%A0
northamerica/canada/ontario/ottawa,Ottawa,Ottawa,23,271,do,Maple Syrup,0.59,candidate,has description; high-value type; strong travel term,,,Major's Hill Park,northamerica/canada/ontario/ottawa/majors_hill_park,0.357,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ottawa
northamerica/mexico/chichenitza,Chichen Itza,Chichen Itza,0,27,see,Temple of the Jaguars,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chichen_Itza
northamerica/canada/manitoba/thompson,Thompson,Thompson,5,12,do,Tribute to Commerce,0.59,candidate,has description; high-value type; strong travel term,,,Spirit Way Wolf Murals,northamerica/canada/manitoba/thompson/spirit_way,0.39,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Thompson
northamerica/unitedstates/michigan/grandrapids,Grand Rapids,Grand Rapids,0,52,do,Fulton Street Artisan's Market,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Grand_Rapids
northamerica/unitedstates/california/sanfrancisco,San Francisco,San Francisco,93,62,do,Critical Mass,0.59,candidate,has description; high-value type; strong travel term,,,Twin Peaks,northamerica/unitedstates/california/sanfrancisco/twin_peaks,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/San_Francisco
