world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/tennessee/johnson_city,Johnson City,Johnson City (Tennessee),7,25,do,Tannery Knobs Mountain Bike Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Mountain Home National Cemetery,northamerica/unitedstates/tennessee/johnson_city/mountain_home_cemetery,0.413,,,missing_coordinates; has_external_url,https://visitjohnsoncitytn.com/place/tannery-knobs-mountain-bike-park/,https://en.wikivoyage.org/wiki/Johnson_City_%28Tennessee%29
europe/germany/bavaria/nuremberg,Nuremberg,Nuremberg,26,125,do,Blue Night (Blaue Nacht),0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Frauenkirche,europe/germany/bavaria/nuremberg/frauenkirche,0.455,,,missing_coordinates; has_external_url,http://www.blaue-nacht.de,https://en.wikivoyage.org/wiki/Nuremberg
northamerica/unitedstates/texas/sanantonio,San Antonio,San Antonio,26,86,see,Institute of Texan Cultures,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Aztec Theatre,northamerica/unitedstates/texas/sanantonio/aztec_theatre,0.45,,,missing_coordinates; has_external_url,https://texancultures.utsa.edu/,https://en.wikivoyage.org/wiki/San_Antonio
northamerica/unitedstates/washington/olympicnationalpark,Olympic National Park,Olympic National Park,10,49,do,Upper Big Quilcene Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Hurricane Ridge,northamerica/unitedstates/washington/olympicnationalpark/hurricane_ridge,0.462,,,missing_coordinates; has_external_url,https://www.fs.usda.gov/recarea/olympic/recarea/?recid=47793,https://en.wikivoyage.org/wiki/Olympic_National_Park
northamerica/unitedstates/georgia/macon,Macon,Macon (Georgia),6,41,do,Georgia State Fair,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Rose Hill Cemetery,northamerica/unitedstates/georgia/macon/rose_hill_cemetery,0.333,,,missing_coordinates; has_external_url,http://georgiastatefair.org/,https://en.wikivoyage.org/wiki/Macon_%28Georgia%29
northamerica/unitedstates/california/long_beach,Long Beach,Long Beach,13,97,see,Long Beach City College,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Long Beach Museum of Art,northamerica/unitedstates/california/long_beach/long_beach_museum_of_art,0.511,,,missing_coordinates; has_external_url,http://www.lbcc.edu,https://en.wikivoyage.org/wiki/Long_Beach
northamerica/canada/novascotia/halifax,Halifax,Halifax,23,106,do,Tall Ships Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Blue Nose Restaurant and Grill,northamerica/canada/novascotia/halifax/blue_nose_restaura,0.367,,,missing_coordinates; has_external_url,https://tallshipsnetwork.com/,https://en.wikivoyage.org/wiki/Halifax
northamerica/unitedstates/tennessee/knoxville,Knoxville,Knoxville,23,55,see,Knoxville Botanical Garden and Arboretum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Knoxville Museum of Art,northamerica/unitedstates/tennessee/knoxville/knoxville_museum_of_art,0.508,,,missing_coordinates; has_external_url,http://www.knoxgarden.org/,https://en.wikivoyage.org/wiki/Knoxville
northamerica/canada/ontario/sudbury,Sudbury,Sudbury (Ontario),18,65,see,Northern Lights Festival Boréal,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Onaping High Falls,northamerica/canada/ontario/sudbury/onaping_high_falls,0.449,,,missing_coordinates; has_external_url,https://nlfb.ca/,https://en.wikivoyage.org/wiki/Sudbury_%28Ontario%29
northamerica/canada/newbrunswick/moncton,Moncton,Moncton,11,50,see,Hopewell Rocks Provincial Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Victoria Park,northamerica/canada/newbrunswick/moncton/victoria_park,0.465,,,missing_coordinates; has_external_url,https://www.nbparks.ca/en/parks/33/hopewell-rocks-provincial-park,https://en.wikivoyage.org/wiki/Moncton
northamerica/unitedstates/florida/thepanhandle/apalachicola,Apalachicola,Apalachicola,17,31,see,St. Vincent National Wildlife Refuge,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Apalachicola National Estuarine Research Reserve,northamerica/unitedstates/florida/thepanhandle/apalachicola/apalachicola_estuarine_reserve,0.41,,,missing_coordinates; has_external_url,https://www.fws.gov/refuge/St_Vincent/,https://en.wikivoyage.org/wiki/Apalachicola
northamerica/unitedstates/washington/mtrainiernp,Mt. Rainier National Park,Mount Rainier National Park,0,61,do,Glacier Basin Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,,,0.0,,,missing_coordinates; has_external_url,https://www.nps.gov/mora/planyourvisit/glacier-basin.htm,https://en.wikivoyage.org/wiki/Mount_Rainier_National_Park
southamerica/argentina/iguazufalls,Iguazu Falls,Iguaçu Falls,12,14,do,Iguazu Jungle Explorer,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Iguazú National Park,southamerica/argentina/iguazufalls/iguazu_national_park,0.439,,,missing_coordinates; has_external_url,http://www.iguazujunglexplorer.com,https://en.wikivoyage.org/wiki/Igua%C3%A7u_Falls
northamerica/canada/alberta/calgary,Calgary,Calgary,38,59,do,Harvie Passage,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Arlo's,northamerica/canada/alberta/calgary/arlos,0.4,,,missing_coordinates; has_external_url,https://www.harviepassage.ca/,https://en.wikivoyage.org/wiki/Calgary
