world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
africa/southafrica/oudtshoorn,Oudtshoorn,Oudtshoorn,7,12,do,Rock climbing,0.55,candidate,has description; high-value type,,,Meiringspoort,africa/southafrica/oudtshoorn/meiringspoort,0.308,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Oudtshoorn,candidate score 0.55 is below the 6.0 POI threshold
africa/egypt/aswan,Aswan,Aswan,15,35,see,Kiosk of Qertassi,0.55,candidate,has description; high-value type,,,Monastery of St Simeon,africa/egypt/aswan/monastery_st_simeon,0.462,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Aswan,candidate score 0.55 is below the 6.0 POI threshold
asia/pakistan/jhelum,Jhelum,Jhelum,6,17,see,Damri Valli Sarkar,0.55,candidate,has description; high-value type,,,The Jhelum River,asia/pakistan/jhelum/jhelum_river,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Jhelum,candidate score 0.55 is below the 6.0 POI threshold
europe/denmark/skagen,Skagen,Skagen,9,17,see,The Harbour,0.55,candidate,has description; high-value type,,,Anchers Hus,europe/denmark/skagen/anchers_hus,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Skagen,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/nebraska/omaha,Omaha,Omaha,10,120,do,Berkshire Hathaway Annual Meeting,0.55,candidate,has description; high-value type,,,Upstream Brewing Company,northamerica/unitedstates/nebraska/omaha/upstream_brewing,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Omaha,candidate score 0.55 is below the 6.0 POI threshold
europe/norway/kirkenes,Kirkenes,Kirkenes,16,12,see,three-borders-mark,0.55,candidate,has coordinates; high-value type,69.05192,28.92929,Storskog Border Crossing,europe/norway/kirkenes/storskog_border,0.524,87.748,86.854,needs_external_source; far_from_parent,,https://en.wikivoyage.org/wiki/Kirkenes,candidate score 0.55 is below the 6.0 POI threshold
europe/romania/sibiu,Sibiu,Sibiu,11,16,do,Sibiu Music Festival,0.55,candidate,has description; high-value type,,,Piata Mica (Small Square),europe/romania/sibiu/piata_mica,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sibiu,candidate score 0.55 is below the 6.0 POI threshold
europe/belgium/leuven,Leuven,Leuven,18,53,see,The small port of Leuven,0.55,candidate,has description; high-value type,,,M Museum Leuven,europe/belgium/leuven/m_museum_leuven,0.514,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Leuven,candidate score 0.55 is below the 6.0 POI threshold
asia/vietnam/hoian,Hoi An,Hoi An,36,62,see,Thanh Ha pottery village,0.55,candidate,has description; high-value type,,,Kim Bong Carpentry Village,asia/vietnam/hoian/kim_bong_carpentry_village,0.52,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hoi_An,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/olympic_valley,Olympic Valley,Olympic Valley,8,6,do,G.N.A.R.,0.55,candidate,has description; high-value type,,,High Camp,northamerica/unitedstates/california/olympic_valley/high_camp,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Olympic_Valley,candidate score 0.55 is below the 6.0 POI threshold
asia/cambodia/siemreap,Siem Reap,Siem Reap,56,78,do,The Water Festival,0.55,candidate,has description; high-value type,,,Wat Damnak,asia/cambodia/siemreap/wat_damnak,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Siem_Reap,candidate score 0.55 is below the 6.0 POI threshold
asia/india/andhrapradesh/ananthapur,Anantapur,Anantapur,3,19,do,BlooMoon Restaurant,0.55,candidate,has description; high-value type,,,Gooty Fort,asia/india/andhrapradesh/ananthapur/gooty_fort,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Anantapur,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/pennsylvania/scranton,Scranton,Scranton,15,41,do,Cinemark Theatres,0.55,candidate,has description; high-value type,,,Scranton Iron Furnaces,northamerica/unitedstates/pennsylvania/scranton/scranton_iron_furnaces,0.359,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Scranton,candidate score 0.55 is below the 6.0 POI threshold
europe/ukraine/kharkiv,Kharkiv,Kharkiv,13,157,do,Venskii Dom Entertaining complex,0.55,candidate,has description; high-value type,,,Kharkiv Metro,europe/ukraine/kharkiv/kharkiv_metro,0.356,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kharkiv,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/arizona/cave_creek,Cave Creek,Cave Creek,0,31,do,Wild West Days,0.55,candidate,has description; high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cave_Creek,candidate score 0.55 is below the 6.0 POI threshold
europe/austria/bludenz,Bludenz,Bludenz,4,34,see,Schesa-Murbruch,0.55,candidate,has description; high-value type,,,Schloss Gayenhofen,europe/austria/bludenz/schloss_gayenhofen,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bludenz,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/catalonia/cadaqus,Cadaqués,Cadaqués,5,36,do,Racó d'en Sanés,0.55,candidate,has description; high-value type,,,Cadaqués Waterfront and Old Town,europe/spain/catalonia/cadaqus/cadaques_waterfront,0.304,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cadaqu%C3%A9s,candidate score 0.55 is below the 6.0 POI threshold
