world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/newjersey/atlanticcity,Atlantic City,Atlantic City,5,36,see,Atlantic City Shows,0.55,candidate,has description; high-value type,,,Hard Rock Hotel & Casino,northamerica/unitedstates/newjersey/atlanticcity/hard_rock_hotel,0.311,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Atlantic_City,candidate score 0.55 is below the 6.0 POI threshold
asia/palestinianauthority/ramallah,Ramallah,Ramallah,5,44,do,Turkish bath,0.55,candidate,has description; high-value type,,,Mahmoud Darwish Museum,asia/palestinianauthority/ramallah/mahmoud_darwish_museum,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ramallah,candidate score 0.55 is below the 6.0 POI threshold
northamerica/elsalvador/santaana,Santa Ana,Santa Ana (El Salvador),10,110,see,51-F,0.55,candidate,has description; high-value type,,,Ruta de las Flores,northamerica/elsalvador/santaana/ruta_de_las_flores,0.267,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Santa_Ana_%28El_Salvador%29,candidate score 0.55 is below the 6.0 POI threshold
europe/poland/gniezno,Gniezno,Gniezno,6,42,do,Nameday of Gniezno,0.55,candidate,has description; high-value type,,,Gniezno Cathedral,europe/poland/gniezno/gniezno_cathedral,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gniezno,candidate score 0.55 is below the 6.0 POI threshold
europe/france/frejus,Fréjus,Fréjus,4,15,see,Étangs de Villepey Saint Aygulf,0.55,candidate,has description; high-value type,,,Fréjus Cathedral,europe/france/frejus/frejus_cathedral,0.279,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fr%C3%A9jus,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/santaclara,Santa Clara,Santa Clara (California),6,30,see,KoreaTown,0.55,candidate,has description; high-value type,,,California's Great America,northamerica/unitedstates/california/santaclara/great_america,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Santa_Clara_%28California%29,candidate score 0.55 is below the 6.0 POI threshold
northamerica/mexico/puertovallarta,Puerto Vallarta,Puerto Vallarta,34,88,do,Mardi Gras/Carnaval,0.55,candidate,has description; high-value type,,,Marina Vallarta,northamerica/mexico/puertovallarta/marina_vallarta,0.529,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Puerto_Vallarta,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/centralvalley/manteca,Manteca,Manteca,8,28,see,Free For All,0.55,candidate,has description; high-value type,,,Yosemite National Park,northamerica/unitedstates/california/centralvalley/manteca/yosemite_national,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Manteca,candidate score 0.55 is below the 6.0 POI threshold
asia/china/heilongjiang/harbin,Harbin,Harbin,7,108,see,Wudalian Chi,0.55,candidate,has description; high-value type,,,Daoli District,asia/china/heilongjiang/harbin/daoli_district,0.462,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Harbin,candidate score 0.55 is below the 6.0 POI threshold
asia/india/andhrapradesh/hyderabad,Hyderabad,Hyderabad,10,55,see,Secure Forex Private Limited,0.55,candidate,has description; high-value type,,,Golconda Fort,asia/india/andhrapradesh/hyderabad/golconda_fort,0.293,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hyderabad,candidate score 0.55 is below the 6.0 POI threshold
northamerica/canada/newfoundland/cornerbrook,Corner Brook,Corner Brook,7,44,see,Norpen Bus Service,0.55,candidate,has description; high-value type,,,Blow-Me-Down Provincial Park,northamerica/canada/newfoundland/cornerbrook/blow_me_down_park,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Corner_Brook,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/chiangmai,Chiang mai,Chiang Mai,37,236,see,"Mae Sai - Tachilek, Myanmar",0.55,candidate,has description; high-value type,,,Wat Chiang Man,asia/thailand/chiangmai/wat_chiang_man,0.474,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chiang_Mai,candidate score 0.55 is below the 6.0 POI threshold
