world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/jiangsu_province/yangzhou,Yangzhou,Yangzhou,11,19,see,Shi Kefa Memorial,0.74,candidate,has coordinates; has description; high-value type; strong travel term,32.403112,119.434372,Ge Yuan Garden,asia/china/jiangsu_province/yangzhou/ge_yuan,0.629,0.371,2.274,needs_external_source,,https://en.wikivoyage.org/wiki/Yangzhou
asia/china/sichuanprovince/dujiangyan,Dujiangyan,Dujiangyan,4,36,do,Dujiangyan Panda Base,0.74,candidate,has coordinates; has description; high-value type; strong travel term,30.8622,103.57671,Dujiangyan Irrigation System,asia/china/sichuanprovince/dujiangyan/dujiangyan_irrigation_system,0.653,15.509,15.36,needs_external_source,,https://en.wikivoyage.org/wiki/Dujiangyan
asia/india/gujarat/patan,Patan,Patan (Gujarat),13,23,see,Ruins and Megh Maya Temple,0.74,candidate,has coordinates; has description; high-value type; strong travel term,23.860106,72.095805,Sahasralinga Tank,asia/india/gujarat/patan/sahasralinga_tank,0.698,0.302,3.175,needs_external_source,,https://en.wikivoyage.org/wiki/Patan_%28Gujarat%29
europe/austria/salzburg,Salzburg,Salzburg,44,66,see,Untersberg,0.74,candidate,has coordinates; has description; high-value type; strong travel term,47.7,12.98,Kapuzinerberg,europe/austria/salzburg/kapuzinerberg,0.696,12.964,11.991,needs_external_source,,https://en.wikivoyage.org/wiki/Salzburg
asia/philippines/cebu/cebucity,Cebu City,Cebu City,11,73,see,Jose R. Gullas Halad Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,10.296973,123.902124,Yap-Sandiego Ancestral House,asia/philippines/cebu/cebucity/yap_sandiego_ancestral_house,0.656,0.344,2.772,needs_external_source,,https://en.wikivoyage.org/wiki/Cebu_City
asia/oman/muscat,Muscat,Muscat,24,152,see,Sultan's Armed Forces Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,23.608352,58.54556,Sultan Qaboos Grand Mosque,asia/oman/muscat/sultan_qaboos_grand_mosque,0.556,16.181,4.937,needs_external_source,,https://en.wikivoyage.org/wiki/Muscat
asia/iraq/mosul,Mosul,Mosul,11,34,see,Anglican Church,0.74,candidate,has coordinates; has description; high-value type; strong travel term,36.3401,43.1264,Great Mosque of al-Nuri,asia/iraq/mosul/great_mosque_al_nuri,0.671,0.329,2.423,needs_external_source,,https://en.wikivoyage.org/wiki/Mosul
southamerica/brazil/recife,Recife,Recife,34,154,see,Parque 13 de Maio,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-8.0571,-34.8813,Monument Tortura Nunca Mais,southamerica/brazil/recife/monument_tortura_nunca_mais,0.6,0.4,0.417,needs_external_source,,https://en.wikivoyage.org/wiki/Recife
asia/china/shandong_province/rizhao,Rizhao,Rizhao,6,52,see,Rizhao Xiuwenzhai Print Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,35.4341,119.5637,Rizhao Museum,asia/china/shandong_province/rizhao/rizhao_museum,0.605,3.891,3.891,needs_external_source,,https://en.wikivoyage.org/wiki/Rizhao
northamerica/mexico/doloreshidalgo,Dolores Hidalgo,Dolores Hidalgo,5,17,see,Plaza Principal,0.74,candidate,has coordinates; has description; high-value type; strong travel term,21.15751,-100.93455,Jardín Principal,northamerica/mexico/doloreshidalgo/jardin_principal,0.71,0.71,0.701,needs_external_source,,https://en.wikivoyage.org/wiki/Dolores_Hidalgo
asia/india/maharashtra/nagpur,Nagpur,Nagpur,8,31,see,Narrow Gauge Rail Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,21.16518,79.09048,Nagpur Central Museum,asia/india/maharashtra/nagpur/nagpur_central_museum,0.667,2.027,1.919,needs_external_source,,https://en.wikivoyage.org/wiki/Nagpur
asia/thailand/kohlanta,Koh Lanta,Ko Lanta,7,40,see,Klong Jaak Waterfall,0.74,candidate,has coordinates; has description; high-value type; strong travel term,7.499902,99.093759,Klong Dao Beach,asia/thailand/kohlanta/klong_dao_beach,0.571,14.962,9.931,needs_external_source,,https://en.wikivoyage.org/wiki/Ko_Lanta
africa/egypt/aswan,Aswan,Aswan,15,35,see,Archangel Michael’s Coptic Orthodox Cathedral,0.74,candidate,has coordinates; has description; high-value type; strong travel term,24.08291,32.89059,Nubian House Restaurant,africa/egypt/aswan/nubian_house_restaurant,0.622,0.378,1.137,needs_external_source,,https://en.wikivoyage.org/wiki/Aswan
northamerica/belize/corozaltown,Corozal Town,Corozal Town,4,23,do,Cerros Mayan Ruins,0.74,candidate,has coordinates; has description; high-value type; strong travel term,18.3544,-88.35414,Santa Rita Maya Ruins,northamerica/belize/corozaltown/santa_rita_ruins,0.615,6.844,6.221,needs_external_source,,https://en.wikivoyage.org/wiki/Corozal_Town
europe/macedonia/ohrid,Ohrid,Ohrid,13,52,see,Monastery of Saint Naum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,40.913889,20.7405,Boat to Sveti Naum,europe/macedonia/ohrid/sveti_naum_boat_trip,0.634,0.776,23.165,needs_external_source,,https://en.wikivoyage.org/wiki/Ohrid
europe/portugal/nazare,Nazaré,Nazaré,6,11,see,Praia da Nazaré,0.74,candidate,has coordinates; has description; high-value type; strong travel term,39.5984,-9.0731,Praia do Norte,europe/portugal/nazare/praia_do_norte,0.714,1.844,0.561,needs_external_source,,https://en.wikivoyage.org/wiki/Nazar%C3%A9
europe/greece/athens,Athens,Athens,48,150,see,Plato's Academy,0.74,candidate,has coordinates; has description; high-value type; strong travel term,37.992359,23.708059,Platanos Taverna,europe/greece/athens/platanos_taverna,0.581,2.772,2.999,needs_external_source,,https://en.wikivoyage.org/wiki/Athens
africa/egypt/alexandria,Alexandria,Alexandria,42,87,do,Double decker bus ride along the Corniche,0.74,candidate,has coordinates; has description; high-value type; strong travel term,31.208812,29.882288,Mosque of Abu al-Abbas al-Mursi,africa/egypt/alexandria/abu_al_abbas_mosque,0.687,0.313,1.627,needs_external_source,,https://en.wikivoyage.org/wiki/Alexandria
northamerica/mexico/yucatan/valladolid_1,Valladolid,Valladolid (Mexico),11,30,do,Cenote Noolha,0.74,candidate,has coordinates; has description; high-value type; strong travel term,20.708538,-88.208635,Cenote Zací,northamerica/mexico/yucatan/valladolid_1/cenote_zaci,0.696,2.222,2.158,needs_external_source,,https://en.wikivoyage.org/wiki/Valladolid_%28Mexico%29
northamerica/unitedstates/alaska/skagway,Skagway,Skagway,6,16,see,Skagway Museum and Archives,0.74,candidate,has coordinates; has description; high-value type; strong travel term,59.4561349,-135.320077,Arctic Brotherhood Hall,northamerica/unitedstates/alaska/skagway/arctic_brotherhood_hall,0.66,0.34,1.417,needs_external_source,,https://en.wikivoyage.org/wiki/Skagway
asia/iraq/basra,Basra,Basra,6,29,see,Armenian Church of the Virgin Mary,0.74,candidate,has coordinates; has description; high-value type; strong travel term,30.5,47.8143,Ashar Bazaar,asia/iraq/basra/ashar_bazaar,0.588,0.412,0.727,needs_external_source,,https://en.wikivoyage.org/wiki/Basra
northamerica/nicaragua/managua,Managua,Managua,59,53,do,Parque Luis Alfonso Velásquez Flores,0.74,candidate,has coordinates; has description; high-value type; strong travel term,12.1519,-86.27109,Centro Histórico,northamerica/nicaragua/managua/centro_historico,0.585,0.415,2.748,needs_external_source,,https://en.wikivoyage.org/wiki/Managua
asia/china/hebei/zhangjiakou,Zhangjiakou,Zhangjiakou,4,9,see,Xuanhua Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,40.61,115.06,Xuanhua Huayan Temple,asia/china/hebei/zhangjiakou/xuanhua_huayan_temple,0.629,2.366,22.974,needs_external_source,,https://en.wikivoyage.org/wiki/Zhangjiakou
