world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/pakistan/gilgit,Gilgit,Gilgit,10,7,see,Naltar Valley,0.75,candidate,has coordinates; has description; high-value type,36.1638,74.1798,Kargah Nala Buddha,asia/pakistan/gilgit/kargah_buddha,0.387,29.563,29.593,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Gilgit
asia/china/xinjiangprovince/yining,Yining,Yining,8,12,see,Tughluq Timur Mausoleum in Almaliq,0.75,candidate,has coordinates; has description; high-value type,44.2402,80.5332,Beytullah Mosque,asia/china/xinjiangprovince/yining/beytullah_mosque,0.28,72.734,72.233,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Yining
asia/iran/kashan,Kashan,Kashan,7,30,see,Maranjab desert sand dunes,0.75,candidate,has coordinates; has description; high-value type,34.298958,51.812378,Agha Bozorg Mosque,asia/iran/kashan/agha_bozorg_mosque,0.364,49.095,48.519,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kashan
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,see,Kunfai Farm,0.75,candidate,has coordinates; has description; high-value type,8.95568,99.00277,Chaiya and the Srivijaya Temples,asia/thailand/surat_thani/chaiya_srivijaya_temples,0.256,,59.983,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Surat_Thani
asia/india/bihar/bhagalpur,Bhagalpur,Bhagalpur,5,11,see,Mandar Parvat,0.75,candidate,has coordinates; has description; high-value type,24.841165,87.035391,Nathnagar Silk Weaving Quarter,asia/india/bihar/bhagalpur/nathnagar_silk_weavers,0.326,41.58,44.923,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Bhagalpur
europe/norway/molde,Molde,Molde,5,48,see,Trollkyrkja,0.75,candidate,has coordinates; has description; high-value type,62.874,7.262,Moldejazz Festival,europe/norway/molde/moldejazz_festival,0.276,53.953,53.953,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Molde
asia/china/tibet/nyingchi,Nyingchi,Nyingchi,7,20,see,Lulang,0.75,candidate,has coordinates; has description; high-value type,29.343,94.352,Lulang Forest Sea,asia/china/tibet/nyingchi/lulang_forest_sea,0.522,45.135,35.962,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Nyingchi
asia/china/guizhou/zunyi,Zunyi,Zunyi,6,16,see,Loushan Pass Battlefield,0.75,candidate,has coordinates; has description; high-value type,28.02445028990866,106.8514529389092,Puji Bridge,asia/china/guizhou/zunyi/puji_bridge,0.286,36.201,36.428,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Zunyi
europe/ukraine/kherson,Kherson,Kherson,5,9,see,Khablovskyi lighthouse,0.75,candidate,has coordinates; has description; high-value type,46.656257,31.984306,Kherson Local History Museum,europe/ukraine/kherson/kherson_local_history_museum,0.36,47.898,48.929,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kherson
asia/india/kerala/thrissur,Thrissur,Thrissur,5,58,see,Vazhachal Waterfalls,0.75,candidate,has coordinates; has description; high-value type,10.30631,76.60827,Athirappilly Falls,asia/india/kerala/thrissur/athirappilly_falls,0.421,4.751,49.554,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Thrissur
europe/greece/epirus,Epirus,Epirus,5,13,see,Gyromeri,0.75,candidate,has coordinates; has description; high-value type,39.654791,20.325125,Zagori Villages (Zagorochoria),europe/greece/epirus/zagori_villages,0.348,44.083,38.104,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Epirus
asia/india/uttaranchal/dehradun,Dehradun,Dehradun,13,50,see,Tapovan,0.75,candidate,has coordinates; has description; high-value type,30.130187,78.323056,Tapkeshwar Temple,asia/india/uttaranchal/dehradun/tapkeshwar_temple,0.333,38.779,34.787,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Dehradun
northamerica/mexico/chetumal,Chetumal,Chetumal,7,36,do,Reef diving and snorkeling,0.75,candidate,has coordinates; has description; high-value type,18.716792,-87.706624,Boulevard Bahía,northamerica/mexico/chetumal/boulevard_bahia,0.256,65.833,66.505,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Chetumal
asia/china/guizhou/guiyang,Guiyang,Guiyang,9,25,see,South River Grand Canyon,0.75,candidate,has coordinates; has description; high-value type,26.95441,106.9935,Suan Tang Yu (Sour Fish Hotpot),asia/china/guizhou/guiyang/suan_tang_yu,0.444,50.426,50.426,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Guiyang
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,see,Khao Theppithak Suspension Bridge,0.75,candidate,has coordinates; has description; high-value type,8.94913,98.82221,Night Markets and Southern Thai Food,asia/thailand/surat_thani/night_markets_and_local_food,0.319,,57.643,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Surat_Thani
asia/china/hebei/cangzhou,Cangzhou,Cangzhou,3,63,see,纪晓岚墓,0.75,candidate,has coordinates; has description; high-value type,38.2719,116.54965,,,0.0,,28.463,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Cangzhou
africa/kenya/nairobi,Nairobi,Nairobi,30,113,see,The Anti-Gravity Hill (Kituluni Hill),0.75,candidate,has coordinates; has description; high-value type,-1.426,37.2403,Ngong Hills,africa/kenya/nairobi/ngong_hills,0.5,66.014,47.752,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Nairobi
asia/china/hunan/zhangjiajie,Zhangjiajie,Zhangjiajie,8,49,do,Wulongzhai,0.75,candidate,has coordinates; has description; high-value type,29.472174,110.53073,Wulingyuan UNESCO World Heritage Area,asia/china/hunan/zhangjiajie/wulingyuan_scenic_area,0.298,15.38,38.809,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Zhangjiajie
asia/china/gansu/xiahe,Xiahe,Xiahe,5,13,see,White Rock Cliffs,0.75,candidate,has coordinates; has description; high-value type,35.436425,102.573831,Momo Dumplings,asia/china/gansu/xiahe/momo_dumplings,0.323,26.427,26.427,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Xiahe
europe/macedonia/kicevo,Kičevo,Kičevo,4,32,see,Debar,0.75,candidate,has coordinates; has description; high-value type,41.516667,20.533333,Old Bazaar (Čaršija),europe/macedonia/kicevo/old_bazaar,0.533,35.411,35.411,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ki%C4%8Devo
asia/india/kerala/kottayam,Kottayam,Kottayam,4,23,see,Vembanad Lake,0.75,candidate,has coordinates; has description; high-value type,9.59677,76.39845,Pathiramanal Island,asia/india/kerala/kottayam/pathiramanal,0.438,4.363,27.321,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kottayam
asia/india/punjab/amritsar,Amritsar,Amritsar,10,63,see,Gurudwara Goindwal & Baoli Sahib,0.75,candidate,has coordinates; has description; high-value type,31.36376,75.14462,Harmandir Sahib (Golden Temple),asia/india/punjab/amritsar/harmandir_sahib,0.49,38.185,39.618,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Amritsar
europe/ukraine/poltava,Poltava,Poltava,7,54,see,Mansion Baliubasha,0.75,candidate,has coordinates; has description; high-value type,49.585513,34.566485,Assumption Cathedral,europe/ukraine/poltava/assumption_cathedral,0.421,1.901,66.202,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Poltava
europe/macedonia/kicevo,Kičevo,Kičevo,4,32,see,Resen,0.75,candidate,has coordinates; has description; high-value type,41.0889,21.0122,Treska River Gorge,europe/macedonia/kicevo/treska_river_gorge,0.348,45.821,46.917,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ki%C4%8Devo
asia/iran/yazd,Yazd,Yazd,9,25,see,Masjid-e Jame,0.75,candidate,has coordinates; has description; high-value type,31.901233,54.368646,Atashkadeh (Fire Temple),asia/iran/yazd/atashkadeh,0.348,34.752,32.023,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Yazd
asia/china/anhui/wuhu,Wuhu,Wuhu,8,11,do,Maren Qifeng Scenic Area (马仁奇峰风景区),0.75,candidate,has coordinates; has description; high-value type,31.108611,118.308611,Fantawild Adventure,asia/china/anhui/wuhu/fantawild_adventure,0.326,19.033,26.418,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Wuhu
northamerica/unitedstates/oregon/eugene,Eugene,Eugene,20,105,see,McKenzie River,0.75,candidate,has coordinates; has description; high-value type,44.14919,-122.58297,Kesey Square (The Storyteller),northamerica/unitedstates/oregon/eugene/kesey_square,0.462,42.169,42.338,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Eugene
australiaandpacific/australia/newsouthwales/brokenhill,Broken Hill,Broken Hill,12,17,see,Mundi Mundi Lookout,0.75,candidate,has coordinates; has description; high-value type,-31.837,141.202,Broken Hill Mosque,australiaandpacific/australia/newsouthwales/brokenhill/broken_hill_mosque,0.216,28.345,27.487,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Broken_Hill
asia/china/yunnanprovince/tengchong,Tengchong,Tengchong,5,25,see,Yinxing Village,0.75,candidate,has coordinates; has description; high-value type,25.305262998,98.5168023621,Beihai Wetland,asia/china/yunnanprovince/tengchong/beihai_wetland,0.345,25.191,32.263,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Tengchong
