candidate_score,world66_path,world66_title,wikivoyage_title,wv_type,wv_name,wv_lat,wv_lng,reason,best_w66_title,best_match_score,best_distance_km,source_url
1.0,africa/algeria/constantine,Constantine,Constantine,see,Bois de la Légion d'Honneur,36.372222,6.633611,has coordinates; has description; high-value type,Old Medina,0.323,1.908,https://en.wikivoyage.org/wiki/Constantine
1.0,africa/benin/cotonou,Cotonou,Cotonou,see,Etoile Rouge,6.37139,2.40979,has coordinates; has description; high-value type,BCEAO Tower,0.435,2.714,https://en.wikivoyage.org/wiki/Cotonou
1.0,africa/benin/cotonou,Cotonou,Cotonou,see,Fondation Zinzou,6.3638,2.4193,has coordinates; has description; high-value type,Amazon Monument,0.387,2.093,https://en.wikivoyage.org/wiki/Cotonou
1.0,africa/burundi/gitega,Gitega,Gitega,see,Gishora Drum Sanctuary,-3.3634,29.922,has coordinates; has description; high-value type,Gitega Central Market,0.372,7.224,https://en.wikivoyage.org/wiki/Gitega
1.0,africa/cameroon/kribi,Kribi,Kribi,see,Lobe Falls,2.88248,9.89703,has coordinates; has description; high-value type,Londji Fishing Port,0.345,11.422,https://en.wikivoyage.org/wiki/Kribi
1.0,africa/congobrazzaville/brazzaville,Brazzaville,Brazzaville,see,Palais du Peuple,-4.282925,15.265085,has coordinates; has description; high-value type,Basilique Sainte-Anne du Congo,0.3,2.676,https://en.wikivoyage.org/wiki/Brazzaville
1.0,africa/congokinshasa/kinshasa,Kinshasa,Kinshasa,see,Bombo-Lumene Game Reserve,-4.7314,16.0359,has coordinates; has description; high-value type,Monument to Laurent-Désiré Kabila,0.421,94.301,https://en.wikivoyage.org/wiki/Kinshasa
1.0,africa/congokinshasa/kinshasa,Kinshasa,Kinshasa,see,Lola ya Bonobo,-4.489766,15.268443,has coordinates; has description; high-value type,Kin Malebo,0.333,21.211,https://en.wikivoyage.org/wiki/Kinshasa
1.0,africa/egypt/sharmelsheikh,Sharm el-Sheikh,Sharm el-Sheikh,see,El-Samaeyeen Cathedral,27.88798,34.295383,has coordinates; has description; high-value type,St. Catherine's Monastery,0.419,80.579,https://en.wikivoyage.org/wiki/Sharm_el-Sheikh
1.0,africa/eritrea/keren,Keren,Keren,see,Debre Sina Monastery,15.748906,38.70329,has coordinates; has description; high-value type,Local Coffee Ceremony,0.341,26.66,https://en.wikivoyage.org/wiki/Keren
1.0,africa/ethiopia/bahardar,Bahir Dar,Bahir Dar,see,Palace of Emperor Haile Selassie & Viewpoint over Bahir Dar/Blue Nile,11.571,37.413,has coordinates; has description; high-value type,Narga Selassie,0.282,42.497,https://en.wikivoyage.org/wiki/Bahir_Dar
1.0,africa/ghana/accra,Accra,Accra,see,Achimota Forest,5.6243,-0.204,has coordinates; has description; high-value type,Makola Market,0.5,8.461,https://en.wikivoyage.org/wiki/Accra
1.0,africa/ghana/accra,Accra,Accra,see,Holy Trinity Cathedral,5.54149,-0.20604,has coordinates; has description; high-value type,Osu Castle,0.375,2.472,https://en.wikivoyage.org/wiki/Accra
1.0,africa/kenya/centralhighlands/nanyuki,Nanyuki,Nanyuki,see,St. Georges Church,0.0133,37.0906,has coordinates; has description; high-value type,Equator Crossing,0.364,2.314,https://en.wikivoyage.org/wiki/Nanyuki
1.0,africa/kenya/theriftvalley/kericho,Kericho,Kericho,see,Chereres-Waterfall,-0.38501,35.17631,has coordinates; has description; high-value type,Kericho Tea Hotel,0.4,12.069,https://en.wikivoyage.org/wiki/Kericho
1.0,africa/kenya/theriftvalley/kericho,Kericho,Kericho,see,Sacred Heart Cathedral,0.3643877,35.2892885,has coordinates; has description; high-value type,Kericho Tea Hotel,0.41,81.296,https://en.wikivoyage.org/wiki/Kericho
1.0,africa/madagascar/fianarantsoa,Fianarantsoa,Fianarantsoa,see,Soatanana,-21.39147,46.92002,has coordinates; has description; high-value type,FCE Railway Station,0.286,18.301,https://en.wikivoyage.org/wiki/Fianarantsoa
1.0,africa/malawi/lilongwe,Lilongwe,Lilongwe,see,Kumbali Cultural Centre,-13.9393,33.8408,has coordinates; has description; high-value type,Lilongwe Wildlife Centre,0.468,7.147,https://en.wikivoyage.org/wiki/Lilongwe
1.0,africa/mali/timbuktu,Timbuktu,Timbuktu,see,Flame of Peace Monument,16.78256,-3.014524,has coordinates; has description; high-value type,Sankore Mosque,0.432,1.327,https://en.wikivoyage.org/wiki/Timbuktu
1.0,africa/mauritius/souillac,Souillac,Souillac,see,La Vanille Réserve des Mascareignes,-20.485278,57.550833,has coordinates; has description; high-value type,Telfair Gardens,0.372,4.745,https://en.wikivoyage.org/wiki/Souillac
1.0,africa/morocco/errachidia,Errachidia,Errachidia,see,Sijilmassa Museum,31.918444,-4.444862,has coordinates; has description; high-value type,Restaurant Sijilmassa,0.526,2.102,https://en.wikivoyage.org/wiki/Errachidia
1.0,africa/morocco/fez,Fez,Fez,see,Borj Sud,34.05412,-4.9703,has coordinates; has description; high-value type,Bab Boujeloud,0.476,1.525,https://en.wikivoyage.org/wiki/Fez
1.0,africa/morocco/rabat,Rabat,Rabat,see,Marinid Madrasa,34.039861,-6.82725,has coordinates; has description; high-value type,Café Maure,0.417,1.229,https://en.wikivoyage.org/wiki/Rabat
1.0,africa/morocco/rabat,Rabat,Rabat,see,Medina of Salé,34.033056,-6.820278,has coordinates; has description; high-value type,Rabat Medina,0.48,1.899,https://en.wikivoyage.org/wiki/Rabat
1.0,africa/niger/niamey,Niamey,Niamey,see,Cathedral de Maorey,13.51797,2.111,has coordinates; has description; high-value type,Grand Marché de Niamey,0.471,0.661,https://en.wikivoyage.org/wiki/Niamey
1.0,africa/niger/niamey,Niamey,Niamey,see,Centre Culturel Oumarou Ganda,13.52152,2.13696,has coordinates; has description; high-value type,Grand Mosque of Niamey,0.544,0.456,https://en.wikivoyage.org/wiki/Niamey
1.0,africa/nigeria/calabar,Calabar,Calabar,see,Drill Monkey Rehab Centre,4.98106,8.33949,has coordinates; has description; high-value type,Drill Ranch (Pandrillus),0.5,3.156,https://en.wikivoyage.org/wiki/Calabar
1.0,africa/nigeria/jos,Jos,Jos,see,Gbong Gwom Jos' palace,9.9085,8.8778,has coordinates; has description; high-value type,Jos Main Market,0.389,1.901,https://en.wikivoyage.org/wiki/Jos
