world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
australiaandpacific/australia/victoria/ballarat,Ballarat,Ballarat,17,43,see,Blood on the Southern Cross,0.55,candidate,has description; high-value type,,,L'Espresso,australiaandpacific/australia/victoria/ballarat/lattilatti,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ballarat,candidate score 0.55 is below the 6.0 POI threshold
europe/norway/hemsedal,Hemsedal,Hemsedal,5,13,see,Hydalen,0.55,candidate,has description; high-value type,,,Hemsedal Terrain Park,europe/norway/hemsedal/hemsedal_terrain_park,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hemsedal,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/virginia/charlottesville,Charlottesville,Charlottesville,11,94,do,Shergold Studio,0.55,candidate,has description; high-value type,,,Shenandoah National Park,northamerica/unitedstates/virginia/charlottesville/shenandoah_national_park,0.41,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Charlottesville,candidate score 0.55 is below the 6.0 POI threshold
southamerica/ecuador/cuenca,Cuenca,Cuenca (Ecuador),7,23,see,Museo de las Culturas Aborigenes,0.55,candidate,has description; high-value type,,,Museo Pumapungo,southamerica/ecuador/cuenca/museo_pumapungo,0.45,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cuenca_%28Ecuador%29,candidate score 0.55 is below the 6.0 POI threshold
africa/tunisia/tozeur,Tozeur,Tozeur,5,13,see,Chebika,0.55,candidate,has description; high-value type,,,Chott el-Jerid,africa/tunisia/tozeur/chott_el_jerid,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tozeur,candidate score 0.55 is below the 6.0 POI threshold
northamerica/thecaribbean/guadeloupe/basseterre,Basse-Terre,Basse-Terre,4,8,see,Carbet Falls,0.55,candidate,has description; high-value type,,,Chutes du Carbet,northamerica/thecaribbean/guadeloupe/basseterre/chutes_du_carbet,0.48,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Basse-Terre,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/fortaleza,Fortaleza,Fortaleza,10,87,see,Laundromat,0.55,candidate,has description; high-value type,,,Canoa Quebrada,southamerica/brazil/fortaleza/canoa_quebrada,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fortaleza,candidate score 0.55 is below the 6.0 POI threshold
africa/liberia/monrovia,Monrovia,Monrovia,15,19,see,Blo Degbo—Rock formation,0.55,candidate,has description; high-value type,,,Palm Grove Cemetery,africa/liberia/monrovia/palm_grove_cemetery,0.372,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Monrovia,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/palau/babeldoab,Babeldaob,Babeldaob,8,8,see,Did el Bad er a Beriber,0.55,candidate,has description; high-value type,,,Badrulchau Stone Monoliths,australiaandpacific/palau/babeldoab/badrulchau,0.318,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Babeldaob,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/bangkok,Bangkok,Bangkok,108,116,see,Saen Saep Express Boat,0.55,candidate,has description; high-value type,,,Khao San Road,asia/thailand/bangkok/khao_san_road,0.457,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bangkok,candidate score 0.55 is below the 6.0 POI threshold
asia/taiwan/taoyuan,Taoyuan,Taoyuan,9,50,see,Xiebai Shan,0.55,candidate,has description; high-value type,,,Hutoushan Park,asia/taiwan/taoyuan/hutoushan_park,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Taoyuan,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/centralvalley/manteca,Manteca,Manteca,8,28,do,Crossroads of California Street Faire,0.55,candidate,has description; high-value type,,,Library Park,northamerica/unitedstates/california/centralvalley/manteca/library_park,0.327,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Manteca,candidate score 0.55 is below the 6.0 POI threshold
asia/china/liaoning/liaoyang,Liaoyang,Liaoyang,4,20,see,Yanzhou Town,0.55,candidate,has description; high-value type,,123.489861,Guangyou Temple,asia/china/liaoning/liaoyang/guangyou_temple,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Liaoyang,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/andalucia/seville,Seville,Seville,18,48,do,Feria de Abril,0.55,candidate,has description; high-value type,,,Triana,europe/spain/andalucia/seville/triana,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Seville,candidate score 0.55 is below the 6.0 POI threshold
northamerica/mexico/ensenada,Ensenada,Ensenada,8,39,do,Carnaval,0.55,candidate,has description; high-value type,,,La Bufadora,northamerica/mexico/ensenada/la_bufadora,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ensenada,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/orangecounty/huntingtonbeach,Huntington Beach,Huntington Beach,19,33,do,Partying,0.55,candidate,has description; high-value type,,,Pacific City,northamerica/unitedstates/california/orangecounty/huntingtonbeach/pacific_city,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Huntington_Beach,candidate score 0.55 is below the 6.0 POI threshold
europe/austria/bludenz,Bludenz,Bludenz,4,34,do,Vandanser Steinwand,0.55,candidate,has description; high-value type,,,Convent of St. Peter,europe/austria/bludenz/convent_of_st_peter,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bludenz,candidate score 0.55 is below the 6.0 POI threshold
europe/italy/sardinia/isoladisanpietro/carloforte,Carloforte,Carloforte,5,19,do,Madonna dello schiavo,0.55,candidate,has description; high-value type,,,Punta delle Colonne,europe/italy/sardinia/isoladisanpietro/carloforte/punta_delle_colonne,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Carloforte,candidate score 0.55 is below the 6.0 POI threshold
