world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/germany/bavaria/bayreuth,Bayreuth,Bayreuth,8,76,see,State Gallery in the New Palace,0.59,candidate,has description; high-value type; strong travel term,,,Stadtkirche (City Church),europe/germany/bavaria/bayreuth/stadtkirche,0.368,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bayreuth,candidate score 0.59 is below the 6.0 POI threshold
asia/china/shaanxi/xian,Xi'an,Xi'an,27,73,see,Louguantai,0.59,candidate,has description; high-value type; strong travel term,,,Mount Hua,asia/china/shaanxi/xian/mount_hua,0.526,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Xi%27an,candidate score 0.59 is below the 6.0 POI threshold
asia/philippines/paranuaque,Parañaque,Parañaque,14,21,see,Parañaque Cathedral,0.59,candidate,has description; high-value type; strong travel term,,,Parañaque Integrated Terminal Exchange (PITX),asia/philippines/paranuaque/pitx,0.526,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Para%C3%B1aque,candidate score 0.59 is below the 6.0 POI threshold
asia/thailand/maehongson,Mae Hong Son,Mae Hong Son,9,16,see,Fish Cave,0.59,candidate,has description; high-value type; strong travel term,,,Tham Lot Cave (Soppong),asia/thailand/maehongson/tham_lot_cave,0.545,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mae_Hong_Son,candidate score 0.59 is below the 6.0 POI threshold
africa/capeverde/fogo,Fogo,Fogo,5,7,do,The black sand beach of São Filipe.,0.59,candidate,has description; high-value type; strong travel term,,,São Filipe,africa/capeverde/fogo/sao_filipe,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fogo,candidate score 0.59 is below the 6.0 POI threshold
europe/austria/bludenz,Bludenz,Bludenz,4,34,see,Burg Ramschwag,0.59,candidate,has description; high-value type; strong travel term,,,Muttersberg Cable Car,europe/austria/bludenz/muttersberg,0.343,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bludenz,candidate score 0.59 is below the 6.0 POI threshold
europe/denmark/koge,Køge,Køge,9,39,do,South Beach,0.59,candidate,has description; high-value type; strong travel term,,,Køge Bay Beach,europe/denmark/koge/koge-bay-beach,0.48,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/K%C3%B8ge,candidate score 0.59 is below the 6.0 POI threshold
asia/india/kerala/kozhikode,Kozhikode,Kozhikode,12,107,see,Kizhakke Murikkunnu Bhagavathy Temple,0.59,candidate,has description; high-value type; strong travel term,,,Tali Shiva Temple,asia/india/kerala/kozhikode/tali_temple,0.481,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kozhikode,candidate score 0.59 is below the 6.0 POI threshold
europe/germany/bavaria/freising,Freising,Freising,9,21,see,Landshut,0.59,candidate,has description; high-value type; strong travel term,,,Marktplatz,europe/germany/bavaria/freising/marktplatz,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Freising,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/mississippi/natchez,Natchez,Natchez,12,23,see,Natchez in Historic Photographs,0.59,candidate,has description; high-value type; strong travel term,,,Natchez Pilgrimage,northamerica/unitedstates/mississippi/natchez/natchez_pilgrimage,0.49,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Natchez,candidate score 0.59 is below the 6.0 POI threshold
australiaandpacific/australia/victoria/bendigo,Bendigo,Bendigo,6,25,see,Sacred Heart Cathedral,0.59,candidate,has description; high-value type; strong travel term,,,Shamrock Hotel,australiaandpacific/australia/victoria/bendigo/shamrock_hotel,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bendigo,candidate score 0.59 is below the 6.0 POI threshold
europe/poland/lodz,Łódź,Łódź,7,114,see,Old Market Square,0.59,candidate,has description; high-value type; strong travel term,,,Piotrkowska Street,europe/poland/lodz/piotrkowska_street,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/%C5%81%C3%B3d%C5%BA,candidate score 0.59 is below the 6.0 POI threshold
asia/china/hunan/zhangjiajie,Zhangjiajie,Zhangjiajie,8,49,see,Yuhuangdong Grottoes (including Fengquan Cave),0.59,candidate,has description; high-value type; strong travel term,,,Puguang Temple,asia/china/hunan/zhangjiajie/puguang_temple,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Zhangjiajie,candidate score 0.59 is below the 6.0 POI threshold
asia/mongolia/ulaanbaatar,Ulaanbaatar,Ulaanbaatar,8,112,see,Kuwait,0.59,candidate,has description; high-value type; strong travel term,,,Sükhbaatar Square,asia/mongolia/ulaanbaatar/sukhbaatar_square,0.261,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ulaanbaatar,candidate score 0.59 is below the 6.0 POI threshold
northamerica/guatemala/tikal,Tikal,Tikal,6,16,do,Hiking,0.59,candidate,has description; high-value type; strong travel term,,,Temple III,northamerica/guatemala/tikal/temple_iii,0.25,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tikal,candidate score 0.59 is below the 6.0 POI threshold
europe/italy/sicily/selinunte,Selinunte,Selinunte,4,22,see,Source of Gaggera / Antiquarium,0.59,candidate,has description; high-value type; strong travel term,,,Eastern Temples,europe/italy/sicily/selinunte/eastern_temples,0.318,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Selinunte,candidate score 0.59 is below the 6.0 POI threshold
europe/france/midi/pyrenees/vernet_les_bains,Vernet les Bains,Vernet-les-Bains,5,7,see,Church of Corneilla,0.59,candidate,has description; high-value type; strong travel term,,,Thermes de Vernet-les-Bains,europe/france/midi/pyrenees/vernet_les_bains/thermes,0.359,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vernet-les-Bains,candidate score 0.59 is below the 6.0 POI threshold
europe/azerbaijan/saki,Sheki,Sheki,1,30,see,Gelersen-Gorsesen Fortress,0.59,candidate,has description; high-value type; strong travel term,,,Eating Out,europe/azerbaijan/saki/eating_out,0.111,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sheki,candidate score 0.59 is below the 6.0 POI threshold
europe/germany/thuringia/gera,Gera,Gera,4,25,see,St. Elizabeth's Church,0.59,candidate,has description; high-value type; strong travel term,,,Otto-Dix-Haus,europe/germany/thuringia/gera/otto_dix_haus,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gera,candidate score 0.59 is below the 6.0 POI threshold
europe/france/east/franchecomte/besancon,Besançon,Besançon,5,10,see,Granvelle Palace,0.59,candidate,has description; high-value type; strong travel term,,,Battant Quarter,europe/france/east/franchecomte/besancon/battant,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Besan%C3%A7on,candidate score 0.59 is below the 6.0 POI threshold
asia/china/gansu/xiahe,Xiahe,Xiahe,5,13,see,Man Jus'ri Temple,0.59,candidate,has description; high-value type; strong travel term,,,Momo Dumplings,asia/china/gansu/xiahe/momo_dumplings,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Xiahe,candidate score 0.59 is below the 6.0 POI threshold
