world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/thailand/pattaya,Pattaya,Pattaya,9,124,do,The Mini Golf Pub,0.55,candidate,has description; high-value type,,,Mini Siam,asia/thailand/pattaya/mini_siam,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Pattaya,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/alaska/fairbanks,Fairbanks,Fairbanks,17,56,do,Rubber Duckie Race,0.55,candidate,has description; high-value type,,,Creamer's Field Migratory Waterfowl Refuge,northamerica/unitedstates/alaska/fairbanks/creamers_field,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fairbanks,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/rhodeisland/narragansett,Narragansett,Narragansett,12,86,see,Stone Cove Marina,0.55,candidate,has description; high-value type,,,South County Museum,northamerica/unitedstates/rhodeisland/narragansett/south_county_museum,0.389,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Narragansett,candidate score 0.55 is below the 6.0 POI threshold
asia/oman/muscat,Muscat,Muscat,24,152,see,Jordan,0.55,candidate,has description; high-value type,,,Old Muscat,asia/oman/muscat/old_muscat_neighbourhood,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Muscat,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/badenwrttemberg/karlsruhe,Karlsruhe,Karlsruhe,12,41,see,Bauhaus-Siedlung Dammerstock,0.55,candidate,has description; high-value type,,,Badisches Staatstheater,europe/germany/badenwrttemberg/karlsruhe/staatstheater,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Karlsruhe,candidate score 0.55 is below the 6.0 POI threshold
europe/hungary/budapest,Budapest,Budapest,57,94,see,30px H7 (Boráros tér-Csepel) line,0.55,candidate,has description; high-value type,,,Városliget (City Park),europe/hungary/budapest/varosliget,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Budapest,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/brandenburg/oranienburg,Oranienburg,Oranienburg,5,9,see,Prison barracks,0.55,candidate,has description; high-value type,,,Pfarrkirche St. Nikolai,europe/germany/brandenburg/oranienburg/pfarrkirche_st_nikolai,0.324,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Oranienburg,candidate score 0.55 is below the 6.0 POI threshold
europe/lithuania/nemunas_river_regi/nida_curonian_spit,Nida,Nida,7,18,see,Lighthouse of the Cape of Horses,0.55,candidate,has description; high-value type,,,Nida Lighthouse,europe/lithuania/nemunas_river_regi/nida_curonian_spit/nida_lighthouse,0.465,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nida,candidate score 0.55 is below the 6.0 POI threshold
asia/vietnam/danang,Da Nang,Da Nang,4,80,see,Mai Linh,0.55,candidate,has description; high-value type,,,Marble Mountains,asia/vietnam/danang/marble_mountains,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Da_Nang,candidate score 0.55 is below the 6.0 POI threshold
asia/taiwan/taipei,Taipei,Taipei,105,91,see,Taipei City Police Department Foreign Affairs Division,0.55,candidate,has description; high-value type,,,Taipei Performing Arts Center,asia/taiwan/taipei/taipei_performing_arts_center,0.506,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Taipei,candidate score 0.55 is below the 6.0 POI threshold
europe/france/midi/languedoc/albi,Albi,Albi,4,19,see,Old bridge,0.55,candidate,has description; high-value type,,,Collégiale Saint-Salvy,europe/france/midi/languedoc/albi/eglise_saint_salvy,0.312,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Albi,candidate score 0.55 is below the 6.0 POI threshold
europe/italy/lazio/rome,Rome,Rome,144,65,see,Russia,0.55,candidate,has description; high-value type,,,Circus Varianus,europe/italy/lazio/rome/circus_varianus,0.476,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Rome,candidate score 0.55 is below the 6.0 POI threshold
europe/italy/lombardia/brescia,Brescia,Brescia,11,30,see,Chiesa di Santa Maria in Solario,0.55,candidate,has description; high-value type,,,Santa Giulia Museum,europe/italy/lombardia/brescia/santa_giulia,0.392,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Brescia,candidate score 0.55 is below the 6.0 POI threshold
asia/india/kerala/munnar,Munnar,Munnar,5,54,do,Trekking in Mannavanchola Forest,0.55,candidate,has description; high-value type,,,Mattupetty Dam and Lake,asia/india/kerala/munnar/mattupetty_dam,0.291,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Munnar,candidate score 0.55 is below the 6.0 POI threshold
europe/france/aquitaine/saintes,Saintes,Saintes,6,93,do,National day,0.55,candidate,has description; high-value type,,,Abbaye aux Dames,europe/france/aquitaine/saintes/abbaye_aux_dames,0.357,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Saintes,candidate score 0.55 is below the 6.0 POI threshold
asia/india/maharashtra/bhandardhara,Bhandardhara,Bhandardara,5,22,see,Alang hill,0.55,candidate,has description; high-value type,,,Ratangad Fort,asia/india/maharashtra/bhandardhara/ratangad_fort,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bhandardara,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/australia/victoria/melbourne,Melbourne,Melbourne,60,30,see,McDonald's,0.55,candidate,has description; high-value type,,,Section 8,australiaandpacific/australia/victoria/melbourne/section_8,0.421,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Melbourne,candidate score 0.55 is below the 6.0 POI threshold
northamerica/canada/britishcolumbia/vanderhoof,Vanderhoof,Vanderhoof,4,13,do,Wild Goose Chase,0.55,candidate,has description; high-value type,,,OK Cafe,northamerica/canada/britishcolumbia/vanderhoof/ok_cafe,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vanderhoof,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/newzealand/canterbury/christchurch,Christchurch,Christchurch,13,85,do,Carols by Candlelight,0.55,candidate,has description; high-value type,,,Cardboard Cathedral,australiaandpacific/newzealand/canterbury/christchurch/cardboard_cathedral,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Christchurch,candidate score 0.55 is below the 6.0 POI threshold
asia/china/gansu/xiahe,Xiahe,Xiahe,5,13,see,Prayer Wheels,0.55,candidate,has description; high-value type,,,Gongtang Chorten,asia/china/gansu/xiahe/gongtang_chorten,0.276,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Xiahe,candidate score 0.55 is below the 6.0 POI threshold
asia/china/shaanxi/yan_an,Yan'an,Yan'an,4,20,see,Phoenix Hill,0.55,candidate,has description; high-value type,,,Pagoda Mountain (Baota Shan),asia/china/shaanxi/yan_an/pagoda_mountain,0.296,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yan%27an,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/newzealand/northland_1/russell,Russell,Russell (New Zealand),6,8,see,Police station,0.55,candidate,has description; high-value type,,,Pompallier House,australiaandpacific/newzealand/northland_1/russell/pompallier_house,0.467,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Russell_%28New_Zealand%29,candidate score 0.55 is below the 6.0 POI threshold
asia/southkorea/gyeongju,Gyeongju,Gyeongju,18,80,do,Korean Traditional Liquor and Cake Festival,0.55,candidate,has description; high-value type,,,Seongdong Traditional Market,asia/southkorea/gyeongju/seongdong_market,0.535,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gyeongju,candidate score 0.55 is below the 6.0 POI threshold
asia/china/jiangsu_province/suzhou,Suzhou,Suzhou,17,93,see,Ticket Offices in the city,0.55,candidate,has description; high-value type,,,Tiger Hill,asia/china/jiangsu_province/suzhou/tiger_hill,0.312,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Suzhou,candidate score 0.55 is below the 6.0 POI threshold
africa/tunisia/tozeur,Tozeur,Tozeur,5,13,see,Dry lakes,0.55,candidate,has description; high-value type,,,Dar Chariet Museum,africa/tunisia/tozeur/dar_chariet,0.296,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tozeur,candidate score 0.55 is below the 6.0 POI threshold
