world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/hubei/jingmen,Jingmen,Jingmen,5,8,do,Jingmen Garden Expo Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,31.02,112.18,Jingmen Museum,asia/china/hubei/jingmen/jingmen_museum,0.474,3.082,2.929,needs_external_source,,https://en.wikivoyage.org/wiki/Jingmen
africa/mali/bamako,Bamako,Bamako,10,36,see,Sacred Heart Cathedral,0.89,candidate,has coordinates; has description; high-value type; strong travel term,12.6436504,-7.9993785,Grand Marché,africa/mali/bamako/grand_marche,0.381,0.619,0.639,needs_external_source,,https://en.wikivoyage.org/wiki/Bamako
asia/thailand/chiangrai,Chiang Rai,Chiang Rai,14,71,see,Doi Khao Kwai,0.89,candidate,has coordinates; has description; high-value type; strong travel term,19.88145,99.80983,Doi Mae Salong,asia/thailand/chiangrai/doi_mae_salong,0.519,48.963,19.724,needs_external_source,,https://en.wikivoyage.org/wiki/Chiang_Rai
europe/finland/mikkeli,Mikkeli,Mikkeli,5,34,do,Hiihtomäen lava,0.89,candidate,has coordinates; has description; high-value type; strong travel term,61.6696,27.2796,Mikkeli Cathedral,europe/finland/mikkeli/mikkeli_cathedral,0.312,2.292,2.05,needs_external_source,,https://en.wikivoyage.org/wiki/Mikkeli
asia/china/heilongjiang/harbin,Harbin,Harbin,7,108,see,Gondola ride over Songhua River,0.89,candidate,has coordinates; has description; high-value type; strong travel term,45.77599,126.60472,Songhua River Embankment,asia/china/heilongjiang/harbin/songhua_river,0.473,2.489,2.564,needs_external_source,,https://en.wikivoyage.org/wiki/Harbin
asia/indonesia/cirebon,Cirebon,Cirebon,7,23,see,Taman Wisata Gua Sunyaragi Cirebon,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-6.73658,108.54349,Tomb of Sunan Gunung Jati,asia/indonesia/cirebon/gunung_jati_tomb,0.305,7.85,3.185,needs_external_source,,https://en.wikivoyage.org/wiki/Cirebon
asia/philippines/siquijor,Siquijor,Siquijor,10,24,see,St. Francis of Assisi Catholic Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,9.2153311,123.511557,Lazi Church and Convent,asia/philippines/siquijor/lazi_church,0.305,16.58,8.478,needs_external_source,,https://en.wikivoyage.org/wiki/Siquijor
asia/tajikistan/khojend,Khujand,Khujand,6,27,see,Independence day monument,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.28949,69.6232,Camoli Khujandi Museum,asia/tajikistan/khojend/camoli_khujandi_museum,0.53,0.47,1.23,needs_external_source,,https://en.wikivoyage.org/wiki/Khujand
asia/thailand/chantaburi,Chantaburi,Chanthaburi,14,20,see,Wat Thong Thua,0.89,candidate,has coordinates; has description; high-value type; strong travel term,12.5877,102.14188,Chanthorn Phochana,asia/thailand/chantaburi/chanta_buri/chanthorn_phochana,0.5,4.131,4.926,needs_external_source,,https://en.wikivoyage.org/wiki/Chanthaburi
europe/serbia/belgrade,Belgrade,Belgrade,16,93,see,Old Palace,0.89,candidate,has coordinates; has description; high-value type; strong travel term,44.8108,20.4626,Nikola Tesla Museum,europe/serbia/belgrade/nikola_tesla_museum,0.414,1.047,1.424,needs_external_source,,https://en.wikivoyage.org/wiki/Belgrade
asia/japan/honshu/shimonoseki,Shimonoseki,Shimonoseki,10,33,see,Kōzan-ji,0.89,candidate,has coordinates; has description; high-value type; strong travel term,33.9959,130.9819,Kozanji Temple,asia/japan/honshu/shimonoseki/kozanji_temple,0.545,2.802,5.65,needs_external_source,,https://en.wikivoyage.org/wiki/Shimonoseki
