world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/iraq/mosul,Mosul,Mosul,11,34,see,Mosque of the Prophet Yunus,0.74,candidate,has coordinates; has description; high-value type; strong travel term,36.348281,43.159872,Great Mosque of al-Nuri,asia/iraq/mosul/great_mosque_al_nuri,0.565,3.03,5.412,needs_external_source,,https://en.wikivoyage.org/wiki/Mosul
asia/thailand/chiangmai,Chiang mai,Chiang Mai,37,236,see,Wat Ton Kwen,0.74,candidate,has coordinates; has description; high-value type; strong travel term,18.72284,98.92533,Wat Umong,asia/thailand/chiangmai/wat_umong,0.571,7.373,9.674,needs_external_source,,https://en.wikivoyage.org/wiki/Chiang_Mai
asia/oman/sur,Sur,Sur,6,16,see,Sunaysilah Fort,0.74,candidate,has coordinates; has description; high-value type; strong travel term,22.579402,59.504065,Al-Ayjah Fort,asia/oman/sur/al_ayjah_fort,0.643,3.564,2.857,needs_external_source,,https://en.wikivoyage.org/wiki/Sur
africa/morocco/agadir,Agadir,Agadir,8,23,see,Memory of Agadir Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,30.424837,-9.597986,L'Étoile de Marrakesh,africa/morocco/agadir/etoile_marrakesh,0.63,0.37,1.443,needs_external_source,,https://en.wikivoyage.org/wiki/Agadir
asia/japan/honshu/nagahama,Nagahama,Nagahama,9,20,see,Ōmi Kōhō-an Temple,0.74,candidate,has coordinates; has description; high-value type; strong travel term,35.454416,136.313945,Daitsu-ji Temple,asia/japan/honshu/nagahama/daitsuji_temple,0.621,8.519,8.787,needs_external_source,,https://en.wikivoyage.org/wiki/Nagahama
europe/hungary/szeged,Szeged,Szeged,7,61,see,Gróf-palace,0.74,candidate,has coordinates; has description; high-value type; strong travel term,46.2563,20.1516,Móra Ferenc Museum,europe/hungary/szeged/mora_ferenc_museum,0.554,0.446,0.296,needs_external_source,,https://en.wikivoyage.org/wiki/Szeged
asia/japan/honshu/nagoya,Nagoya,Nagoya,50,66,see,Shirotori Garden,0.74,candidate,has coordinates; has description; high-value type; strong travel term,35.125878,136.900898,Noritake Garden,asia/japan/honshu/nagoya/noritake_garden,0.645,6.374,6.586,needs_external_source,,https://en.wikivoyage.org/wiki/Nagoya
northamerica/unitedstates/massachusetts/concord,Concord,Concord (Massachusetts),7,55,do,Old Rifle Range,0.74,candidate,has coordinates; has description; high-value type; strong travel term,42.4445,-71.3918,The Old Manse,northamerica/unitedstates/massachusetts/concord/old_manse,0.583,4.371,3.939,needs_external_source,,https://en.wikivoyage.org/wiki/Concord_%28Massachusetts%29
asia/china/heilongjiang/yichun,Yichun,Yichun (Heilongjiang),4,5,see,Xiaoxing'anling Stone Carving Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,47.720466,128.887787,Forest Products Market,asia/china/heilongjiang/yichun/forest_market,0.644,0.356,0.356,needs_external_source,,https://en.wikivoyage.org/wiki/Yichun_%28Heilongjiang%29
europe/slovenia/savinja_and_alek,Savinja and Šalek Valley,Savinja and Šalek Valley,7,16,see,Mozirski gaj,0.74,candidate,has coordinates; has description; high-value type; strong travel term,46.3356728,14.9636598,Mozirski Gaj Flower Garden,europe/slovenia/savinja_and_alek/mozirski_gaj,0.632,0.417,9.522,needs_external_source,,https://en.wikivoyage.org/wiki/Savinja_and_%C5%A0alek_Valley
europe/russia/yakutsk,Yakutsk,Yakutsk,13,53,do,The Suorun Omollona State Theater of Opera and Ballet,0.74,candidate,has coordinates; has description; high-value type; strong travel term,62.0234,129.7196,Mammoth Museum,europe/russia/yakutsk/mammoth_museum,0.65,0.35,0.785,needs_external_source,,https://en.wikivoyage.org/wiki/Yakutsk
europe/spain/andalucia/marbella,Marbella,Marbella,13,42,see,Parque de la Represa,0.74,candidate,has coordinates; has description; high-value type; strong travel term,36.51426,-4.88321,Muralla Urbana de Marbella,europe/spain/andalucia/marbella/muralla_urbana,0.661,0.339,0.626,needs_external_source,,https://en.wikivoyage.org/wiki/Marbella
asia/turkey/diyarbakir,Diyarbakir,Diyarbakır,11,20,see,Ataturk Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,37.915235,40.24247,Ziya Gökalp Museum,asia/turkey/diyarbakir/ziya_gokalp_museum,0.562,1.093,0.552,needs_external_source,,https://en.wikivoyage.org/wiki/Diyarbak%C4%B1r
