world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/liaoning/shenyang,Shenyang,Shenyang,6,59,see,Sacred Heart of Jesus Cathedral,0.81,candidate,has coordinates; high-value type; strong travel term,41.7883,123.4467,Shenyang Imperial Palace (Mukden Palace),asia/china/liaoning/shenyang/shenyang_imperial_palace,0.327,1.224,2.227,needs_external_source,,https://en.wikivoyage.org/wiki/Shenyang
asia/india/andhrapradesh/visakhapatnam,Visakhapatnam,Visakhapatnam,11,44,see,UH3H Helicopter Museum,0.81,candidate,has coordinates; high-value type; strong travel term,17.717452,83.329089,Visakha Museum,asia/india/andhrapradesh/visakhapatnam/visakha_musuem,0.526,0.474,4.732,needs_external_source,,https://en.wikivoyage.org/wiki/Visakhapatnam
asia/indonesia/lombok/giliislands/gili_air,Gili Air,Gili Air,0,21,see,Central Mosque,0.81,candidate,has coordinates; high-value type; strong travel term,-8.36,116.0825,,,0.0,,0.68,needs_external_source,,https://en.wikivoyage.org/wiki/Gili_Air
europe/ukraine/uzhgorod,Uzhhorod,Uzhhorod,5,33,see,Church Petra and Paula,0.81,candidate,has coordinates; high-value type; strong travel term,48.62396,22.2794,Museum of Folk Architecture and Life,europe/ukraine/uzhgorod/museum_of_folk_architecture,0.414,1.985,0.717,needs_external_source,,https://en.wikivoyage.org/wiki/Uzhhorod
northamerica/unitedstates/ohio/delaware,Delaware,Delaware (Ohio),7,20,do,Blue Limestone Park,0.81,candidate,has coordinates; high-value type; strong travel term,40.3009,-83.0804,Elliott Hall,northamerica/unitedstates/ohio/delaware/elliott_hall,0.387,1.252,1.08,needs_external_source,,https://en.wikivoyage.org/wiki/Delaware_%28Ohio%29
northamerica/unitedstates/florida/palatka,Palatka,Palatka,4,20,see,Historic Lemon Street,0.81,candidate,has coordinates; high-value type; strong travel term,29.6471,-81.634,St. Johns River Waterfront,northamerica/unitedstates/florida/palatka/st_johns_riverfront,0.391,1.086,0.363,needs_external_source,,https://en.wikivoyage.org/wiki/Palatka
europe/moldova/tiraspol,Tiraspol,Tiraspol,8,19,see,Yuriy Gagarin Monument,0.81,candidate,has coordinates; high-value type; strong travel term,46.8372242,29.6310987,Suvorov Square,europe/moldova/tiraspol/suvorov_square,0.333,1.525,1.529,needs_external_source,,https://en.wikivoyage.org/wiki/Tiraspol
europe/italy/veneto/cortina_dampezzo,Cortina d'Ampezzo,Cortina d'Ampezzo,10,66,see,Sant'Antonio di Padova church,0.81,candidate,has coordinates; high-value type; strong travel term,46.55338,12.135,Sacrario Militare di Pocol,europe/italy/veneto/cortina_dampezzo/sacrario_pocol,0.436,3.234,1.683,needs_external_source,,https://en.wikivoyage.org/wiki/Cortina_d%27Ampezzo
northamerica/canada/britishcolumbia/hope,Hope,Hope (British Columbia),8,22,do,Rotary Nature Trail,0.81,candidate,has coordinates; high-value type; strong travel term,49.39323,-121.44128,Home Restaurant,northamerica/canada/britishcolumbia/hope/home-restaurant,0.353,1.339,1.471,needs_external_source,,https://en.wikivoyage.org/wiki/Hope_%28British_Columbia%29
europe/spain/andalucia/algeciras,Algeciras,Algeciras,4,17,do,Getares beach,0.81,candidate,has coordinates; high-value type; strong travel term,36.097317,-5.442806,Parque Maria Cristina,europe/spain/andalucia/algeciras/parque_maria_cristina,0.353,4.156,3.79,needs_external_source,,https://en.wikivoyage.org/wiki/Algeciras
europe/spain/catalonia/girona,Girona,Girona,7,51,see,Gala Dalí Castle,0.81,candidate,has coordinates; high-value type; strong travel term,42.0147,2.9833,Girona Cathedral,europe/spain/catalonia/girona/girona_cathedral,0.452,13.313,14.062,needs_external_source,,https://en.wikivoyage.org/wiki/Girona
europe/unitedkingdom/scotland/forres,Forres,Forres,0,16,see,Findhorn Heritage Centre,0.81,candidate,has coordinates; high-value type; strong travel term,57.661,-3.614,,,0.0,,5.891,needs_external_source,,https://en.wikivoyage.org/wiki/Forres
asia/turkmenistan/turkmenbashi,Turkmenbashi,Turkmenbashi,3,9,see,Church of Archangel Michael,0.81,candidate,has coordinates; high-value type; strong travel term,40.008512,52.999186,Cave of Dzhebel,asia/turkmenistan/turkmenbashi/cave_of_dzhebel,0.381,3.428,0.602,needs_external_source,,https://en.wikivoyage.org/wiki/Turkmenbashi
asia/saudiarabia/jeddah,Jeddah,Jeddah,18,54,see,Abdul Raouf Khalil Museum,0.81,candidate,has coordinates; high-value type; strong travel term,21.5806,39.1769,Al Rahmah Mosque,asia/saudiarabia/jeddah/floating_mosque,0.537,5.288,3.365,needs_external_source,,https://en.wikivoyage.org/wiki/Jeddah
europe/unitedkingdom/scotland/greenock,Greenock,Greenock,4,15,see,Newark Castle,0.81,candidate,has coordinates; high-value type; strong travel term,55.935,-4.678,James Watt Dock Crane,europe/unitedkingdom/scotland/greenock/james_watt_dock_crane,0.471,3.404,5.076,needs_external_source,,https://en.wikivoyage.org/wiki/Greenock
europe/romania/turda,Turda,Turda,4,9,see,Trascăul Fortress,0.81,candidate,has coordinates; high-value type; strong travel term,46.4252041,23.5431635,Turda Gorge (Cheile Turzii),europe/romania/turda/turda_gorge,0.429,18.735,24.447,needs_external_source,,https://en.wikivoyage.org/wiki/Turda
asia/turkey/ankara,Ankara,Ankara,13,116,see,Monument to Security,0.81,candidate,has coordinates; high-value type; strong travel term,39.92,32.8532,Kızılay,asia/turkey/ankara/kizilay,0.543,0.457,0.113,needs_external_source,,https://en.wikivoyage.org/wiki/Ankara
asia/turkey/cappadocia/avanos,Avanos,Avanos,4,12,see,Chez Galip Museum,0.81,candidate,has coordinates; high-value type; strong travel term,38.7138,34.8272,Kizilirmak River,asia/turkey/cappadocia/avanos/kizilirmak_river,0.303,17.619,17.619,needs_external_source,,https://en.wikivoyage.org/wiki/Avanos
europe/italy/puglia/gravina_in_puglia,Gravina in Puglia,Gravina di Puglia,7,71,see,St. George Church,0.81,candidate,has coordinates; high-value type; strong travel term,40.817874,16.423756,Gravina Cathedral,europe/italy/puglia/gravina_in_puglia/gravina_cathedral,0.364,0.865,0.222,needs_external_source,,https://en.wikivoyage.org/wiki/Gravina_di_Puglia
asia/turkey/marmaris,Marmaris,Marmaris,8,18,see,Phosphorus Cave,0.81,candidate,has coordinates; high-value type; strong travel term,36.7921,28.2843,Marmaris Castle,asia/turkey/marmaris/marmaris_castle,0.4,6.564,6.748,needs_external_source,,https://en.wikivoyage.org/wiki/Marmaris
europe/lithuania/kaunas,Kaunas,Kaunas,16,90,see,Nemunas Park,0.81,candidate,has coordinates; high-value type; strong travel term,54.8924,23.9092,Kaunas Cathedral,europe/lithuania/kaunas/kaunas_cathedral,0.5,1.398,0.767,needs_external_source,,https://en.wikivoyage.org/wiki/Kaunas
northamerica/unitedstates/alabama/tuscumbia,Tuscumbia,Tuscumbia,4,6,do,Spring Park,0.81,candidate,has coordinates; high-value type; strong travel term,34.72874,-87.70479,Colbert County Courthouse Square,northamerica/unitedstates/alabama/tuscumbia/colbert_county_courthouse,0.425,0.575,0.343,needs_external_source,,https://en.wikivoyage.org/wiki/Tuscumbia
europe/finland/vaasa,Vaasa,Vaasa,12,80,see,Strömberg Industrial Park,0.81,candidate,has coordinates; high-value type; strong travel term,63.0841,21.6669,Wasa Graffitilandia,europe/finland/vaasa/wasa_graffitilandia,0.364,4.114,2.882,needs_external_source,,https://en.wikivoyage.org/wiki/Vaasa
asia/philippines/samarisland/catarman__samar_is,Catarman,Catarman,4,5,do,White Beach Resort,0.81,candidate,has coordinates; high-value type; strong travel term,12.507992541914993,124.67798733712993,Biri Island Rock Formations,asia/philippines/samarisland/catarman__samar_is/biri_island_rock_formations,0.311,38.113,6.712,needs_external_source,,https://en.wikivoyage.org/wiki/Catarman
asia/india/dadraandnagarhaveli/silvassa,Silvassa,Silvassa,3,12,see,Park Ram Temple,0.81,candidate,has coordinates; high-value type; strong travel term,20.26712,73.00819,Tribal Cultural Museum,asia/india/dadraandnagarhaveli/silvassa/tribal_cultural_museum,0.324,1.295,1.392,needs_external_source,,https://en.wikivoyage.org/wiki/Silvassa
europe/netherlands/dezaanseschans,De Zaanse Schans,Zaanse Schans,0,20,see,Distillery Museum De Tweekoppige Phoenix,0.81,candidate,has coordinates; high-value type; strong travel term,52.47313,4.82057,,,0.0,,0.269,needs_external_source,,https://en.wikivoyage.org/wiki/Zaanse_Schans
asia/turkey/erzincan,Erzincan,Erzincan,7,12,see,Terzibaba Mosque,0.81,candidate,has coordinates; high-value type; strong travel term,39.7453,39.504,Munzur Mountains,asia/turkey/erzincan/munzur_mountains,0.312,25.406,1.084,needs_external_source,,https://en.wikivoyage.org/wiki/Erzincan
asia/china/hunan/hengyang,Hengyang,Hengyang,4,29,see,Ecology Park,0.81,candidate,has coordinates; high-value type; strong travel term,26.8946,112.5507,Huiyan Peak,asia/china/hunan/hengyang/huiyan_peak,0.435,3.048,3.479,needs_external_source,,https://en.wikivoyage.org/wiki/Hengyang
northamerica/mexico/sancristobaldelascasas,San Cristóbal de las Casas,San Cristóbal de las Casas,9,52,see,flower market,0.81,candidate,has coordinates; high-value type; strong travel term,16.760774,-92.723228,Plaza 31 de Marzo,northamerica/mexico/sancristobaldelascasas/plaza31marzo,0.37,9.493,9.536,needs_external_source,,https://en.wikivoyage.org/wiki/San_Crist%C3%B3bal_de_las_Casas
