world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
africa/ethiopia/bahardar,Bahir Dar,Bahir Dar,9,17,see,Hornbill trees,0.55,candidate,has description; high-value type,,,Blue Nile Falls,africa/ethiopia/bahardar/blue_nile_falls,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bahir_Dar,candidate score 0.55 is below the 6.0 POI threshold
asia/china/yunnanprovince/kunming,Kunming,Kunming,50,81,do,China Kunming International Art Festival,0.55,candidate,has description; high-value type,,,Kunming Botanical Garden,asia/china/yunnanprovince/kunming/kunming_botanical_garden,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kunming,candidate score 0.55 is below the 6.0 POI threshold
asia/vietnam/hanoi,Hanoi,Hanoi,46,144,see,Laos,0.55,candidate,has description; high-value type,,,Tadioto,asia/vietnam/hanoi/tadioto,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hanoi,candidate score 0.55 is below the 6.0 POI threshold
africa/tunisia/dougga,Dougga,Dougga,9,14,see,Septimius Severus's arch.,0.55,candidate,has description; high-value type,,,Arch of Alexander Severus,africa/tunisia/dougga/arch_of_alexander_severus,0.367,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dougga,candidate score 0.55 is below the 6.0 POI threshold
europe/russia/irkutsk,Irkutsk,Irkutsk,10,66,see,Volkonskiy House,0.55,candidate,has description; high-value type,,,Znamensky Convent,europe/russia/irkutsk/znamensky_convent,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Irkutsk,candidate score 0.55 is below the 6.0 POI threshold
europe/france/alpes/stetienne,Saint-Étienne,Saint-Étienne,9,18,see,Maison François 1st,0.55,candidate,has description; high-value type,,45.436077,Opéra de Saint-Étienne,europe/france/alpes/stetienne/opera_saint_etienne,0.378,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Saint-%C3%89tienne,candidate score 0.55 is below the 6.0 POI threshold
asia/india/himachalpradesh/manali,Manali,Manali,10,47,see,Nehru Kund,0.55,candidate,has description; high-value type,,,Bhrigu Lake Trek,asia/india/himachalpradesh/manali/bhrigu_lake_trek,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Manali,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/australia/westernaustralia/perth,Perth,Perth,34,18,do,Raves and Festivals,0.55,candidate,has description; high-value type,,,Swan Bells,australiaandpacific/australia/westernaustralia/perth/swan_bells,0.483,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Perth,candidate score 0.55 is below the 6.0 POI threshold
europe/unitedkingdom/england/london,London,London,76,205,see,Solomon Islands,0.55,candidate,has description; high-value type,,,Bookmongers,europe/unitedkingdom/england/london/bookmongers,0.462,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/London,candidate score 0.55 is below the 6.0 POI threshold
asia/jordan/umm_qais,Umm Qais,Umm Qais,3,11,see,Pillar path,0.55,candidate,has description; high-value type,,,West Theatre,asia/jordan/umm_qais/west_theatre,0.261,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Umm_Qais,candidate score 0.55 is below the 6.0 POI threshold
africa/morocco/erfoud,Erfoud,Erfoud,4,40,see,Internet Cafés,0.55,candidate,has description; high-value type,,,Tafilalet Palmery,africa/morocco/erfoud/tafilalet_palmeraie,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Erfoud,candidate score 0.55 is below the 6.0 POI threshold
asia/china/hunan/hengyang,Hengyang,Hengyang,4,29,do,Jiulong Valley Water Rafting,0.55,candidate,has description; high-value type,,,Shigu Academy,asia/china/hunan/hengyang/shigu_academy,0.293,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hengyang,candidate score 0.55 is below the 6.0 POI threshold
asia/pakistan/jhelum,Jhelum,Jhelum,6,17,see,Hazrat Baba Sain Sarkar Shrine,0.55,candidate,has description; high-value type,,,Gurdwara Chowa Sahib,asia/pakistan/jhelum/gurdwara_chowa_sahib,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Jhelum,candidate score 0.55 is below the 6.0 POI threshold
asia/saudiarabia/dammam,Dammam,Dammam,6,16,see,Flagpole,0.55,candidate,has description; high-value type,,,Heritage Village,asia/saudiarabia/dammam/heritage_village,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dammam,candidate score 0.55 is below the 6.0 POI threshold
asia/china/guangxi/xingping,Xingping,Xingping,4,11,see,¥20 Point,0.55,candidate,has description; high-value type,,,Twenty-Yuan Banknote Viewpoint,asia/china/guangxi/xingping/twenty_yuan_viewpoint,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Xingping,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/hatyai,Hat Yai,Hat Yai,9,109,see,Konsortium Bas Ekspress Semenanjung,0.55,candidate,has description; high-value type,,,Khlong Hae Floating Market,asia/thailand/hatyai/khlong_hae_floating_market,0.262,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hat_Yai,candidate score 0.55 is below the 6.0 POI threshold
