world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/finland/lappeenranta,Lappeenranta,Lappeenranta,7,21,see,Jewellery museum,0.79,candidate,has coordinates; has description; high-value type; strong travel term,60.7902,28.012,South Karelia Museum,europe/finland/lappeenranta/south_karelia_museum,0.5,32.044,31.346,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Lappeenranta
africa/nigeria/ibadan,Ibadan,Ibadan,10,72,do,Ado Awaye Mountains and Suspended Lakes,0.79,candidate,has coordinates; has description; high-value type; strong travel term,7.8315,3.4361,Cocoa House,africa/nigeria/ibadan/cocoa_house,0.28,69.773,70.759,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ibadan
asia/pakistan/lahore,Lahore,Lahore,68,87,see,Hiran Minar,0.79,candidate,has coordinates; has description; high-value type; strong travel term,31.74291,73.95469,Jilani Park (Race Course),asia/pakistan/lahore/race_course_park,0.545,42.425,39.322,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Lahore
europe/georgia/kakheti,Kakheti,Kakheti,13,28,do,Lagodekhi Nature Reserve,0.79,candidate,has coordinates; has description; high-value type; strong travel term,41.866197,46.317629,Shuamta Monasteries,europe/georgia/kakheti/shuamta_monasteries,0.372,75.627,55.387,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kakheti
asia/china/fujianprovince/zhangzhou,Zhangzhou,Zhangzhou,4,13,see,Zhao Jiaobao (disambiguation),0.79,candidate,has coordinates; has description; high-value type; strong travel term,24.12,117.61,Dongshan Peninsula,asia/china/fujianprovince/zhangzhou/dongshan_peninsula,0.333,45.049,44.297,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Zhangzhou
asia/china/innermongolia/chifeng,Chifeng,Chifeng,7,23,see,Prince Karaqin's Mansion,0.79,candidate,has coordinates; has description; high-value type; strong travel term,41.951819,118.928488,Chifeng Museum,asia/china/innermongolia/chifeng/chifeng_museum,0.316,34.828,34.973,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Chifeng
asia/china/hunan/zhuzhou,Zhuzhou,Zhuzhou,4,48,see,Lujiang Academy,0.79,candidate,has coordinates; has description; high-value type; strong travel term,27.649171,113.492445,Longshan Temple,asia/china/hunan/zhuzhou/longshan_temple,0.4,36.937,40.124,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Zhuzhou
europe/greece/epirus,Epirus,Epirus,5,13,see,Kassiopi,0.79,candidate,has coordinates; has description; high-value type; strong travel term,39.1478,20.6778,Ioannina,europe/greece/epirus/ioannina,0.375,59.413,45.153,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Epirus
asia/china/fujianprovince/zhangzhou,Zhangzhou,Zhangzhou,4,13,see,White Cay Tzu Chi Palace,0.79,candidate,has coordinates; has description; high-value type; strong travel term,24.48,117.95,Dongshan Peninsula,asia/china/fujianprovince/zhangzhou/dongshan_peninsula,0.286,95.576,30.628,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Zhangzhou
asia/indonesia/wakatobi,Wakatobi,Wakatobi,0,26,do,Close to the Wakatobi Dive Resort on Pulau Tolandona,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-5.772403,123.893031,,,0.0,,61.165,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Wakatobi
asia/china/hebei/cangzhou,Cangzhou,Cangzhou,3,63,see,Huanghua Port Golden Beach Scenic Area,0.79,candidate,has coordinates; has description; high-value type; strong travel term,38.26442,117.74532,Cangzhou Martial Arts Culture,asia/china/hebei/cangzhou/cangzhou_martial_arts,0.358,76.641,76.641,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Cangzhou
australiaandpacific/australia/queensland/bundaberg,Bundaberg,Bundaberg,12,11,see,Boolboonda Tunnel,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-25.0815,151.676,Bourbong Street and the Heritage CBD,australiaandpacific/australia/queensland/bundaberg/bourbong_street,0.327,71.945,72.228,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Bundaberg
europe/ukraine/ivanofrankivsk,Ivano-Frankivsk,Ivano-Frankivsk,9,103,see,Kalush,0.79,candidate,has coordinates; has description; high-value type; strong travel term,49.044167,24.359722,Potocki Palace,europe/ukraine/ivanofrankivsk/potocki_palace,0.3,29.042,28.944,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ivano-Frankivsk
asia/india/himachalpradesh/mandi,Mandi,Mandi,9,10,see,Gadda Gusaini,0.79,candidate,has coordinates; has description; high-value type; strong travel term,31.5629,77.302,Mata Kuan Rani Temple,asia/india/himachalpradesh/mandi/mata_kuan_rani_temple,0.412,40.16,38.546,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Mandi
europe/georgia/kakheti,Kakheti,Kakheti,13,28,see,Khornabuji fortress,0.79,candidate,has coordinates; has description; high-value type; strong travel term,41.486461,46.136831,Shuamta Monasteries,europe/georgia/kakheti/shuamta_monasteries,0.421,76.877,47.65,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kakheti
northamerica/unitedstates/california/big_sur,Big Sur,Big Sur,0,22,do,Sand Dollar Beach,0.79,candidate,has coordinates; has description; high-value type; strong travel term,35.9241,-121.4743,,,0.0,,25.733,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Big_Sur
europe/ukraine/ivanofrankivsk,Ivano-Frankivsk,Ivano-Frankivsk,9,103,see,Pniv town,0.79,candidate,has coordinates; has description; high-value type; strong travel term,48.6227,24.555,Town Hall (Ratusha),europe/ukraine/ivanofrankivsk/town_hall,0.444,35.297,35.264,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ivano-Frankivsk
asia/china/hubei/jingmen,Jingmen,Jingmen,5,8,do,Mochou Village,0.79,candidate,has coordinates; has description; high-value type; strong travel term,31.21,112.63,Yuanyou Palace,asia/china/hubei/jingmen/yuanyou_palace,0.429,6.387,45.085,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Jingmen
