world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/maine/kennebunkport,Kennebunkport,Kennebunkport,13,28,do,Hillcrest Pitch & Putt,0.55,candidate,has description; high-value type,,,Goat Island Light,northamerica/unitedstates/maine/kennebunkport/goat_island_light,0.39,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kennebunkport,candidate score 0.55 is below the 6.0 POI threshold
asia/bahrain/manama,Manama,Manama,15,63,do,Dolphin Watching,0.55,candidate,has description; high-value type,,,Bahrain National Museum,asia/bahrain/manama/newmuseum,0.41,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Manama,candidate score 0.55 is below the 6.0 POI threshold
northamerica/mexico/ensenada,Ensenada,Ensenada,8,39,do,Canon de Dona Petra Hike,0.55,candidate,has description; high-value type,,,Mercado Negro (Fish Market),northamerica/mexico/ensenada/mercado_negro,0.412,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ensenada,candidate score 0.55 is below the 6.0 POI threshold
europe/liechtenstein/vaduz,Vaduz,Vaduz,13,23,see,The Prince's Wine Collection,0.55,candidate,has description; high-value type,,,Kunstmuseum Liechtenstein,europe/liechtenstein/vaduz/kunstmuseum_liechtenstein,0.367,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vaduz,candidate score 0.55 is below the 6.0 POI threshold
asia/india/tamilnadu/salem,Salem,Salem (India),8,40,see,Tamil Nadu Tourism Development Corporation,0.55,candidate,has description; high-value type,,,"Holy Trinity Church, Yercaud",asia/india/tamilnadu/salem/holy_trinity_church_yercaud,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Salem_%28India%29,candidate score 0.55 is below the 6.0 POI threshold
europe/iceland/borgarnes,Borgarnes,Borgarnes,5,12,see,Deildartunguhver,0.55,candidate,has description; high-value type,,,Skallagrímsgarður,europe/iceland/borgarnes/skallagrimsgardur,0.303,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Borgarnes,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/australia/newsouthwales/wollongong,Wollongong,Wollongong,8,68,see,Kangaroo Valley,0.55,candidate,has description; high-value type,,,Wollongong Art Gallery,australiaandpacific/australia/newsouthwales/wollongong/wollongong_art_gallery,0.541,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Wollongong,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/texas/san_angelo,San Angelo,San Angelo,5,50,do,Ranches,0.55,candidate,has description; high-value type,,,Fort Concho,northamerica/unitedstates/texas/san_angelo/fort_concho,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/San_Angelo,candidate score 0.55 is below the 6.0 POI threshold
asia/china/jiangsu_province/taizhou,Taizhou,Taizhou (Jiangsu),5,6,see,Hu Jintao's birthplace,0.55,candidate,has description; high-value type,,,Hailing Old Pedestrian Street,asia/china/jiangsu_province/taizhou/hailing_old_street,0.314,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Taizhou_%28Jiangsu%29,candidate score 0.55 is below the 6.0 POI threshold
asia/vietnam/hanoi,Hanoi,Hanoi,46,144,see,Lee Laundry,0.55,candidate,has description; high-value type,21.03504,,West Lake,asia/vietnam/hanoi/west_lake,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hanoi,candidate score 0.55 is below the 6.0 POI threshold
asia/india/gujarat/kutch/bhuj,Bhuj,Bhuj,11,21,do,The Rann Utsav,0.55,candidate,has description; high-value type,,,Prag Mahal,asia/india/gujarat/kutch/bhuj/prag_mahal,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bhuj,candidate score 0.55 is below the 6.0 POI threshold
