world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/romania/tirgujiu,Târgu Jiu,Târgu Jiu,5,9,see,God's Bridge,0.75,candidate,has coordinates; has description; high-value type,44.975,22.761111,Table of Silence,europe/romania/tirgujiu/table_of_silence,0.357,40.455,40.917,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/T%C3%A2rgu_Jiu
europe/macedonia/kicevo,Kičevo,Kičevo,4,32,see,Prilep,0.75,candidate,has coordinates; has description; high-value type,41.3333,21.5833,Treska River Gorge,europe/macedonia/kicevo/treska_river_gorge,0.25,48.179,55.636,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ki%C4%8Devo
asia/china/zhejiang/ningbo,Ningbo,Ningbo,50,112,do,Xuedou Mountain,0.75,candidate,has coordinates; has description; high-value type,29.6844,121.2159,Yuehu Mosque,asia/china/zhejiang/ningbo/yuehu_mosque,0.519,37.432,38.088,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ningbo
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,see,Rubber Tree Road,0.75,candidate,has coordinates; has description; high-value type,9.087241,99.278588,Tapee River Waterfront,asia/thailand/surat_thani/tapee_river_waterfront,0.316,,64.888,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Surat_Thani
asia/india/himachalpradesh/mandi,Mandi,Mandi,9,10,see,Jhatingri,0.75,candidate,has coordinates; has description; high-value type,31.9478413,76.8818235,Mata Kuan Rani Temple,asia/india/himachalpradesh/mandi/mata_kuan_rani_temple,0.333,25.59,27.197,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Mandi
africa/southafrica/krugernationalpark,Kruger National Park,Kruger National Park,7,74,see,Shipandani,0.75,candidate,has coordinates; has description; high-value type,-23.5301,31.4098,Sabi Sand Game Reserve,africa/southafrica/krugernationalpark/sabi_sand_reserve,0.375,141.337,53.051,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kruger_National_Park
asia/china/sichuanprovince/leshan,Leshan,Leshan,4,18,see,Jinkouhe Grand Canyon,0.75,candidate,has coordinates; has description; high-value type,29.290809,103.020221,Lingyun Mountain,asia/china/sichuanprovince/leshan/lingyun_mountain,0.378,78.297,77.566,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Leshan
southamerica/ecuador/esmeraldas,Esmeraldas,Esmeraldas,4,14,do,Malecón de Tachina,0.75,candidate,has coordinates; has description; high-value type,0.96238,-79.63087,Las Palmas Beach,southamerica/ecuador/esmeraldas/las_palmas_beach,0.444,4.463,37.212,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Esmeraldas
asia/china/ningxia/yinchuan,Yinchuan,Yinchuan,8,29,see,108 Dagobas (stupas),0.75,candidate,has coordinates; has description; high-value type,38.02094,106.06909,Haibao Pagoda,asia/china/ningxia/yinchuan/haibao_pagoda,0.417,58.428,53.637,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Yinchuan
northamerica/unitedstates/california/goldcountry/sacramento,Sacramento,Sacramento,60,75,see,Folsom Lake,0.75,candidate,has coordinates; has description; high-value type,38.7206,-121.1339,Folsom Lake State Recreation Area,northamerica/unitedstates/california/goldcountry/sacramento/folsom_lake,0.5,4.531,34.901,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Sacramento
southamerica/paraguay/aregua,Areguá,Areguá,5,11,see,Basílica Menor Nuestra Señora de los Milagros de Caacupé,0.75,candidate,has coordinates; has description; high-value type,-25.386,-57.141,Centro Cultural del Lago,southamerica/paraguay/aregua/centro_cultural_del_lago,0.4,29.243,29.296,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Aregu%C3%A1
africa/southafrica/krugernationalpark,Kruger National Park,Kruger National Park,7,74,see,Ratel Pan,0.75,candidate,has coordinates; has description; high-value type,-24.2421,31.6428,Pafuri Region,africa/southafrica/krugernationalpark/pafuri_region,0.273,203.31,29.593,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kruger_National_Park
europe/ukraine/poltava,Poltava,Poltava,7,54,see,Former Dokhman shop,0.75,candidate,has coordinates; has description; high-value type,49.585391,34.553449,Column of Glory,europe/ukraine/poltava/column_of_glory,0.294,1.055,65.379,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Poltava
europe/ukraine/poltava,Poltava,Poltava,7,54,see,House of general-gubernator,0.75,candidate,has coordinates; has description; high-value type,49.59006,34.54873,Column of Glory,europe/ukraine/poltava/column_of_glory,0.496,0.504,64.835,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Poltava
asia/china/hubei/enshi,Enshi,Enshi,4,42,see,Luyuanping Ecological Scenic Area,0.75,candidate,has coordinates; has description; high-value type,30.494337,109.187053,Enshi Yulu Tea,asia/china/hubei/enshi/enshi_yulu_tea,0.255,38.015,38.015,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Enshi
southamerica/paraguay/concepcion,Concepción,Concepción (Paraguay),4,28,see,Puerto de Conepción,0.75,candidate,has coordinates; has description; high-value type,-23.407451,-57.45469,Mercado Municipal,southamerica/paraguay/concepcion/mercado_municipal,0.424,38.841,38.912,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Concepci%C3%B3n_%28Paraguay%29
europe/macedonia/kicevo,Kičevo,Kičevo,4,32,see,Struga,0.75,candidate,has coordinates; has description; high-value type,41.1775,20.6789,Bistra Mountain,europe/macedonia/kicevo/bistra_mountain,0.381,47.78,43.62,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ki%C4%8Devo
australiaandpacific/palau/rockislands,Rock Islands,Rock Islands,0,5,see,Blue Corner,0.75,candidate,has coordinates; has description; high-value type,7.134,134.218,,,0.0,,36.088,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Rock_Islands
australiaandpacific/palau/rockislands,Rock Islands,Rock Islands,0,5,see,Big Drop-off,0.75,candidate,has coordinates; has description; high-value type,7.057,134.255,,,0.0,,39.52,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Rock_Islands
asia/thailand/kanchanaburi,Kanchanaburi,Kanchanaburi,7,41,see,The Erawan Falls,0.75,candidate,has coordinates; has description; high-value type,14.36868,99.14494,JEATH War Museum,asia/thailand/kanchanaburi/jeathwarmuseum,0.429,59.508,58.34,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kanchanaburi
southamerica/chile/puntaarenas,Punta Arenas,Punta Arenas,28,58,do,Monte Tarn,0.75,candidate,has coordinates; has description; high-value type,-53.7667,-71.0167,In Patagonia,southamerica/chile/puntaarenas/in_patagonia,0.455,,67.562,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Punta_Arenas
northamerica/unitedstates/northdakota/williston,Williston,Williston (North Dakota),8,27,do,Cottonwood Lake,0.75,candidate,has coordinates; has description; high-value type,48.585018,-103.456176,Confluence Coffee,northamerica/unitedstates/northdakota/williston/confluence_coffee,0.312,,50.268,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Williston_%28North_Dakota%29
asia/turkey/kackar/rize,Rize,Rize,5,7,see,Ataturk House,0.75,candidate,has coordinates; has description; high-value type,41.0234,40.5342,Rize Museum,asia/turkey/kackar/rize/rize_museum,0.417,1.558,30.31,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Rize
