world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/arizona/kingman,Kingman,Kingman,13,39,see,Kingman Area Regional Transport,0.59,candidate,has description; high-value type; has external URL,,,Kingman Railroad Depot,northamerica/unitedstates/arizona/kingman/kingman_railroad_depot,0.491,,,missing_coordinates; has_external_url,https://www.cityofkingman.gov/government/departments/kart,https://en.wikivoyage.org/wiki/Kingman
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,see,Indy Fringe Festival,0.59,candidate,has description; high-value type; has external URL,,,Benjamin Harrison Presidential Site,northamerica/unitedstates/indiana/indianapolis/benjamin_harrison_home,0.473,,,missing_coordinates; has_external_url,http://www.indyfringe.org/,https://en.wikivoyage.org/wiki/Indianapolis
europe/netherlands/amsterdam,Amsterdam,Amsterdam,153,66,see,GVB cards,0.59,candidate,has description; high-value type; has external URL,,,Paradiso,europe/netherlands/amsterdam/paradiso,0.471,,,missing_coordinates; has_external_url,https://reisproducten.gvb.nl/en/toeristen,https://en.wikivoyage.org/wiki/Amsterdam
northamerica/unitedstates/alabama/huntsville,Huntsville,Huntsville (Alabama),16,74,do,Con*Stellation,0.59,candidate,has description; high-value type; has external URL,,,Alabama Constitution Village,northamerica/unitedstates/alabama/huntsville/alabama_constitution_village,0.429,,,missing_coordinates; has_external_url,http://www.con-stellation.org,https://en.wikivoyage.org/wiki/Huntsville_%28Alabama%29
northamerica/unitedstates/massachusetts/newburyport,Newburyport,Newburyport,12,33,do,Newburyport Buskers Festival,0.59,candidate,has description; high-value type; has external URL,,,Newburyport Harbor Range Lights,northamerica/unitedstates/massachusetts/newburyport/harbor_range_lights,0.475,,,missing_coordinates; has_external_url,http://www.newburyportchamber.org/buskers.shtml,https://en.wikivoyage.org/wiki/Newburyport
northamerica/unitedstates/california/sanjose,San Jose,San Jose (California),6,114,do,Pacificon,0.59,candidate,has description; high-value type; has external URL,,,Eating Out,northamerica/unitedstates/california/sanjose/eating_out,0.316,,,missing_coordinates; has_external_url,http://www.pacificon.org,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
asia/easttimor/dili,Dili,Dili,19,61,see,New Zealand,0.59,candidate,has description; high-value type; has external URL,,,Government Palace,asia/easttimor/dili/government_palace,0.357,,,missing_coordinates; has_external_url,https://www.mfat.govt.nz/en/countries-and-regions/asia/timor-leste/new-zealand-embassy,https://en.wikivoyage.org/wiki/Dili
europe/greece/skyros,Skyros,Skyros,8,39,do,Horse riding,0.59,candidate,has description; high-value type; has external URL,,,Skyrian Horse Reserve,europe/greece/skyros/skyrian_horse,0.424,,,missing_coordinates; has_external_url,https://skyrianhorses.weebly.com,https://en.wikivoyage.org/wiki/Skyros
northamerica/britishvirginislands/virgingorda,Virgin Gorda,Virgin Gorda,11,56,see,Mahogany Rentals,0.59,candidate,has description; high-value type; has external URL,,,Mahoe Bay,northamerica/britishvirginislands/virgingorda/mahoe_bay,0.48,,,missing_coordinates; has_external_url,http://www.mahoganycarrentalsbvi.com/,https://en.wikivoyage.org/wiki/Virgin_Gorda
northamerica/unitedstates/california/san_jose,San Jose,San Jose (California),33,114,do,BayCon,0.59,candidate,has description; high-value type; has external URL,,,Back A Yard,northamerica/unitedstates/california/san_jose/back_a_yard,0.4,,,missing_coordinates; has_external_url,https://baycon.org/,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
northamerica/unitedstates/oregon/oregoncity,Oregon City,Oregon City,6,22,see,Amtrak,0.59,candidate,has description; high-value type; has external URL,,,Willamette Falls,northamerica/unitedstates/oregon/oregoncity/willamette_falls,0.364,,,missing_coordinates; has_external_url,https://www.amtrak.com/,https://en.wikivoyage.org/wiki/Oregon_City
europe/sweden/falun,Falun,Falun,5,35,do,The Runn Days,0.59,candidate,has description; high-value type; has external URL,,,Falun Mine (Falu Gruva),europe/sweden/falun/falun_mine,0.316,,,missing_coordinates; has_external_url,http://www.runndagarna.se,https://en.wikivoyage.org/wiki/Falun
northamerica/canada/newbrunswick/fredericton,Fredericton,Fredericton,6,71,see,New Brunswick Sports Hall of Fame,0.59,candidate,has description; high-value type; has external URL,,,Beaverbrook Art Gallery,northamerica/canada/newbrunswick/fredericton/beaverbrook_art_gallery,0.429,,,missing_coordinates; has_external_url,http://nbsportshalloffame.com/,https://en.wikivoyage.org/wiki/Fredericton
