world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/azerbaijan/saki,Sheki,Sheki,1,30,see,M. Fuzuli Adina Pk,0.59,candidate,has description; high-value type; strong travel term,,,Eating Out,europe/azerbaijan/saki/eating_out,0.296,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sheki,candidate score 0.59 is below the 6.0 POI threshold
europe/italy/marche/urbino,Urbino,Urbino,14,50,see,National Gallery of the Marche,0.59,candidate,has description; high-value type; strong travel term,,,Galleria Nazionale delle Marche,europe/italy/marche/urbino/galleria_nazionale_marche,0.526,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Urbino,candidate score 0.59 is below the 6.0 POI threshold
asia/iraq/baghdad,Baghdad,Baghdad,7,78,do,Baghdad Island Park,0.59,candidate,has description; high-value type; strong travel term,,,Abbasid Palace,asia/iraq/baghdad/abbasid_palace,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Baghdad,candidate score 0.59 is below the 6.0 POI threshold
europe/russia/samara,Samara,Samara,7,48,do,Park Imeni Yuriya Gagarina,0.59,candidate,has description; high-value type; strong travel term,,,Strukovsky Garden,europe/russia/samara/strukovsky_garden,0.372,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Samara,candidate score 0.59 is below the 6.0 POI threshold
europe/italy/sicily/pelagianislands/lampedusa,Lampedusa,Lampedusa,5,17,do,Riserva Naturale trails,0.59,candidate,has description; high-value type; strong travel term,,,Lampedusa Nature Reserve,europe/italy/sicily/pelagianislands/lampedusa/lampedusa_nature_reserve,0.511,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lampedusa,candidate score 0.59 is below the 6.0 POI threshold
asia/srilanka/kurunegala,Kurunegala,Kurunegala,4,9,see,Ras Vehera (Sesuruwa) Temple and Buddha Statue,0.59,candidate,has description; high-value type; strong travel term,,,Kurunegala Lake,asia/srilanka/kurunegala/kurunegala_lake,0.28,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kurunegala,candidate score 0.59 is below the 6.0 POI threshold
asia/thailand/kohphiphi,Koh Phi Phi,Ko Phi Phi,8,70,see,Ao Tham Wang Long,0.59,candidate,has description; high-value type; strong travel term,,,Bamboo Island (Ko Pai),asia/thailand/kohphiphi/bamboo_island,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ko_Phi_Phi,candidate score 0.59 is below the 6.0 POI threshold
southamerica/brazil/joinville,Joinville,Joinville,11,27,see,Vigorelli Beach,0.59,candidate,has description; high-value type; strong travel term,,,Bolshoi Theatre School,southamerica/brazil/joinville/bolshoi_theatre_school,0.432,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Joinville,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/ohio/chillicothe,Chillicothe,Chillicothe (Ohio),5,37,do,Mountain Heritage Camp out,0.59,candidate,has description; high-value type; strong travel term,,,Yoctangee Park,northamerica/unitedstates/ohio/chillicothe/yoctangee_park,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chillicothe_%28Ohio%29,candidate score 0.59 is below the 6.0 POI threshold
southamerica/bolivia/salar_of_uyuni,Salar de Uyuni,Salar de Uyuni,0,24,see,Laguna Amarilla,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Salar_de_Uyuni,candidate score 0.59 is below the 6.0 POI threshold
asia/oman/musandampeninsula/khasab,Khasab,Khasab,4,38,do,City walk by night,0.59,candidate,has description; high-value type; strong travel term,,,Telegraph Island,asia/oman/musandampeninsula/khasab/telegraph_island,0.235,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Khasab,candidate score 0.59 is below the 6.0 POI threshold
africa/togo/kpalime,Kpalimé,Kpalime,9,8,see,Holy Spirit Cathedral,0.59,candidate,has description; high-value type; strong travel term,,,Cathédrale Saint-Esprit,africa/togo/kpalime/cathedral_kpalime,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kpalime,candidate score 0.59 is below the 6.0 POI threshold
asia/thailand/petchburi,Petchburi,Phetchaburi,5,7,see,Royal Diamond,0.59,candidate,has description; high-value type; strong travel term,,,Wat Maha Samanaram,asia/thailand/petchburi/wat_maha_samanaram,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Phetchaburi,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/oregon/salem,Salem,Salem (Oregon),6,36,see,Mission Mill Museum,0.59,candidate,has description; high-value type; strong travel term,,,Eola-Amity Hills Wineries,northamerica/unitedstates/oregon/salem/eola_amity_hills_wineries,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Salem_%28Oregon%29,candidate score 0.59 is below the 6.0 POI threshold
asia/oman/ibri,Ibri,Ibri,3,14,see,Ancient town of Bat,0.59,candidate,has description; high-value type; strong travel term,,,Bat Tombs (Al-Ayn Beehive Tombs),asia/oman/ibri/bat_tombs,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ibri,candidate score 0.59 is below the 6.0 POI threshold
europe/switzerland/lausanne,Lausanne,Lausanne,14,82,do,Explore the Sauvabelin Forest,0.59,candidate,has description; high-value type; strong travel term,,,Château Saint-Maire,europe/switzerland/lausanne/chateau_saint_maire,0.409,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lausanne,candidate score 0.59 is below the 6.0 POI threshold
