world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/italy/campania/pompeii,Pompeii,Pompeii,10,17,see,Basilica,0.55,candidate,has description; high-value type,,,Amphitheatre,europe/italy/campania/pompeii/amphitheatre,0.3,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Pompeii,candidate score 0.55 is below the 6.0 POI threshold
northamerica/elsalvador/santaana,Santa Ana,Santa Ana (El Salvador),10,110,see,R-8,0.55,candidate,has description; high-value type,,,Ruta de las Flores,northamerica/elsalvador/santaana/ruta_de_las_flores,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Santa_Ana_%28El_Salvador%29,candidate score 0.55 is below the 6.0 POI threshold
europe/italy/tuscany/livorno,Livorno,Livorno,7,23,see,Venice Quarter,0.55,candidate,has description; high-value type,,,Santuario di Montenero,europe/italy/tuscany/livorno/santuario_di_montenero,0.389,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Livorno,candidate score 0.55 is below the 6.0 POI threshold
asia/india/himachalpradesh/joginder_nagar,Joginder Nagar,Jogindernagar,4,21,do,Ride Haulage Way Car,0.55,candidate,has description; high-value type,,,Shanan Power House,asia/india/himachalpradesh/joginder_nagar/shanan_power_house,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Jogindernagar,candidate score 0.55 is below the 6.0 POI threshold
africa/lesotho/maseru,Maseru,Maseru,10,9,see,Local bus from Bloemfontein,0.55,candidate,has description; high-value type,,,Morija Museum and Archives,africa/lesotho/maseru/morija_museum,0.34,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Maseru,candidate score 0.55 is below the 6.0 POI threshold
asia/china/hubei/huanggang,Huanggang,Huanggang,4,29,see,County-level Wuxue City,0.55,candidate,has description; high-value type,,,Huangzhou Ancient City,asia/china/hubei/huanggang/huangzhou_ancient_city,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Huanggang,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/kansas/kansascity,Kansas City,Kansas City,16,127,do,American Royal BBQ Contest,0.55,candidate,has description; high-value type,,,American Jazz Museum,northamerica/unitedstates/kansas/kansascity/american_jazz_museum,0.522,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kansas_City,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/escondido,Escondido,Escondido,6,18,do,Cruisin Grand,0.55,candidate,has description; high-value type,,,Stone Brewing World Bistro & Gardens,northamerica/unitedstates/california/escondido/stone_brewing_world_bistro,0.314,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Escondido,candidate score 0.55 is below the 6.0 POI threshold
europe/france/centre/loirevalley/saumur,Saumur,Saumur,12,10,see,Troglodytes in Souzay-Champigny,0.55,candidate,has description; high-value type,,,Musée du Champignon,europe/france/centre/loirevalley/saumur/mushroom_museum,0.468,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Saumur,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/ohio/steubenville,Steubenville,Steubenville,7,11,do,4th Street Party,0.55,candidate,has description; high-value type,,,Fort Steuben,northamerica/unitedstates/ohio/steubenville/fort_steuben,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Steubenville,candidate score 0.55 is below the 6.0 POI threshold
africa/morocco/ifrane,Ifrane,Ifrane,5,13,see,Marché,0.55,candidate,has description; high-value type,,,Michlifen Ski Resort,africa/morocco/ifrane/michlifen_ski_resort,0.24,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ifrane,candidate score 0.55 is below the 6.0 POI threshold
