world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/japan/honshu/okayama,Okayama,Okayama,9,83,do,Okayama Dome,0.74,candidate,has coordinates; has description; high-value type; strong travel term,34.653826,133.892421,Okayama Castle,asia/japan/honshu/okayama/okayama_castle,0.692,4.19,2.261,needs_external_source,,https://en.wikivoyage.org/wiki/Okayama
asia/china/hunan/yueyang,Yueyang,Yueyang,4,21,do,Junshan Island Tea Tasting,0.74,candidate,has coordinates; has description; high-value type; strong travel term,29.4189,113.0287,Junshan Island,asia/china/hunan/yueyang/junshan_island,0.7,7.606,11.591,needs_external_source,,https://en.wikivoyage.org/wiki/Yueyang
asia/china/innermongolia/baotou,Baotou,Baotou,3,9,see,Baotou Rare Earths Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,40.625016,109.8638,Baotou Museum,asia/china/innermongolia/baotou/baotou_museum,0.684,2.991,4.292,needs_external_source,,https://en.wikivoyage.org/wiki/Baotou
africa/burkinafaso/ouagadougou,Ouagadougou,Ouagadougou,20,21,see,Bangr Weogo park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,12.397514,-1.488892,Parc Urbain Bangr-Weoogo,africa/burkinafaso/ouagadougou/parc_bangr_weoogo,0.55,3.158,5.277,needs_external_source,,https://en.wikivoyage.org/wiki/Ouagadougou
australiaandpacific/australia/queensland/magnetic_island,Magnetic Island,Magnetic Island,6,32,see,Florence Bay,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-19.121329,146.87864,Horseshoe Bay,australiaandpacific/australia/queensland/magnetic_island/horseshoe_bay,0.64,3.29,5.275,needs_external_source,,https://en.wikivoyage.org/wiki/Magnetic_Island
africa/egypt/cairo,Cairo,Cairo,88,50,see,Abdeen Palace,0.74,candidate,has coordinates; has description; high-value type; strong travel term,30.0417,31.2483,Baron Empain Palace,africa/egypt/cairo/baron_empain_palace,0.625,9.344,1.247,needs_external_source,,https://en.wikivoyage.org/wiki/Cairo
asia/china/shaanxi/tongchuan,Tongchuan,Tongchuan,3,29,do,Chenlu Ancient Town Lantern Festival,0.74,candidate,has coordinates; has description; high-value type; strong travel term,34.912,109.174,Chenlu Ancient Town,asia/china/shaanxi/tongchuan/chenlu_ancient_town,0.691,13.246,21.149,needs_external_source,,https://en.wikivoyage.org/wiki/Tongchuan
asia/uzbekistan/bukhara,Bukhara,Bukhara,13,30,see,Namozgoh Mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,39.7614,64.4119,Bolo Haouz Mosque,asia/uzbekistan/bukhara/bolo_haouz_mosque,0.625,1.86,1.645,needs_external_source,,https://en.wikivoyage.org/wiki/Bukhara
australiaandpacific/australia/queensland/bundaberg,Bundaberg,Bundaberg,12,11,see,Fairymead House,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-24.8556,152.336,Fairymead House Sugar Museum,australiaandpacific/australia/queensland/bundaberg/fairymead_house,0.698,1.89,1.916,needs_external_source,,https://en.wikivoyage.org/wiki/Bundaberg
asia/myanmar/bagan,Bagan,Bagan,15,57,see,Manuhar Pagoda,0.74,candidate,has coordinates; has description; high-value type; strong travel term,21.153324,94.859368,Lawkananda Pagoda,asia/myanmar/bagan/lawkananda_pagoda,0.645,1.252,2.045,needs_external_source,,https://en.wikivoyage.org/wiki/Bagan
northamerica/unitedstates/rhodeisland/narragansett,Narragansett,Narragansett,12,86,do,Roger Wheeler State Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.3737,-71.5028,Scarborough State Beach,northamerica/unitedstates/rhodeisland/narragansett/scarborough_state_beach,0.667,4.216,7.537,needs_external_source,,https://en.wikivoyage.org/wiki/Narragansett
