world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/florida/daytona_beach,Daytona Beach,Daytona Beach,17,102,do,A Tiny Cruise Line,0.55,candidate,has description; high-value type,,,Aunt Catfish's on the River,northamerica/unitedstates/florida/daytona_beach/aunt_catfish,0.41,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Daytona_Beach,candidate score 0.55 is below the 6.0 POI threshold
asia/vietnam/nhatrang,Nha Trang,Nha Trang,10,66,do,10 pin bowling,0.55,candidate,has description; high-value type,,,Thap Ba Hot Springs,asia/vietnam/nhatrang/thap_ba_hot_springs,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nha_Trang,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/phitsanulok,Phitsanulok,Phitsanulok,7,22,see,Aviary,0.55,candidate,has description; high-value type,,,Wat Nang Phaya,asia/thailand/phitsanulok/wat_nang_phaya,0.3,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Phitsanulok,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/wisconsin/madison,Madison,Madison,11,84,see,East Washington Avenue,0.55,candidate,has description; high-value type,,,University of Wisconsin Arboretum,northamerica/unitedstates/wisconsin/madison/uw_arboretum,0.436,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Madison,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/recife,Recife,Recife,34,154,do,Teatro Apolo,0.55,candidate,has description; high-value type,,,Santo Antônio,southamerica/brazil/recife/santo_antonio,0.48,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Recife,candidate score 0.55 is below the 6.0 POI threshold
asia/iran/kashan,Kashan,Kashan,7,30,see,Abu-Lu'lu'ah Shrine,0.55,candidate,has description; high-value type,,,Sultan Amir Ahmad Bathhouse,asia/iran/kashan/sultan_amir_ahmad_bathhouse,0.391,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kashan,candidate score 0.55 is below the 6.0 POI threshold
asia/philippines/tagaytay,Tagaytay,Tagaytay,7,33,see,The Flower Farm,0.55,candidate,has description; high-value type,,,Sonya's Garden,asia/philippines/tagaytay/sonya_garden,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tagaytay,candidate score 0.55 is below the 6.0 POI threshold
africa/southafrica/gardenroute/george,George,George,13,7,do,Silver Lily Cheese Farm,0.55,candidate,has description; high-value type,,,Wilderness Beach,africa/southafrica/gardenroute/george/wilderness_beach,0.41,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/George,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/bavaria/ansbach,Ansbach,Ansbach,6,19,see,Heilsbronn Abbey,0.55,candidate,has description; high-value type,,,Hofgarten,europe/germany/bavaria/ansbach/hofgarten,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ansbach,candidate score 0.55 is below the 6.0 POI threshold
asia/japan/honshu/kaga,Kaga,Kaga,8,27,do,Fireworks festival,0.55,candidate,has description; high-value type,,,Yamashiro Onsen,asia/japan/honshu/kaga/yamashiro_onsen,0.303,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kaga,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/idaho/sunvalley,Sun Valley,Sun Valley (Idaho),13,34,do,Skiing,0.55,candidate,has description; high-value type,,,Sun Valley Lodge,northamerica/unitedstates/idaho/sunvalley/sun_valley_lodge,0.273,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sun_Valley_%28Idaho%29,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/bavaria/garmischpartenkirchen,Garmisch-Partenkirchen,Garmisch-Partenkirchen,1,19,do,Oberreintalhutte,0.55,candidate,has description; high-value type,,,Eating Out,europe/germany/bavaria/garmischpartenkirchen/eating_out,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Garmisch-Partenkirchen,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/surin_province/surin,Surin,Surin,6,21,see,Ascending Phanom Sawai Mountain Festival,0.55,candidate,has description; high-value type,,,Ban Ta Klang — Elephant Village,asia/thailand/surin_province/surin/ban_ta_klang,0.377,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Surin,candidate score 0.55 is below the 6.0 POI threshold
asia/china/anhui/huainan,Huainan,Huainan,3,17,see,Shouzhou Kiln Site,0.55,candidate,has description; high-value type,,,Shou County Museum,asia/china/anhui/huainan/shou_county_museum,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Huainan,candidate score 0.55 is below the 6.0 POI threshold
northamerica/honduras/bayislands/roatan,Roatán,Roatán,20,40,see,Spanish Lessons,0.55,candidate,has description; high-value type,,,Sundowners,northamerica/honduras/bayislands/roatan/sundowners,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Roat%C3%A1n,candidate score 0.55 is below the 6.0 POI threshold
