world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/indonesia/java/semarang,Semarang,Semarang,8,164,see,Simpang Lima,0.85,candidate,has coordinates; has description; high-value type,-6.9905,110.4228,Kota Lama,asia/indonesia/java/semarang/kota_lama,0.476,2.544,0.016,needs_external_source,,https://en.wikivoyage.org/wiki/Semarang
asia/myanmar/inlelake,Inle Lake,Inle Lake,1,42,do,Aung Puppet Show,0.85,candidate,has coordinates; has description; high-value type,20.661314,96.93486,Shwe Inn Thein,asia/myanmar/inlelake/shwe_inn_thein,0.2,22.629,13.625,needs_external_source,,https://en.wikivoyage.org/wiki/Inle_Lake
asia/china/hainanisland/haikou,Haikou,Haikou,11,64,see,Former Residence of Qiu Jun,0.85,candidate,has coordinates; has description; high-value type,20.0023642796,110.3441217024,Five Officials Temple (Wugong Temple),asia/china/hainanisland/haikou/wugong_temple,0.333,4.001,16.26,needs_external_source,,https://en.wikivoyage.org/wiki/Haikou
europe/unitedkingdom/england/eastern_england/southendonsea,Southend-on-Sea,Southend-on-Sea,10,58,see,The Cricketers,0.85,candidate,has coordinates; has description; high-value type,51.53986,0.70086,The Kursaal,europe/unitedkingdom/england/eastern_england/southendonsea/the_kursaal,0.353,1.793,0.835,needs_external_source,,https://en.wikivoyage.org/wiki/Southend-on-Sea
asia/china/zhejiang/wenzhou,Wenzhou,Wenzhou,8,76,see,East Gate Street,0.85,candidate,has coordinates; has description; high-value type,28.024559802,120.6626238633,St. Paul's Cathedral,asia/china/zhejiang/wenzhou/st_pauls_cathedral,0.457,1.633,4.487,needs_external_source,,https://en.wikivoyage.org/wiki/Wenzhou
australiaandpacific/newzealand/north_island/hawkes_bay/wairoa,Wairoa,Wairoa,5,13,see,Public toilets,0.85,candidate,has coordinates; has description; high-value type,-39.0341,177.4198,Portland Island Lighthouse,australiaandpacific/newzealand/north_island/hawkes_bay/wairoa/portland_lighthouse,0.3,0.703,0.865,needs_external_source,,https://en.wikivoyage.org/wiki/Wairoa
europe/france/east/alsace/strasbourg,Strasbourg,Strasbourg,15,55,see,ARTE Television headquarters,0.85,candidate,has coordinates; has description; high-value type,48.59396,7.76598,Palais de l'Europe,europe/france/east/alsace/strasbourg/palaisdeleurope,0.543,0.457,2.504,needs_external_source,,https://en.wikivoyage.org/wiki/Strasbourg
europe/ukraine/kyiv,Kyiv,Kyiv,52,205,see,German Military graveyard,0.85,candidate,has coordinates; has description; high-value type,50.29724,30.3693,Ostannya Barykada,europe/ukraine/kyiv/ostannya_barykada,0.381,20.221,20.225,needs_external_source,,https://en.wikivoyage.org/wiki/Kyiv
europe/ukraine/donetsk,Donetsk,Donetsk,12,124,see,Zaliznychnyi vokzal Bus station,0.85,candidate,has coordinates; has description; high-value type,48.04487,37.74465,Central Scherbakov Park,europe/ukraine/donetsk/scherbakov_park,0.296,7.538,5.398,needs_external_source,,https://en.wikivoyage.org/wiki/Donetsk
europe/slovakia/ruomberok,Ružomberok,Ruzomberok,7,29,do,Small waterfalls in Čutkovo valley,0.85,candidate,has coordinates; has description; high-value type,49.0578417,19.2371369,Černová Memorial,europe/slovakia/ruomberok/cernova_memorial,0.34,4.0,5.503,needs_external_source,,https://en.wikivoyage.org/wiki/Ruzomberok
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,see,Eigelsteintorburg,0.85,candidate,has coordinates; has description; high-value type,50.9493,6.95681,Great St. Martin's,europe/germany/northrhinewestphalia/cologne/greatstmartins,0.353,,1.236,needs_external_source,,https://en.wikivoyage.org/wiki/Cologne
