world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/sichuanprovince/chengdu,Chengdu,Chengdu,44,95,do,Happy Valley,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.725,104.032,Zhaojue Temple,asia/china/sichuanprovince/chengdu/zhaojue_temple,0.385,7.037,17.248,has_external_url,http://cd.happyvalley.cn/,https://en.wikivoyage.org/wiki/Chengdu
asia/china/sichuanprovince/chengdu,Chengdu,Chengdu,44,95,see,A Thousand Plateaus Art Space,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.55881,104.04697,Chengdu Art Museum,asia/china/sichuanprovince/chengdu/chengdu_art_museum,0.444,11.862,2.455,has_external_url,http://www.1000plateaus.org,https://en.wikivoyage.org/wiki/Chengdu
europe/italy/lombardia/como,Como,Como,10,35,see,Cattedrale di Santa Maria Assunta,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.811632,9.083462,Basilica di San Fedele,europe/italy/lombardia/como/san_fedele,0.364,12.179,12.193,has_external_url,http://www.cattedraledicomo.it/en/home/,https://en.wikivoyage.org/wiki/Como
europe/italy/lombardia/como,Como,Como,10,35,see,Museo Archeologico Paolo Giovio,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.8086331,9.0861949,Museo della Seta (Silk Museum),europe/italy/lombardia/como/silk_museum,0.426,12.34,12.387,has_external_url,http://www.visitcomo.eu/en/enjoy/culture_in_como/museo-archeologico/index.html,https://en.wikivoyage.org/wiki/Como
northamerica/unitedstates/hawaii/kauai,Kaua'i,Kauai,12,48,see,Kauai Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,21.974722,-159.368333,Kalalau Trail,northamerica/unitedstates/hawaii/kauai/kalalau_trail,0.4,34.85,21.367,has_external_url,http://www.kauaimuseum.org,https://en.wikivoyage.org/wiki/Kauai
northamerica/unitedstates/hawaii/kauai,Kaua'i,Kauai,12,48,see,National Tropical Botanical Gardens,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,21.9067,-159.511,Mānawaiopuna Falls (Jurassic Falls),northamerica/unitedstates/hawaii/kauai/maanawaiopuna_falls,0.415,9.198,16.722,has_external_url,http://ntbg.org/,https://en.wikivoyage.org/wiki/Kauai
asia/china/fujianprovince/fuzhou,Fuzhou,Fuzhou,9,76,see,Lin Zexu Memorial Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,26.08149,119.29247,Fujian Museum,asia/china/fujianprovince/fuzhou/fujian_museum,0.541,2.021,0.449,has_external_url,http://www.linzexu.cn/,https://en.wikivoyage.org/wiki/Fuzhou
asia/china/hainanisland/wuzhishan,Wuzhishan,Wuzhishan,4,11,do,Red Canyon,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,18.760617,109.641966,Yahu Terraced Rice Fields,asia/china/hainanisland/wuzhishan/yahu_terraced_fields,0.286,11.719,13.861,has_external_url,http://www.wzshxg.com/?_l=en,https://en.wikivoyage.org/wiki/Wuzhishan
asia/china/hunan/zhangjiajie,Zhangjiajie,Zhangjiajie,8,49,do,Zhangjiajie National Forest Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,29.123549,110.464029,Zhangjiajie Glass Bridge,asia/china/hunan/zhangjiajie/zhangjiajie_glass_bridge,0.536,38.131,1.991,has_external_url,http://www.hnzjj.com/index.php/Product/list/7.html,https://en.wikivoyage.org/wiki/Zhangjiajie
asia/china/shandong_province/yantai,Yantai,Yantai,4,26,see,Tashan Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.52,121.39,Yantai Hill Park,asia/china/shandong_province/yantai/yantai_hill_park,0.519,7.997,8.071,has_external_url,https://www.yantai.gov.cn/art/2012/3/31/art_12237_900186.html,https://en.wikivoyage.org/wiki/Yantai
asia/india/karnataka/mysore,Mysore,Mysore,14,82,see,Melody World Wax Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,12.30223,76.67789,Mysore Zoo,asia/india/karnataka/mysore/mysore_zoo,0.303,1.768,4.242,has_external_url,http://www.melodyworld.in,https://en.wikivoyage.org/wiki/Mysore
