world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/azerbaijan/saki,Sheki,Sheki,1,30,see,M. Fuzuli Adina Pk,0.59,candidate,has description; high-value type; strong travel term,,,Eating Out,europe/azerbaijan/saki/eating_out,0.296,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sheki
europe/italy/marche/urbino,Urbino,Urbino,14,50,see,National Gallery of the Marche,0.59,candidate,has description; high-value type; strong travel term,,,Galleria Nazionale delle Marche,europe/italy/marche/urbino/galleria_nazionale_marche,0.526,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Urbino
asia/iraq/baghdad,Baghdad,Baghdad,7,78,do,Baghdad Island Park,0.59,candidate,has description; high-value type; strong travel term,,,Abbasid Palace,asia/iraq/baghdad/abbasid_palace,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Baghdad
europe/russia/samara,Samara,Samara,7,48,do,Park Imeni Yuriya Gagarina,0.59,candidate,has description; high-value type; strong travel term,,,Strukovsky Garden,europe/russia/samara/strukovsky_garden,0.372,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Samara
europe/italy/sicily/pelagianislands/lampedusa,Lampedusa,Lampedusa,5,17,do,Riserva Naturale trails,0.59,candidate,has description; high-value type; strong travel term,,,Lampedusa Nature Reserve,europe/italy/sicily/pelagianislands/lampedusa/lampedusa_nature_reserve,0.511,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lampedusa
asia/srilanka/kurunegala,Kurunegala,Kurunegala,4,9,see,Ras Vehera (Sesuruwa) Temple and Buddha Statue,0.59,candidate,has description; high-value type; strong travel term,,,Kurunegala Lake,asia/srilanka/kurunegala/kurunegala_lake,0.28,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kurunegala
asia/thailand/kohphiphi,Koh Phi Phi,Ko Phi Phi,8,70,see,Ao Tham Wang Long,0.59,candidate,has description; high-value type; strong travel term,,,Bamboo Island (Ko Pai),asia/thailand/kohphiphi/bamboo_island,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ko_Phi_Phi
southamerica/brazil/joinville,Joinville,Joinville,11,27,see,Vigorelli Beach,0.59,candidate,has description; high-value type; strong travel term,,,Bolshoi Theatre School,southamerica/brazil/joinville/bolshoi_theatre_school,0.432,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Joinville
northamerica/unitedstates/ohio/chillicothe,Chillicothe,Chillicothe (Ohio),5,37,do,Mountain Heritage Camp out,0.59,candidate,has description; high-value type; strong travel term,,,Yoctangee Park,northamerica/unitedstates/ohio/chillicothe/yoctangee_park,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chillicothe_%28Ohio%29
southamerica/bolivia/salar_of_uyuni,Salar de Uyuni,Salar de Uyuni,0,24,see,Laguna Amarilla,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Salar_de_Uyuni
asia/oman/musandampeninsula/khasab,Khasab,Khasab,4,38,do,City walk by night,0.59,candidate,has description; high-value type; strong travel term,,,Telegraph Island,asia/oman/musandampeninsula/khasab/telegraph_island,0.235,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Khasab
