world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/hungary/budapest,Budapest,Budapest,57,94,see,Vácrátót,0.79,candidate,has coordinates; has description; high-value type; strong travel term,47.710833,19.235278,Vörösmarty tér,europe/hungary/budapest/vorosmarty_ter,0.545,27.549,27.83,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Budapest
asia/china/hebei/shijiazhuang,Shijiazhuang,Shijiazhuang,5,14,see,Cangyan Mountain,0.79,candidate,has coordinates; has description; high-value type; strong travel term,37.841,114.132,Mount Cangyan,asia/china/hebei/shijiazhuang/mount_cangyan,0.483,3.883,39.318,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Shijiazhuang
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,see,Phasuankwang Farm,0.79,candidate,has coordinates; has description; high-value type; strong travel term,8.85015,98.90484,Chaiya and the Srivijaya Temples,asia/thailand/surat_thani/chaiya_srivijaya_temples,0.311,,69.132,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Surat_Thani
asia/china/jiangsu_province/suzhou,Suzhou,Suzhou,17,93,do,长江文化节,0.79,candidate,has coordinates; has description; high-value type; strong travel term,31.875,120.55,,,0.0,,63.072,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Suzhou
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,see,Rama 9 Park (สวนหลวง ร.9),0.79,candidate,has coordinates; has description; high-value type; strong travel term,9.139387,99.352793,Chaiya and the Srivijaya Temples,asia/thailand/surat_thani/chaiya_srivijaya_temples,0.256,,67.98,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Surat_Thani
asia/china/anhui/huaibei,Huaibei,Huaibei,5,33,see,Shishanzi Site,0.79,candidate,has coordinates; has description; high-value type; strong travel term,33.6,116.6,Longjishan Sky Road,asia/china/anhui/huaibei/longjishan_sky_road,0.424,41.314,45.103,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Huaibei
europe/ukraine/ivanofrankivsk,Ivano-Frankivsk,Ivano-Frankivsk,9,103,see,Chernelytsya Castle and Dominicans church,0.79,candidate,has coordinates; has description; high-value type; strong travel term,48.81111,25.43,Sheptytsky Square,europe/ukraine/ivanofrankivsk/sheptytsky_square,0.345,54.195,54.066,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ivano-Frankivsk
asia/thailand/hatyai,Hat Yai,Hat Yai,9,109,see,Khao Nam Khang Historic Tunnel,0.79,candidate,has coordinates; has description; high-value type; strong travel term,6.5741,100.5753,Princess Maha Chakri Sirindhorn Natural History Museum,asia/thailand/hatyai/sirindhorn_natural_history_museum,0.405,48.983,49.597,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Hat_Yai
asia/myanmar/bagan,Bagan,Bagan,15,57,do,Mount Popa,0.79,candidate,has coordinates; has description; high-value type; strong travel term,20.913259,95.208719,The Moon,asia/myanmar/bagan/the_moon,0.429,46.527,46.334,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Bagan
southamerica/paraguay/concepcion,Concepción,Concepción (Paraguay),4,28,see,Museo de Arte Contemporáneo de Concepción,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-23.408514,-57.444749,Plaza Urundé and the Historic Centre,southamerica/paraguay/concepcion/plaza_urunde,0.333,38.254,38.232,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Concepci%C3%B3n_%28Paraguay%29
europe/ukraine/lviv,Lviv,Lviv,12,176,see,Pidhirtsi,0.79,candidate,has coordinates; has description; high-value type; strong travel term,49.9406,24.9851,Pharmacy Museum,europe/ukraine/lviv/pharmacy_museum,0.333,69.114,69.179,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Lviv
