world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/switzerland/saintgallen,Saint Gallen,Saint Gallen,5,10,see,Museum im Lagerhaus,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Kunstmuseum St. Gallen,europe/switzerland/saintgallen/kunstmuseum,0.4,,,missing_coordinates; has_external_url,http://www.museumimlagerhaus.ch/,https://en.wikivoyage.org/wiki/Saint_Gallen
northamerica/unitedstates/tennessee/gatlinburg,Gatlinburg,Gatlinburg,15,26,do,Wild Bear Falls Indoor Waterpark,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Wild Plum Tea Room,northamerica/unitedstates/tennessee/gatlinburg/wild_plum_tea_room,0.44,,,missing_coordinates; has_external_url,http://www.wgwildbearfalls.com/,https://en.wikivoyage.org/wiki/Gatlinburg
australiaandpacific/australia/westernaustralia/albany,Albany,Albany (Western Australia),15,46,do,Bibbulmun Track,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Dylan's on the Terrace,australiaandpacific/australia/westernaustralia/albany/dylans_on_the_terrace,0.424,,,missing_coordinates; has_external_url,http://albanyregion.com.au/bibbulum-track/,https://en.wikivoyage.org/wiki/Albany_%28Western_Australia%29
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,do,Steel City Beer & Cider Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Kelham Island,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/kelham_island,0.298,,,missing_coordinates; has_external_url,http://www.sheffieldcamra.org.uk/festival/,https://en.wikivoyage.org/wiki/Sheffield
africa/ghana/accra,Accra,Accra,35,73,see,Wesley Methodist Cathedral,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Holy Trinity Cathedral,africa/ghana/accra/holy_trinity_cathedral,0.542,,,missing_coordinates; has_external_url,https://www.accrawesley.org,https://en.wikivoyage.org/wiki/Accra
europe/germany/hessen/darmstadt,Darmstadt,Darmstadt,10,54,do,Vivarium,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Café Ritter,europe/germany/hessen/darmstadt/cafe_ritter,0.333,,,missing_coordinates; has_external_url,http://www.zoo-darmstadt.de/,https://en.wikivoyage.org/wiki/Darmstadt
northamerica/unitedstates/indiana/south_bend,South Bend,South Bend,9,77,do,Artpost Gallery,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,East Race Waterway,northamerica/unitedstates/indiana/south_bend/east_race_waterway,0.485,,,missing_coordinates; has_external_url,https://artpostblog.com/,https://en.wikivoyage.org/wiki/South_Bend
europe/unitedkingdom/scotland/stirling,Stirling,Stirling,19,24,do,Briarlands Farm,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Mar's Wark,europe/unitedkingdom/scotland/stirling/mars_wark,0.48,,,missing_coordinates; has_external_url,https://briarlandsfarm.co.uk/,https://en.wikivoyage.org/wiki/Stirling
europe/unitedkingdom/northernireland/belfast,Belfast,Belfast,25,97,see,Royal Ulster Rifles Regimental Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Ulster Museum,europe/unitedkingdom/northernireland/belfast/ulster_museum,0.52,,,missing_coordinates; has_external_url,https://royal-irish.com/museums/royal-ulster-rifles-museum,https://en.wikivoyage.org/wiki/Belfast
africa/southafrica/krugernationalpark,Kruger National Park,Kruger National Park,7,74,do,Mathikithi trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Pafuri Region,africa/southafrica/krugernationalpark/pafuri_region,0.345,,,missing_coordinates; has_external_url,https://www.sanparks.org/parks/kruger/tourism/activities/wilderness/trails/mathikithi.php,https://en.wikivoyage.org/wiki/Kruger_National_Park
europe/armenia/shirak_marz/gyumri,Gyumri,Gyumri,12,30,do,Explore Gyumri’s architectural history with City Research Center,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Kumayri Historic District,europe/armenia/shirak_marz/gyumri/kumayri_district,0.382,,,missing_coordinates; has_external_url,https://www.facebook.com/CityResearchCenter/,https://en.wikivoyage.org/wiki/Gyumri
europe/ireland/kilkenny,Kilkenny,Kilkenny,13,39,see,St John's Priory,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Smithwick's Experience,europe/ireland/kilkenny/smithwicks_experience,0.474,,,missing_coordinates; has_external_url,https://cashel.anglican.org/,https://en.wikivoyage.org/wiki/Kilkenny
northamerica/unitedstates/arizona/organ_pipe_cactus_national_monument,Organ Pipe Cactus National Monument,Organ Pipe Cactus National Monument,9,11,do,Geocaching,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Canyon de Chelly National Monument,northamerica/unitedstates/arizona/canyon_de_chelly,0.244,,,missing_coordinates; has_external_url,http://www.nps.gov/orpi/planyourvisit/geocaching-in-orpi.htm,https://en.wikivoyage.org/wiki/Organ_Pipe_Cactus_National_Monument
europe/spain/palencia,Palencia,Palencia,6,13,see,Archaeological Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Parque Ribera del Carrión,europe/spain/palencia/carrion_river_park,0.333,,,missing_coordinates; has_external_url,https://museoscastillayleon.jcyl.es/web/es/museopalencia/museo-palencia.html,https://en.wikivoyage.org/wiki/Palencia
northamerica/unitedstates/connecticut/mystic,Mystic,Mystic,13,40,do,Argia Mystic Cruises,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Argia Schooner,northamerica/unitedstates/connecticut/mystic/argia_schooner,0.529,,,missing_coordinates; has_external_url,https://www.argiamystic.com,https://en.wikivoyage.org/wiki/Mystic
australiaandpacific/australia/queensland/sunshinecoast,Sunshine Coast,Sunshine Coast,7,112,do,Mary Valley Rattler,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Blackall Range Hinterland,australiaandpacific/australia/queensland/sunshinecoast/blackall_range,0.455,,,missing_coordinates; has_external_url,https://www.maryvalleyrattler.com.au/,https://en.wikivoyage.org/wiki/Sunshine_Coast
northamerica/unitedstates/california/manhattan_beach,Manhattan Beach,Manhattan Beach,6,17,do,Farmer's Market Tuesdays,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Bruce's Beach,northamerica/unitedstates/california/manhattan_beach/bruces_beach,0.378,,,missing_coordinates; has_external_url,http://downtownmanhattanbeach.com/manhattan-beach-farmers-market/,https://en.wikivoyage.org/wiki/Manhattan_Beach
northamerica/unitedstates/arkansas/littlerock,Little Rock,Little Rock,14,93,do,Greek Food Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Arkansas State Capitol,northamerica/unitedstates/arkansas/littlerock/arkansas_state_capitol,0.341,,,missing_coordinates; has_external_url,http://www.greekfoodfest.com/,https://en.wikivoyage.org/wiki/Little_Rock
northamerica/unitedstates/alaska/seward,Seward,Seward,6,35,do,Liquid Adventures,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Alaska SeaLife Center,northamerica/unitedstates/alaska/seward/alaska_sealife_center,0.368,,,missing_coordinates; has_external_url,http://www.liquid-adventures.com,https://en.wikivoyage.org/wiki/Seward
europe/switzerland/nyon,Nyon,Nyon,8,19,see,Villa Rose,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Sailing to Yvoire,europe/switzerland/nyon/sailing_to_yvoire,0.37,,,missing_coordinates; has_external_url,https://www.museums.ch/org/de/Fortification-Villa-rose,https://en.wikivoyage.org/wiki/Nyon
europe/germany/northrhinewestphalia/witten,Witten,Witten,5,20,do,Ruhr Valley Railway,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Ruhr Riverfront,europe/germany/northrhinewestphalia/witten/ruhr_riverfront,0.412,,,missing_coordinates; has_external_url,https://eisenbahnmuseum-bochum.de/ruhrtalbahn/,https://en.wikivoyage.org/wiki/Witten
northamerica/unitedstates/california/centralcoast/santamaria,Santa Maria,Santa Maria (California),3,12,do,Boomers! Fun Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Foxen Canyon Wine Trail,northamerica/unitedstates/california/centralcoast/santamaria/foxen_canyon_wine_trail,0.256,,,missing_coordinates; has_external_url,http://www.boomersparks.com/santamaria,https://en.wikivoyage.org/wiki/Santa_Maria_%28California%29
europe/spain/centralspain/zamora,Zamora,Zamora (Spain),5,28,see,Museum of Baltasar Lobo,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Puente Romano (Medieval Bridge),europe/spain/centralspain/zamora/puente_romano,0.333,,,missing_coordinates; has_external_url,https://museobaltasarlobo.es/,https://en.wikivoyage.org/wiki/Zamora_%28Spain%29
northamerica/unitedstates/newyorkstate/adirondacks/plattsburgh,Plattsburgh,Plattsburgh,11,30,see,Clinton County Historical Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Plattsburgh State Art Museum,northamerica/unitedstates/newyorkstate/adirondacks/plattsburgh/plattsburgh_state_art_museum,0.467,,,missing_coordinates; has_external_url,http://www.clintoncountyhistorical.org,https://en.wikivoyage.org/wiki/Plattsburgh
europe/spain/centralspain/salamanca,Salamanca,Salamanca,7,26,see,Bullfighting Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Plaza Mayor,europe/spain/centralspain/salamanca/plaza_mayor,0.2,,,missing_coordinates; has_external_url,https://www.museotaurinosalamanca.es/,https://en.wikivoyage.org/wiki/Salamanca
northamerica/unitedstates/pennsylvania/johnstown,Johnstown,Johnstown,11,23,see,Allegheny Portage Railroad National Historic Site,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Johnstown Flood National Memorial,northamerica/unitedstates/pennsylvania/johnstown/johnstown_flood_national_memorial,0.415,,,missing_coordinates; has_external_url,http://www.nps.gov/alpo/index.htm,https://en.wikivoyage.org/wiki/Johnstown
australiaandpacific/australia/queensland/cairns,Cairns,Cairns,10,45,see,Qantas,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Cairns Aquarium,australiaandpacific/australia/queensland/cairns/cairns_aquarium,0.286,,,missing_coordinates; has_external_url,http://www.qantas.com.au,https://en.wikivoyage.org/wiki/Cairns
africa/southafrica/capetown,Cape Town,Cape Town,95,187,do,The Orangekloof Hiking Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Josephine Mill,africa/southafrica/capetown/josephinemill,0.421,,,missing_coordinates; has_external_url,http://www.sanparks.org/parks/table_mountain/ht/,https://en.wikivoyage.org/wiki/Cape_Town
northamerica/unitedstates/arkansas/fortsmith,Fort Smith,Fort Smith,6,28,do,Veterans Day Parade,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Janet Huckabee Arkansas River Valley Nature Center,northamerica/unitedstates/arkansas/fortsmith/janet_huckabee_nature_center,0.377,,,missing_coordinates; has_external_url,https://fortsmith.org/2023-veterans-day-parade-celebration,https://en.wikivoyage.org/wiki/Fort_Smith
asia/china/shandong_province/zibo,Zibo,Zibo,5,45,do,Mid-Autumn Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Zibo Museum of Ceramics,asia/china/shandong_province/zibo/zibo_ceramics_museum,0.429,,,missing_coordinates; has_external_url,https://www.gov.cn/node_13949/content_802939.htm,https://en.wikivoyage.org/wiki/Zibo
northamerica/unitedstates/california/inlandempire/riverside,Riverside,Riverside,7,24,do,Fairmount Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,California Citrus State Historic Park,northamerica/unitedstates/california/inlandempire/riverside/california_citrus_park,0.392,,,missing_coordinates; has_external_url,http://www.riversideca.gov/park_rec/,https://en.wikivoyage.org/wiki/Riverside
europe/unitedkingdom/wales/swansea,Swansea,Swansea,33,323,do,Brangwyn Hall,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Brynmill Park,europe/unitedkingdom/wales/swansea/brynmill,0.462,,,missing_coordinates; has_external_url,http://www.swanseafestival.co.uk/,https://en.wikivoyage.org/wiki/Swansea
northamerica/unitedstates/missouri/columbia,Columbia,Columbia (Missouri),6,18,do,Cooper's Landing,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Shakespeare's Pizza,northamerica/unitedstates/missouri/columbia/shakespeares_pizza,0.4,,,missing_coordinates; has_external_url,http://www.cooperslanding.net/,https://en.wikivoyage.org/wiki/Columbia_%28Missouri%29
northamerica/unitedstates/iowa/dubuque,Dubuque,Dubuque,4,50,do,Great River Wine Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,National Mississippi River Museum and Aquarium,northamerica/unitedstates/iowa/dubuque/national_mississippi_river_museum,0.382,,,missing_coordinates; has_external_url,https://www.greatriverroadwinetrail.org/,https://en.wikivoyage.org/wiki/Dubuque
northamerica/unitedstates/northcarolina/asheville,Asheville,Asheville,20,153,see,Ariel Gallery,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Blue Ridge Parkway,northamerica/unitedstates/northcarolina/asheville/blue_ridge_parkway,0.387,,,missing_coordinates; has_external_url,http://www.arielcraftgallery.com/,https://en.wikivoyage.org/wiki/Asheville
northamerica/unitedstates/delaware/dover,Dover,Dover (Delaware),9,52,see,Delaware Agricultural Museum and Village,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Delaware State House,northamerica/unitedstates/delaware/dover/delaware_state_house,0.5,,,missing_coordinates; has_external_url,http://www.agriculturalmuseum.org/,https://en.wikivoyage.org/wiki/Dover_%28Delaware%29
northamerica/unitedstates/alaska/seward,Seward,Seward,6,35,see,Kenai Fjords Wilderness Lodge,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Kenai Fjords National Park Cruise,northamerica/unitedstates/alaska/seward/kenai_fjords_cruise,0.516,,,missing_coordinates; has_external_url,http://www.kenaifjordslodge.com/,https://en.wikivoyage.org/wiki/Seward
australiaandpacific/australia/newsouthwales/sydney,Sydney,Sydney,47,43,see,Sculpture by the Sea,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Star of Siam,australiaandpacific/australia/newsouthwales/sydney/starofsiam,0.5,,,missing_coordinates; has_external_url,http://www.sculpturebythesea.com/,https://en.wikivoyage.org/wiki/Sydney
europe/italy/liguria/savona,Savona,Savona,10,10,see,Ceramics Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Cathedral of Santa Maria Assunta,europe/italy/liguria/savona/cathedral,0.383,,,missing_coordinates; has_external_url,http://www.museodellaceramica.savona.it/en/,https://en.wikivoyage.org/wiki/Savona
europe/norway/bergen,Bergen,Bergen,26,125,see,Havråtunet,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Hulen,europe/norway/bergen/hulen,0.4,,,missing_coordinates; has_external_url,http://www.olavsrosa.no/en/objektinfo.aspx?id=27435,https://en.wikivoyage.org/wiki/Bergen
europe/unitedkingdom/wales/machynlleth,Machynlleth,Machynlleth,6,13,do,Ynyshir Reserve,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Cors Dyfi Nature Reserve,europe/unitedkingdom/wales/machynlleth/cors_dyfi,0.462,,,missing_coordinates; has_external_url,http://www.rspb.org.uk/reserves/guide/y/ynys-hir/,https://en.wikivoyage.org/wiki/Machynlleth
europe/france/centre/auvergne/vichy,Vichy,Vichy,14,77,see,Vichy Opera Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Hôtel des Ambassadeurs,europe/france/centre/auvergne/vichy/hotel_des_ambassadeurs,0.444,,,missing_coordinates; has_external_url,http://www.operavichy-musee.com/,https://en.wikivoyage.org/wiki/Vichy
europe/slovakia/bratislava,Bratislava,Bratislava,51,87,see,Jewish Community Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Museum of Jewish Culture,europe/slovakia/bratislava/museum_of_jewish_culture,0.511,,,missing_coordinates; has_external_url,http://www.synagogue.sk,https://en.wikivoyage.org/wiki/Bratislava
europe/lithuania/alytus,Alytus,Alytus,4,6,see,Ethnography Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Vidzgiris Forest Memorial,europe/lithuania/alytus/vidzgiris_forest_memorial,0.279,,,missing_coordinates; has_external_url,https://www.alytausmuziejus.lt/,https://en.wikivoyage.org/wiki/Alytus
asia/india/punjab/amritsar,Amritsar,Amritsar,10,63,see,Jama Masjid Khairuddin,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Akal Takht,asia/india/punjab/amritsar/akal_takht,0.375,,,missing_coordinates; has_external_url,http://amritsar.nic.in/html/places_to_visit.htm,https://en.wikivoyage.org/wiki/Amritsar
asia/japan/honshu/kaga,Kaga,Kaga,8,27,see,Nakaya Ukichiro Museum of Snow and Ice,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Yamashiro Onsen,asia/japan/honshu/kaga/yamashiro_onsen,0.377,,,missing_coordinates; has_external_url,https://yukinokagakukan.kagashi-ss.com/en_guide/,https://en.wikivoyage.org/wiki/Kaga
northamerica/unitedstates/pennsylvania/harrisburg,Harrisburg,Harrisburg,6,44,do,The Pride of the Susquehanna Riverboat,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,State Museum of Pennsylvania,northamerica/unitedstates/pennsylvania/harrisburg/state_museum,0.345,,,missing_coordinates; has_external_url,https://www.hbgriverboat.org/,https://en.wikivoyage.org/wiki/Harrisburg
northamerica/unitedstates/washington/mtrainiernp,Mt. Rainier National Park,Mount Rainier National Park,0,61,do,Pinnacle Peak Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,,,0.0,,,missing_coordinates; has_external_url,https://www.nps.gov/mora/planyourvisit/pinacle-peak.htm,https://en.wikivoyage.org/wiki/Mount_Rainier_National_Park
northamerica/unitedstates/washington/mtrainiernp,Mt. Rainier National Park,Mount Rainier National Park,0,61,do,Carbon Glacier Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,,,0.0,,,missing_coordinates; has_external_url,https://www.nps.gov/mora/planyourvisit/carbon-glacier.htm,https://en.wikivoyage.org/wiki/Mount_Rainier_National_Park
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol,Bristol,Bristol,31,168,do,Pirate Walks,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Atmosphere Kites,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol/atmosphere_kites,0.429,,,missing_coordinates; has_external_url,http://www.piratewalks.co.uk/,https://en.wikivoyage.org/wiki/Bristol
