world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
southamerica/brazil/sao_luis,São Luís,São Luís,72,24,do,Praia da Guia & Praia BomFim,0.85,candidate,has coordinates; has description; high-value type,-2.5287,-44.3272,Praia de Ponta d'Areia,southamerica/brazil/sao_luis/praia_de_ponta_dareia,0.531,5.504,3.423,needs_external_source,,https://en.wikivoyage.org/wiki/S%C3%A3o_Lu%C3%ADs
northamerica/unitedstates/montana/three_forks,Three Forks,Three Forks,4,8,see,The Three Forks Rodeo and Parade,0.85,candidate,has coordinates; has description; high-value type,45.88886,-111.55948,Sacagawea Hotel,northamerica/unitedstates/montana/three_forks/sacagawea_hotel,0.433,0.567,0.748,needs_external_source,,https://en.wikivoyage.org/wiki/Three_Forks
asia/palestinianauthority/nablus,Nablus,Nablus,7,17,see,Joseph's Tomb,0.85,candidate,has coordinates; has description; high-value type,32.21269,35.285473,Olive Oil Soap Factories,asia/palestinianauthority/nablus/olive_oil_soap_factories,0.378,2.872,3.069,needs_external_source,,https://en.wikivoyage.org/wiki/Nablus
asia/srilanka/colombo,Colombo,Colombo,25,116,see,Whist Bungalow,0.85,candidate,has coordinates; has description; high-value type,6.96851,79.86864,Sky Lounge (Hilton),asia/srilanka/colombo/rooftop_bar_clock,0.417,5.614,4.677,needs_external_source,,https://en.wikivoyage.org/wiki/Colombo
europe/hungary/budapest,Budapest,Budapest,57,94,see,Petőfi Bridge,0.85,candidate,has coordinates; has description; high-value type,47.47896,19.06392,Széchenyi Chain Bridge,europe/hungary/budapest/szechenyi_chain_bridge,0.514,2.692,2.759,needs_external_source,,https://en.wikivoyage.org/wiki/Budapest
asia/china/jiangsu_province/wuxi,Wuxi,Wuxi,12,32,do,Huishan Ancient Town - Yuchangyuan,0.85,candidate,has coordinates; has description; high-value type,31.58075,120.27097,Lingshan Grand Buddha,asia/china/jiangsu_province/wuxi/lingshan_grand_buddha,0.453,11.211,10.748,needs_external_source,,https://en.wikivoyage.org/wiki/Wuxi
europe/russia/ekaterinoburg,Yekaterinburg,Yekaterinburg,26,72,see,Central Military District,0.85,candidate,has coordinates; has description; high-value type,56.84133,60.62428,Museum of Military Equipment,europe/russia/ekaterinoburg/military_glory_museum,0.491,20.069,1.672,needs_external_source,,https://en.wikivoyage.org/wiki/Yekaterinburg
europe/slovakia/kosice,Košice,Košice,7,153,do,Hike from Kojšovská hoľa to Košice-Čermeľ,0.85,candidate,has coordinates; has description; high-value type,48.78204,20.98796,State Theatre Košice,europe/slovakia/kosice/state_theatre,0.357,20.855,20.873,needs_external_source,,https://en.wikivoyage.org/wiki/Ko%C5%A1ice
europe/spain/canaryislands/tenerife/puertodelacruz,Puerto de la Cruz,Puerto de la Cruz,8,31,see,Jardín de Aclimatación de la Orotava,0.85,candidate,has coordinates; has description; high-value type,28.41092,-16.53537,Jardín Botánico (Jardín de Aclimatación de La Orotava),europe/spain/canaryislands/tenerife/puertodelacruz/jardin_botanico,0.429,0.819,1.839,needs_external_source,,https://en.wikivoyage.org/wiki/Puerto_de_la_Cruz
southamerica/peru/arequipa,Arequipa,Arequipa,19,39,see,Puente Bolognesi,0.85,candidate,has coordinates; has description; high-value type,-16.397796,-71.543516,La Nueva Palomino,southamerica/peru/arequipa/la_nueva_palomino,0.4,1.422,1.401,needs_external_source,,https://en.wikivoyage.org/wiki/Arequipa
europe/spain/catalonia/salou,Salou,Salou,5,16,see,Cybernetic Fountains,0.85,candidate,has coordinates; has description; high-value type,41.07485,1.13303,Arena Restaurant,europe/spain/catalonia/salou/arena_restaurant,0.333,0.869,0.949,needs_external_source,,https://en.wikivoyage.org/wiki/Salou
asia/taiwan/taoyuan,Taoyuan,Taoyuan,9,50,see,Taoyuan Martyr's Shrine,0.85,candidate,has coordinates; has description; high-value type,25.0063,121.325,Taoyuan Confucian Temple,asia/taiwan/taoyuan/taoyuan_confucian_temple,0.426,0.629,2.835,needs_external_source,,https://en.wikivoyage.org/wiki/Taoyuan
europe/germany/northrhinewestphalia/dortmund,Dortmund,Dortmund,16,98,see,Heilige Dreifaltigkeit,0.85,candidate,has coordinates; has description; high-value type,51.5262,7.4848,Old Synagogue Memorial Site,europe/germany/northrhinewestphalia/dortmund/old_synagogue_memorial,0.408,2.342,1.897,needs_external_source,,https://en.wikivoyage.org/wiki/Dortmund
asia/india/maharashtra/lonavala,Lonavala,Lonavla,9,17,see,Tungarli Lake and Dam,0.85,candidate,has coordinates; has description; high-value type,18.77522,73.40937,Karla and Bhaja Caves,asia/india/maharashtra/lonavala/karla_bhaja_caves,0.476,5.736,2.775,needs_external_source,,https://en.wikivoyage.org/wiki/Lonavla
asia/china/zhejiang/hangzhou,Hangzhou,Hangzhou,21,79,see,Twin Peaks Piercing the Clouds,0.85,candidate,has coordinates; has description; high-value type,30.2527993,120.1170549,Hupao Spring (Tiger Running Spring),asia/china/zhejiang/hangzhou/hupao_spring,0.421,5.027,8.481,needs_external_source,,https://en.wikivoyage.org/wiki/Hangzhou
asia/srilanka/kurunegala,Kurunegala,Kurunegala,4,9,see,Bathalagoda Tank,0.85,candidate,has coordinates; has description; high-value type,7.53333,80.45,Ethagala (Elephant Rock),asia/srilanka/kurunegala/ethagala,0.417,10.276,10.7,needs_external_source,,https://en.wikivoyage.org/wiki/Kurunegala
africa/senegal/dakar,Dakar,Dakar,26,53,do,Plage des mamelles,0.85,candidate,has coordinates; has description; high-value type,14.72517,-17.50383,Place de l'Obélisque,africa/senegal/dakar/place_de_lobelisque,0.516,6.933,6.971,needs_external_source,,https://en.wikivoyage.org/wiki/Dakar
asia/nepal/patan,Patan,Patan,9,48,see,Southern Stupa,0.85,candidate,has coordinates; has description; high-value type,27.66494,85.32332,Kumbheshwar Temple,asia/nepal/patan/kumbheshwar_temple,0.312,1.33,1.456,needs_external_source,,https://en.wikivoyage.org/wiki/Patan
