world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/guangdong/foshan,Foshan,Foshan,8,25,see,Zhongshan Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,23.04803,113.10968,Foshan Ancestral Temple (Zumiao),asia/china/guangdong/foshan/foshan_ancestral_temple,0.432,1.579,2.135,needs_external_source,,https://en.wikivoyage.org/wiki/Foshan
asia/india/rajasthan/ajmer,Ajmer,Ajmer,10,13,see,Nareli,0.89,candidate,has coordinates; has description; high-value type; strong travel term,26.458889,74.704444,Ana Sagar Lake,asia/india/rajasthan/ajmer/ana_sagar_lake,0.4,8.108,6.613,needs_external_source,,https://en.wikivoyage.org/wiki/Ajmer
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,do,Leipzig Riverside Forest,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.317189,12.356536,Zeitgeschichtliches Forum,europe/germany/saxony/leipzig/zeitgeschichtliches_forum,0.449,2.845,2.897,needs_external_source,,https://en.wikivoyage.org/wiki/Leipzig
southamerica/guyana/georgetown,Georgetown,Georgetown (Guyana),49,57,do,Victoria,0.89,candidate,has coordinates; has description; high-value type; strong travel term,6.7498,-57.9675,Statue of Queen Victoria,southamerica/guyana/georgetown/queen_victoria_statue,0.5,21.789,20.538,needs_external_source,,https://en.wikivoyage.org/wiki/Georgetown_%28Guyana%29
asia/india/himachalpradesh/dharamsala,Dharamsala,Dharamsala,9,56,do,Indrahar pass,0.89,candidate,has coordinates; has description; high-value type; strong travel term,32.29778,76.38134,Triund Trek,asia/india/himachalpradesh/dharamsala/triund_trek,0.333,4.401,10.945,needs_external_source,,https://en.wikivoyage.org/wiki/Dharamsala
northamerica/unitedstates/ohio/sandusky,Sandusky,Sandusky,15,38,see,Castalia Quarry Reserve,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.3866,-82.831,Sandusky Speedway,northamerica/unitedstates/ohio/sandusky/sandusky_speedway,0.4,11.103,12.384,needs_external_source,,https://en.wikivoyage.org/wiki/Sandusky
europe/belgium/tournai,Tournai,Tournai,0,11,see,Tournai Cathedral,0.89,candidate,has coordinates; has description; high-value type; strong travel term,50.606553,3.388903,,,0.0,,0.127,needs_external_source,,https://en.wikivoyage.org/wiki/Tournai
europe/norway/flm,Flåm,Flåm,5,23,see,Kjelfoss,0.89,candidate,has coordinates; has description; high-value type; strong travel term,60.87412,6.85693,Otternes Farm,europe/norway/flm/otternes_farm,0.19,15.845,13.927,needs_external_source,,https://en.wikivoyage.org/wiki/Fl%C3%A5m
asia/philippines/alaminos,Alaminos,Alaminos,6,27,do,Bolo Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,16.17946,120.04598,Lucap Wharf,asia/philippines/alaminos/lucap_wharf,0.286,5.384,7.616,needs_external_source,,https://en.wikivoyage.org/wiki/Alaminos
europe/montenegro/budva,Budva,Budva,17,36,do,Hike old cliffy-road above the sea,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.303,18.8997,Bečići and Rafailovići,europe/montenegro/budva/becici_beach,0.346,4.847,5.014,needs_external_source,,https://en.wikivoyage.org/wiki/Budva
asia/philippines/banaue,Banaue,Banaue,8,15,see,Banaue Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,16.91155,121.06024,Banaue Main Viewpoint,asia/philippines/banaue/banaue_main_viewpoint,0.529,2.681,0.127,needs_external_source,,https://en.wikivoyage.org/wiki/Banaue
