world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/ukraine/vinnista,Vinnytsia,Vinnytsia,7,92,see,Werwolf (Wehrmacht headquarters),0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.30694,28.4949,Werwolf Bunker (Strizhavka),europe/ukraine/vinnista/werwolf_bunker,0.667,3.196,8.436,has_external_url,https://vinnytsia-museum.in.ua/branches/memorial-compex/wehrwolf,https://en.wikivoyage.org/wiki/Vinnytsia
europe/italy/sicily/messina,Messina,Messina,6,32,see,Santuario della Madonna di Montalto,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.193571,15.550761,Orto Botanico dell'Università di Messina,europe/italy/sicily/messina/botanical_garden,0.581,0.419,0.302,has_external_url,http://www.santuariomontalto.it/,https://en.wikivoyage.org/wiki/Messina
northamerica/unitedstates/california/halfmoonbay,Half Moon Bay,Half Moon Bay,13,24,see,Venice State Beach,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.48,-122.4511,Half Moon Bay State Beach,northamerica/unitedstates/california/halfmoonbay/half_moon_bay_state_beach,0.605,0.713,2.7,has_external_url,http://www.parks.ca.gov/?page_id=531,https://en.wikivoyage.org/wiki/Half_Moon_Bay
northamerica/unitedstates/kansas/abilene,Abilene,Abilene (Kansas),11,12,do,Great Plains Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.916934,-97.208974,Dickinson County Courthouse,northamerica/unitedstates/kansas/abilene/dickinson_county_courthouse,0.621,0.379,0.41,has_external_url,https://www.greatplainstheatre.com/,https://en.wikivoyage.org/wiki/Abilene_%28Kansas%29
northamerica/unitedstates/alaska/anchorage,Anchorage,Anchorage,23,84,see,Alaska Aviation Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,61.1778,-149.971,Lake Hood Seaplane Base,northamerica/unitedstates/alaska/anchorage/lake_hood_seaplane_base,0.659,0.341,5.912,has_external_url,http://www.alaskaairmuseum.org/,https://en.wikivoyage.org/wiki/Anchorage
northamerica/unitedstates/newyorkstate/syracuse,Syracuse,Syracuse (New York),11,70,see,Salt Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.0997542,-76.2068988,Erie Canal Museum,northamerica/unitedstates/newyorkstate/syracuse/erie_canal_museum,0.643,7.213,7.503,has_external_url,http://www.onondagacountyparks.com/parks/onondaga-lake-park/salt-museum/,https://en.wikivoyage.org/wiki/Syracuse_%28New_York%29
northamerica/unitedstates/northcarolina/asheville,Asheville,Asheville,20,153,see,The Smith-McDowell House Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.573056,-82.555,Asheville Art Museum,northamerica/unitedstates/northcarolina/asheville/asheville_art_museum,0.553,2.401,2.509,has_external_url,http://www.wnchistory.org/,https://en.wikivoyage.org/wiki/Asheville
northamerica/unitedstates/utah/st_george,St. George,St. George (Utah),5,47,see,Red Cliffs Utah Temple,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.08208,-113.519594,St. George Utah Temple,northamerica/unitedstates/utah/st_george/st_george_temple,0.605,6.423,6.433,has_external_url,https://www.churchofjesuschrist.org/temples/details/red-cliffs-utah-temple?lang=eng,https://en.wikivoyage.org/wiki/St._George_%28Utah%29
southamerica/ecuador/banos,Baños,Baños,7,30,see,Eco Zoo San Martin,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-1.3969,-78.4363,Melcocha Candy Making,southamerica/ecuador/banos/melcocha,0.564,1.398,20.624,has_external_url,http://ecozoosanmartin.com,https://en.wikivoyage.org/wiki/Ba%C3%B1os
australiaandpacific/newzealand/south_island/otago/dunedin,Dunedin,Dunedin,15,102,see,Dunedin Botanic Garden,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-45.8577,170.521,Dunedin Public Art Gallery,australiaandpacific/newzealand/south_island/otago/dunedin/dunedin_public_art_gallery,0.625,2.34,2.268,has_external_url,http://www.dunedinbotanicgarden.co.nz/,https://en.wikivoyage.org/wiki/Dunedin
europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/nottingham,Nottingham,Nottingham,16,76,see,Haunted Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.947765,-1.146178,National Justice Museum,europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/nottingham/national_justice_museum,0.596,0.404,0.67,has_external_url,https://www.thehauntedmuseum.co.uk/,https://en.wikivoyage.org/wiki/Nottingham
asia/taiwan/kaohsiung,Kaohsiung,Kaohsiung,27,56,see,Cijin Coast Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,22.601968,120.273693,Central Park,asia/taiwan/kaohsiung/central_park,0.571,3.736,4.434,has_external_url,https://khh.travel/en/attractions/detail/473,https://en.wikivoyage.org/wiki/Kaohsiung
europe/italy/friuliveneziagiulia/trieste,Trieste,Trieste,15,49,see,Museo della Bora,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.6443,13.76095,Museo Revoltella,europe/italy/friuliveneziagiulia/trieste/museo_revoltella,0.666,0.334,1.402,has_external_url,https://www.museobora.org/,https://en.wikivoyage.org/wiki/Trieste
northamerica/unitedstates/wyoming/cheyenne,Cheyenne,Cheyenne,14,21,see,Old West Museum & Store,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.15805,-104.833986,Nelson Museum of the West,northamerica/unitedstates/wyoming/cheyenne/nelson_museum,0.565,2.906,2.315,has_external_url,http://oldwestmuseum.org/,https://en.wikivoyage.org/wiki/Cheyenne
europe/unitedkingdom/england/manchester_liverpool_and_north_west/clitheroe,Clitheroe,Clitheroe,5,14,see,St Mary Magdalene,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.8743,-2.3902,Ribble Way,europe/unitedkingdom/england/manchester_liverpool_and_north_west/clitheroe/ribble_way,0.615,0.385,0.385,has_external_url,https://stmarysclitheroe.co.uk/,https://en.wikivoyage.org/wiki/Clitheroe
asia/china/hebei/tangshan,Tangshan,Tangshan,3,37,see,Tangshan Art Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.611643,118.17273,Tangshan Earthquake Memorial Museum,asia/china/hebei/tangshan/earthquake_memorial,0.704,1.815,1.394,has_external_url,http://www.tangshanmeishuguan.cn/,https://en.wikivoyage.org/wiki/Tangshan
europe/finland/oulu,Oulu,Oulu,19,84,see,Oulujoki church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,65.0055,25.5629,Oulu Cathedral,europe/finland/oulu/oulu_cathedral,0.552,4.217,4.411,has_external_url,https://www.oulunseurakunnat.fi/oulujoen-kirkko,https://en.wikivoyage.org/wiki/Oulu
