world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/belgium/zottegem,Zottegem,Zottegem,9,14,see,Art nouveau and Art deco buildings,0.55,candidate,has description; high-value type,,,Onze-Lieve-Vrouw-Hemelvaart Church and Egmont Crypt,europe/belgium/zottegem/onze_lieve_vrouw_church,0.306,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Zottegem,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/alaska/seward,Seward,Seward,6,35,do,Seavey's Ididaride,0.55,candidate,has description; high-value type,,,Kenai Fjords National Park Cruise,northamerica/unitedstates/alaska/seward/kenai_fjords_cruise,0.392,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Seward,candidate score 0.55 is below the 6.0 POI threshold
europe/hungary/budapest,Budapest,Budapest,57,94,see,Republic of Korea,0.55,candidate,has description; high-value type,,,House of Terror,europe/hungary/budapest/terror_haza,0.438,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Budapest,candidate score 0.55 is below the 6.0 POI threshold
europe/finland/mikkeli,Mikkeli,Mikkeli,5,34,do,Astuvansalmi,0.55,candidate,has description; high-value type,,,Headquarters Museum (Päämajan Museo),europe/finland/mikkeli/headquarters_museum,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mikkeli,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/hawaii/kailuakona,Kailua-Kona,Kailua-Kona,12,40,see,Lava Java,0.55,candidate,has description; high-value type,,,Kahaluu Bay,northamerica/unitedstates/hawaii/kailuakona/kahaluu_bay,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kailua-Kona,candidate score 0.55 is below the 6.0 POI threshold
asia/india/bihar/bhagalpur,Bhagalpur,Bhagalpur,5,11,see,Dargha of Shawaz Rahmat-ulla,0.55,candidate,has description; high-value type,,,Budhanath Temple,asia/india/bihar/bhagalpur/budhanath_temple,0.318,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bhagalpur,candidate score 0.55 is below the 6.0 POI threshold
asia/vietnam/dalat,Dalat,Da Lat,13,41,see,The Sinh Tourist,0.55,candidate,has description; high-value type,,,Bánh Mì & Xíu Mại Stalls,asia/vietnam/dalat/banh_mi_xiu_mai,0.378,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Da_Lat,candidate score 0.55 is below the 6.0 POI threshold
asia/china/hunan/huaihua,Huaihua,Huaihua,3,22,see,Hongjiang old commercial town,0.55,candidate,has description; high-value type,,,Zhijiang Surrender Hall,asia/china/hunan/huaihua/zhijiang_surrender_hall,0.462,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Huaihua,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/northrhinewestphalia/aachen,Aachen,Aachen,14,74,do,Frankenberger Viertel,0.55,candidate,has description; high-value type,,,Aachener Rathaus,europe/germany/northrhinewestphalia/aachen/rathaus,0.432,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Aachen,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/chiangrai,Chiang Rai,Chiang Rai,14,71,do,Wai Sa Phaya Mengrai or Phokhun Mengrai Maharat Festival,0.55,candidate,has description; high-value type,,,Wat Rong Khun (White Temple),asia/thailand/chiangrai/white_temple,0.29,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chiang_Rai,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/wisconsin/eau_claire,Eau Claire,Eau Claire (Wisconsin),5,87,do,Pioneer Days,0.55,candidate,has description; high-value type,,,Phoenix Park,northamerica/unitedstates/wisconsin/eau_claire/phoenix_park,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Eau_Claire_%28Wisconsin%29,candidate score 0.55 is below the 6.0 POI threshold
