world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/delaware/rehobothbeach,Rehoboth Beach,Rehoboth Beach,9,43,see,BestBus,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Tanger Outlets,northamerica/unitedstates/delaware/rehobothbeach/tanger_outlets,0.286,,,missing_coordinates; has_external_url,http://www.bestbus.com,https://en.wikivoyage.org/wiki/Rehoboth_Beach,"transport-only bus operator, not a see/do POI"
northamerica/unitedstates/arizona/yuma,Yuma,Yuma,6,33,see,Yuma Proving Ground Heritage Center,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Martinez Lake,northamerica/unitedstates/arizona/yuma/martinez_lake,0.333,,,missing_coordinates; has_external_url,http://www.yuma.army.mil/garrison/sites/directorates/ptms.asp,https://en.wikivoyage.org/wiki/Yuma,missing coordinates could not be verified to publication standard
northamerica/unitedstates/washington/mtrainiernp,Mt. Rainier National Park,Mount Rainier National Park,0,61,do,Moraine Park Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,,,0.0,,,missing_coordinates; has_external_url,https://www.nps.gov/mora/planyourvisit/carbon-glacier.htm,https://en.wikivoyage.org/wiki/Mount_Rainier_National_Park,linear trail listing lacked a verified publication-ready trailhead coordinate
northamerica/unitedstates/washington/mtrainiernp,Mt. Rainier National Park,Mount Rainier National Park,0,61,do,Wonderland Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,,,0.0,,,missing_coordinates; has_external_url,http://www.nps.gov/mora/trail/wonder.htm,https://en.wikivoyage.org/wiki/Mount_Rainier_National_Park,linear long-distance trail lacked a verified single publication-ready coordinate
northamerica/unitedstates/massachusetts/plymouth,Plymouth,Plymouth (Massachusetts),6,68,see,America's Hometown Trolley,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Burial Hill,northamerica/unitedstates/massachusetts/plymouth/burial_hill,0.378,,,missing_coordinates; has_external_url,http://www.p-b.com/ahs.html,https://en.wikivoyage.org/wiki/Plymouth_%28Massachusetts%29,transport/tour operator rather than a standalone POI
northamerica/unitedstates/westvirginia/wheeling,Wheeling,Wheeling,6,34,see,Historic National Road,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Wheeling Heritage Port,northamerica/unitedstates/westvirginia/wheeling/wheeling_heritage_port,0.364,,,missing_coordinates; has_external_url,https://www.fhwa.dot.gov/infrastructure/back0103.cfm,https://en.wikivoyage.org/wiki/Wheeling,road corridor is too broad for a city-level POI here
northamerica/unitedstates/pennsylvania/harrisburg,Harrisburg,Harrisburg,6,44,do,Pride Festival of Central PA,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Riverfront Park,northamerica/unitedstates/pennsylvania/harrisburg/riverfront_park,0.419,,,missing_coordinates; has_external_url,https://centralpapride.org/,https://en.wikivoyage.org/wiki/Harrisburg,event-only listing
europe/lithuania/kaunas,Kaunas,Kaunas,16,90,see,Church of Holy Trinity,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Town Hall Square,europe/lithuania/kaunas/town_hall_square,0.316,,,missing_coordinates; has_external_url,https://kaunoarkivyskupija.lt/kaunas/svc-trejybes-b/,https://en.wikivoyage.org/wiki/Kaunas,missing coordinates could not be verified to publication standard
northamerica/honduras/bayislands/roatan,Roatán,Roatán,20,40,see,Roatán Butterfly Garden,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Roatán Institute for Marine Sciences,northamerica/honduras/bayislands/roatan/dolphin_encounter,0.508,,,missing_coordinates; has_external_url,http://www.roatanisland.net/butterflygarden.htm,https://en.wikivoyage.org/wiki/Roat%C3%A1n,missing coordinates could not be verified to publication standard
asia/india/maharashtra/mumbai,Mumbai,Mumbai,93,62,do,Join for heritage walks,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Juhu Aerodrome and Heritage,asia/india/maharashtra/mumbai/juhu_airport,0.48,,,missing_coordinates; has_external_url,http://www.bombayheritagewalks.com,https://en.wikivoyage.org/wiki/Mumbai,"commercial walking-tour operator, not a standalone POI"
africa/southafrica/gardenroute/knysna,Knysna,Knysna,7,26,do,GoVertical Mountaineering Adventures,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Featherbed Nature Reserve,africa/southafrica/gardenroute/knysna/featherbed_nature_reserve,0.328,,,missing_coordinates; has_external_url,http://www.govertical.co.za,https://en.wikivoyage.org/wiki/Knysna,"commercial activity operator, not a standalone POI"
europe/denmark/copenhagen,Copenhagen,Copenhagen,101,98,do,Grøn Koncert,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Round Tower,europe/denmark/copenhagen/round_tower,0.435,,,missing_coordinates; has_external_url,http://groenkoncert.dk,https://en.wikivoyage.org/wiki/Copenhagen,event-only listing
northamerica/canada/ontario/sudbury,Sudbury,Sudbury (Ontario),18,65,see,Northern Ontario Railroad Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Onaping High Falls,northamerica/canada/ontario/sudbury/onaping_high_falls,0.32,,,missing_coordinates; has_external_url,https://normhc.com/,https://en.wikivoyage.org/wiki/Sudbury_%28Ontario%29,missing coordinates could not be verified to publication standard
europe/unitedkingdom/wales/machynlleth,Machynlleth,Machynlleth,6,13,see,Y Tabernacl,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Centre for Alternative Technology,europe/unitedkingdom/wales/machynlleth/centre_for_alternative_technology,0.364,,,missing_coordinates; has_external_url,http://www.momawales.org.uk/,https://en.wikivoyage.org/wiki/Machynlleth,missing coordinates could not be verified to publication standard
asia/turkey/ankara,Ankara,Ankara,13,116,see,Altınköy Open Air Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Ethnography Museum,asia/turkey/ankara/ethnography_museum,0.476,,,missing_coordinates; has_external_url,https://www.altinkoy.org/,https://en.wikivoyage.org/wiki/Ankara,missing coordinates could not be verified to publication standard
europe/romania/vama_veche,Vama Veche,Vama Veche,5,8,do,Party!!!,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,La Zero,europe/romania/vama_veche/la_zero,0.222,,,missing_coordinates; has_external_url,http://www.24fun.ro,https://en.wikivoyage.org/wiki/Vama_Veche,"vague nightlife/event listing, not a POI"
europe/austria/bludenz,Bludenz,Bludenz,4,34,see,St.Laurentiuskirche (church),0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Convent of St. Peter,europe/austria/bludenz/convent_of_st_peter,0.263,,,missing_coordinates; has_external_url,https://www.vorarlberg-alpenregion.at/de/bludenz/info/st-laurentiuskirche.html,https://en.wikivoyage.org/wiki/Bludenz,missing coordinates could not be verified to publication standard
southamerica/chile/concepcion,Concepción,Concepción,13,33,do,Hualpén Museum and the Desembocadura,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Plaza de la Independencia,southamerica/chile/concepcion/plaza_independencia,0.314,,,missing_coordinates; has_external_url,https://www.facebook.com/pages/Museo-Hualpen-y-Desembocadura-Rio-Biobio/456998981037878,https://en.wikivoyage.org/wiki/Concepci%C3%B3n,candidate combines multiple places and could not be located precisely
northamerica/unitedstates/newhampshire/portsmouth,Portsmouth,Portsmouth (New Hampshire),11,40,see,Albacore Museum and Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Strawbery Banke Museum,northamerica/unitedstates/newhampshire/portsmouth/strawbery_banke,0.478,,,missing_coordinates; has_external_url,http://www.ussalbacore.org/,https://en.wikivoyage.org/wiki/Portsmouth_%28New_Hampshire%29,duplicate of existing USS Albacore POI
northamerica/unitedstates/tennessee/johnson_city,Johnson City,Johnson City (Tennessee),7,25,do,Paradise Acres,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Appalachian Trail Access,northamerica/unitedstates/tennessee/johnson_city/appalachian_trail,0.526,,,missing_coordinates; has_external_url,https://paradiseacres.fun,https://en.wikivoyage.org/wiki/Johnson_City_%28Tennessee%29,ordinary commercial family-entertainment operator below the travel threshold
europe/russia/yaroslavl,Yaroslavl,Yaroslavl,5,7,see,Yaroslavl Architectural Historical and Art Museum Preserve,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Yaroslavl Art Museum,europe/russia/yaroslavl/yaroslavl_art_museum,0.513,,,missing_coordinates; has_external_url,http://www.yarkremlin.ru/,https://en.wikivoyage.org/wiki/Yaroslavl,missing coordinates could not be verified to publication standard
northamerica/canada/britishcolumbia/burnaby,Burnaby,Burnaby,8,38,see,TransLink,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Burnaby Mountain Park,northamerica/canada/britishcolumbia/burnaby/burnaby_mountain_park,0.333,,,missing_coordinates; has_external_url,https://www.translink.ca/,https://en.wikivoyage.org/wiki/Burnaby,"transport agency, not a see/do POI"
northamerica/unitedstates/newmexico/ruidoso,Ruidoso,Ruidoso,7,10,do,Ruidoso Winter Park - Tubing,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Ruidoso Downs Racetrack,northamerica/unitedstates/newmexico/ruidoso/ruidoso_downs,0.531,,,missing_coordinates; has_external_url,https://www.ruidosowinterpark.com/,https://en.wikivoyage.org/wiki/Ruidoso,commercial seasonal operator below the local travel threshold
