world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/hungary/esztergom,Esztergom,Esztergom,6,86,see,Sándor Earl palace,0.74,candidate,has coordinates; has description; high-value type; strong travel term,47.7897,18.73893,Royal Palace Ruins,europe/hungary/esztergom/royal_palace_ruins,0.556,1.086,0.456,needs_external_source,,https://en.wikivoyage.org/wiki/Esztergom
europe/ukraine/kharkiv,Kharkiv,Kharkiv,13,157,see,Kostiuryns'kyi provulok City Gallery,0.74,candidate,has coordinates; has description; high-value type; strong travel term,49.98802,36.23395,Kharkiv Metro,europe/ukraine/kharkiv/kharkiv_metro,0.552,0.448,0.522,needs_external_source,,https://en.wikivoyage.org/wiki/Kharkiv
asia/indonesia/maluku/tidore,Tidore,Tidore,14,11,do,Kiematabu,0.74,candidate,has coordinates; has description; high-value type; strong travel term,0.6619,127.4024,Gunung Kiematubu,asia/indonesia/maluku/tidore/gunung_kiematubu,0.64,2.394,2.394,needs_external_source,,https://en.wikivoyage.org/wiki/Tidore
asia/oman/muscat,Muscat,Muscat,24,152,see,Bait al-Baranda Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,23.622915,58.560701,Bait Al Zubair,asia/oman/muscat/bait_al_zubair,0.611,3.07,3.572,needs_external_source,,https://en.wikivoyage.org/wiki/Muscat
asia/taiwan/taoyuan,Taoyuan,Taoyuan,9,50,see,Xiao Wulai Scenic Area,0.74,candidate,has coordinates; has description; high-value type; strong travel term,24.790638,121.375187,Longtan Scenic Area,asia/taiwan/taoyuan/longtan_scenic_area,0.683,18.079,23.713,needs_external_source,,https://en.wikivoyage.org/wiki/Taoyuan
asia/palestinianauthority/gazastrip,Gaza Strip,Gaza Strip,11,21,see,Grand Omari Mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,31.501222,34.471389,Sayed al-Hashim Mosque,asia/palestinianauthority/gazastrip/sayed_al_hashim_mosque,0.6,1.083,22.437,needs_external_source,,https://en.wikivoyage.org/wiki/Gaza_Strip
asia/cyprus/ayianapa,Ayia Napa,Ayia Napa,8,21,do,Katsarka Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,34.9849,33.9903,Ayia Napa Monastery,asia/cyprus/ayianapa/ayia_napa_monaster,0.65,0.35,0.727,needs_external_source,,https://en.wikivoyage.org/wiki/Ayia_Napa
europe/ukraine/chernihiv,Chernihiv,Chernihiv,6,39,see,Resurrection Church,0.74,candidate,has coordinates; has description; high-value type; strong travel term,51.493328,31.288825,Catherine's Church,europe/ukraine/chernihiv/catherines_church,0.595,1.34,0.394,needs_external_source,,https://en.wikivoyage.org/wiki/Chernihiv
asia/pakistan/karachi,Karachi,Karachi,50,197,see,Manora Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,24.8015,66.96218,Gadani Beach,asia/pakistan/karachi/gadani_beach,0.667,32.405,8.358,needs_external_source,,https://en.wikivoyage.org/wiki/Karachi
asia/indonesia/sumatra/palembang,Palembang,Palembang,14,29,see,Kemaro Island,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-2.9794,104.8195,Kemaro Island and Pagoda,asia/indonesia/sumatra/palembang/kemaro_island,0.703,1.268,7.035,needs_external_source,,https://en.wikivoyage.org/wiki/Palembang
africa/southafrica/stellenbosch,Stellenbosch,Stellenbosch,6,23,see,St Mary's Anglican Church,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-33.9362,18.8586,Dorp Street,africa/southafrica/stellenbosch/dorp_street,0.65,0.35,0.994,needs_external_source,,https://en.wikivoyage.org/wiki/Stellenbosch
europe/serbia/kosovoprovince/prizren,Prizren,Prizren,7,50,see,Suzi Celebi Mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,42.209532,20.734073,Sinan Pasha Mosque,europe/serbia/kosovoprovince/prizren/sinan_pasha_mosque,0.556,0.637,0.763,needs_external_source,,https://en.wikivoyage.org/wiki/Prizren
asia/iran/kishisland,Kish island,Kish Island,8,30,see,Kish Dolphin & Crocodile Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,26.506679,54.034882,Kish Dolphin Park,asia/iran/kishisland/dolphin_park,0.708,8.334,7.009,needs_external_source,,https://en.wikivoyage.org/wiki/Kish_Island
asia/indonesia/java/semarang,Semarang,Semarang,8,164,see,Johar Market,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-6.9713,110.4247,Kota Lama,asia/indonesia/java/semarang/kota_lama,0.554,0.446,2.133,needs_external_source,,https://en.wikivoyage.org/wiki/Semarang
asia/vietnam/hanoi,Hanoi,Hanoi,46,144,see,Voi Phục Temple,0.74,candidate,has coordinates; has description; high-value type; strong travel term,21.030636,105.804138,Ngoc Son Temple,asia/vietnam/hanoi/ngoc_son_temple,0.6,4.968,5.186,needs_external_source,,https://en.wikivoyage.org/wiki/Hanoi
asia/china/guangxi/liuzhou,Liuzhou,Liuzhou,6,13,see,Liyufeng Scenic Area,0.74,candidate,has coordinates; has description; high-value type; strong travel term,24.30341836,109.40838066,Lequn Society Building,asia/china/guangxi/liuzhou/lequn_society_building,0.581,0.419,1.639,needs_external_source,,https://en.wikivoyage.org/wiki/Liuzhou
