world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
africa/nigeria/kaduna,Kaduna,Kaduna,6,16,see,Splash Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,10.52443,7.48868,Kaduna Central Market,africa/nigeria/kaduna/kaduna_central_market,0.312,5.889,5.799,needs_external_source,,https://en.wikivoyage.org/wiki/Kaduna
northamerica/unitedstates/indiana/bedford,Bedford,Bedford (Indiana),9,27,see,Wilson Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.8555,-86.4991,Spring Mill State Park,northamerica/unitedstates/indiana/bedford/spring_mill_state_park,0.485,15.768,1.188,needs_external_source,,https://en.wikivoyage.org/wiki/Bedford_%28Indiana%29
asia/japan/honshu/nara,Nara,Nara,11,48,see,Ukimidō,0.89,candidate,has coordinates; has description; high-value type; strong travel term,34.680147,135.838638,Nara National Museum,asia/japan/honshu/nara/nara_national_museum,0.47,0.53,3.125,needs_external_source,,https://en.wikivoyage.org/wiki/Nara
northamerica/unitedstates/virginia/lynchburg,Lynchburg,Lynchburg,6,54,see,Riverside Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,37.437482,-79.163208,James River Bluff Walk,northamerica/unitedstates/virginia/lynchburg/james_river_bluff_walk,0.444,2.942,3.223,needs_external_source,,https://en.wikivoyage.org/wiki/Lynchburg
europe/italy/sicily/trapani,Trapani,Trapani,7,70,do,Teatro Maestro Tonino Pardo,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.01287,12.56566,Museo Regionale Agostino Pepoli,europe/italy/sicily/trapani/museo_pepoli,0.414,2.133,4.895,needs_external_source,,https://en.wikivoyage.org/wiki/Trapani
europe/portugal/setubal,Setúbal,Setúbal,13,47,do,Galápos Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.48453,-8.96406,Cathedral of Setúbal,europe/portugal/setubal/cathedral,0.485,7.944,7.578,needs_external_source,,https://en.wikivoyage.org/wiki/Set%C3%BAbal
asia/indonesia/bali/nusapenida,Nusa Penida,Nusa Penida,5,31,see,Peguyangan Spring,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-8.7813,115.5195,Manta Point,asia/indonesia/bali/nusapenida/manta_point,0.5,7.51,6.044,needs_external_source,,https://en.wikivoyage.org/wiki/Nusa_Penida
europe/russia/irkutsk,Irkutsk,Irkutsk,10,66,see,Prince Vladimir's Church (Church Litvintsevskaya),0.89,candidate,has coordinates; has description; high-value type; strong travel term,52.29785,104.33279,Decembrist Museums,europe/russia/irkutsk/decembrist_museum,0.333,2.689,3.73,needs_external_source,,https://en.wikivoyage.org/wiki/Irkutsk
africa/egypt/hurghada,Hurghada,Hurghada,44,26,do,El Sawaky Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,27.259237,33.824132,Papas Bar,africa/egypt/hurghada/papas_bar,0.476,9.248,4.169,needs_external_source,,https://en.wikivoyage.org/wiki/Hurghada
southamerica/argentina/patagonia/ushuaia,Ushuaia,Ushuaia,9,51,see,Plaza Malvinas,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-54.8103,-68.3157,Bahía Lapataia,southamerica/argentina/patagonia/ushuaia/bahia_lapataia,0.462,16.195,0.575,needs_external_source,,https://en.wikivoyage.org/wiki/Ushuaia
europe/switzerland/neuchatel,Neuchatel,Neuchatel,8,33,see,Église Rouge,0.89,candidate,has coordinates; has description; high-value type; strong travel term,46.9947,6.9415,Musée d'Art et d'Histoire,europe/switzerland/neuchatel/musee_art_et_histoire,0.422,0.578,1.085,needs_external_source,,https://en.wikivoyage.org/wiki/Neuchatel
