batch,row,world66_path,world66_title,wv_type,wv_name,reject_reason,source_url,external_url
batch_0056,2,northamerica/unitedstates/montana/billings,Billings,see,NILE Stock Show and Rodeo,Seasonal livestock show and rodeo is event-led and below the travel-worthy POI threshold for Billings.,https://en.wikivoyage.org/wiki/Billings,https://thenile.org/
batch_0056,3,northamerica/unitedstates/northcarolina/winstonsalem,Winston-Salem,see,The Southeastern Center for Contemporary Art,Duplicate: SECCA already exists under this parent as an accepted POI.,https://en.wikivoyage.org/wiki/Winston-Salem,https://secca.org/
batch_0056,5,europe/finland/turku,Turku,see,24pesula,"Commercial laundromat/service, not a travel-worthy see/do POI.",https://en.wikivoyage.org/wiki/Turku,https://24pesula.fi/en/city/turku/
batch_0056,9,europe/unitedkingdom/england/south_east/oxford,Oxford,see,Tolkien's House,Private literary house with no reliable public visitor access; better handled in prose if needed.,https://en.wikivoyage.org/wiki/Oxford,http://tolkienestate.com
batch_0056,10,asia/malaysia/johorbahru,Johor Bahru,see,A to Z Language Centre Johor Bahru,"Language school/service business, not a travel POI.",https://en.wikivoyage.org/wiki/Johor_Bahru,https://atozlanguage.com/johor-bahru/
batch_0056,12,northamerica/unitedstates/california/mountainvieuw,Mountain View,do,NASA Ames Research Center,Research center is not generally a visitor attraction at these coordinates.,https://en.wikivoyage.org/wiki/Mountain_View_%28California%29,https://www.nasa.gov/ames
batch_0056,14,australiaandpacific/newzealand/greater_wellington/wellington,Wellington,see,Wellington Visitor Information Centre,"Visitor information centre, not a destination POI.",https://en.wikivoyage.org/wiki/Wellington,https://www.wellingtonnz.com/
batch_0056,15,europe/france/alpes/chamonix,Chamonix,do,Brevent cable car,Duplicate/covered by existing Le Brévent POI under Chamonix.,https://en.wikivoyage.org/wiki/Chamonix,"https://www.chamonix.com/planpraz-brevent,82,en.html"
batch_0056,19,europe/hungary/sopron,Sopron,do,Sopron Crazy Garage,Escape-room/recreation business below the travel threshold.,https://en.wikivoyage.org/wiki/Sopron,http://www.sopron.crazygarage.hu/home
batch_0056,20,northamerica/unitedstates/utah/provo,Provo,do,Fat Cats,Bowling/arcade chain entertainment below the travel threshold.,https://en.wikivoyage.org/wiki/Provo,https://www.fatcatsfun.com/locations/provo/
batch_0056,24,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,do,Sheffield Tigers,Speedway team/event is too niche and calendar-dependent for a Sheffield things-to-do POI.,https://en.wikivoyage.org/wiki/Sheffield,http://www.sheffield-speedway.com/
