world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/mexico/chichenitza,Chichen Itza,Chichen Itza,0,27,see,High Priest's Grave,0.55,candidate,has description; high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chichen_Itza,candidate score 0.55 is below the 6.0 POI threshold
europe/azerbaijan/saki,Sheki,Sheki,1,30,do,Drama Theater,0.55,candidate,has description; high-value type,,,Eating Out,europe/azerbaijan/saki/eating_out,0.261,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sheki,candidate score 0.55 is below the 6.0 POI threshold
europe/portugal/aveiro,Aveiro,Aveiro,5,35,see,Edifício Paços do Concelho,0.55,candidate,has description; high-value type,,,Church of São João Evangelista,europe/portugal/aveiro/sao_joao_evangelista,0.393,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Aveiro,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/ilhabela,Ilhabela,Ilhabela,11,26,see,Pequeá,0.55,candidate,has description; high-value type,,,Praia do Bonete,southamerica/brazil/ilhabela/praia_do_bonete,0.3,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ilhabela,candidate score 0.55 is below the 6.0 POI threshold
europe/ukraine/chernihiv,Chernihiv,Chernihiv,6,39,see,The former house of Mykolaiv diocese fraternity,0.55,candidate,has description; high-value type,,,Boris and Gleb Cathedral,europe/ukraine/chernihiv/boris_and_gleb_cathedral,0.269,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chernihiv,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/virginia/charlottesville,Charlottesville,Charlottesville,11,94,see,Dazzling fall colors,0.55,candidate,has description; high-value type,,,Downtown Mall,northamerica/unitedstates/virginia/charlottesville/downtown_mall,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Charlottesville,candidate score 0.55 is below the 6.0 POI threshold
africa/botswana/maun,Maun,Maun,13,21,see,Safari Air,0.55,candidate,has description; high-value type,,,Maun Airport,africa/botswana/maun/maun_airport,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Maun,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/oklahoma/ada,Ada,Ada (Oklahoma),6,10,do,Stratford Peach Festival,0.55,candidate,has description; high-value type,,,Ada Arts and Heritage Center,northamerica/unitedstates/oklahoma/ada/ada_arts_and_heritage_center,0.308,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ada_%28Oklahoma%29,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/hawaii/kailuakona,Kailua-Kona,Kailua-Kona,12,40,see,Safeway,0.55,candidate,has description; high-value type,,,Kahaluu Bay,northamerica/unitedstates/hawaii/kailuakona/kahaluu_bay,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kailua-Kona,candidate score 0.55 is below the 6.0 POI threshold
asia/indonesia/java/semarang,Semarang,Semarang,8,164,do,Jaran Sampo,0.55,candidate,has description; high-value type,,,Lawang Sewu,asia/indonesia/java/semarang/lawang_sewu,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Semarang,candidate score 0.55 is below the 6.0 POI threshold
asia/china/xinjiangprovince/cherchen,Cherchen,Cherchen,3,11,see,Kunlun Square,0.55,candidate,has description; high-value type,,,Zaghunluq Cemetery,asia/china/xinjiangprovince/cherchen/zaghunluq_cemetery,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cherchen,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/florida/palatka,Palatka,Palatka,4,20,do,Florida Azalea Festival,0.55,candidate,has description; high-value type,,,Ocala National Forest Springs,northamerica/unitedstates/florida/palatka/ocala_springs,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Palatka,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/australia/newsouthwales/sydney,Sydney,Sydney,47,43,see,Custom Luggage Repair Centre,0.55,candidate,has description; high-value type,,,Chinese Noodle Restaurant,australiaandpacific/australia/newsouthwales/sydney/chinese_noodle_res,0.453,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sydney,candidate score 0.55 is below the 6.0 POI threshold
southamerica/venezuela/merida,Mérida,"Mérida (city, Venezuela)",5,11,do,Pico Bolivar or Pico Humboldt,0.55,candidate,has description; high-value type,,,Plaza Bolívar,southamerica/venezuela/merida/plaza_bolivar,0.381,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/M%C3%A9rida_%28city%2C_Venezuela%29,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/chiangmai,Chiang mai,Chiang Mai,37,236,do,Cycling,0.55,candidate,has description; high-value type,,,Cycling in Chiang Mai,asia/thailand/chiangmai/chiang_mai_biking,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chiang_Mai,candidate score 0.55 is below the 6.0 POI threshold
asia/japan/honshu/niigata,Niigata,Niigata,7,24,see,JR Information Center,0.55,candidate,has description; high-value type,,,Niigata-City Performing Arts Center (Ryutopia),asia/japan/honshu/niigata/ryutopia,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Niigata,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,see,Early highrise buildings,0.55,candidate,has description; high-value type,,,Bach Museum Leipzig,europe/germany/saxony/leipzig/bachmuseum,0.372,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Leipzig,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/australia/queensland/townsville,Townsville,Townsville,7,65,do,Water Playground,0.55,candidate,has description; high-value type,,,The Strand,australiaandpacific/australia/queensland/townsville/the_strand,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Townsville,candidate score 0.55 is below the 6.0 POI threshold
asia/china/gansu/xiahe,Xiahe,Xiahe,5,13,see,Thangka sunning Terrace,0.55,candidate,has description; high-value type,,,Labrang Monastery,asia/china/gansu/xiahe/labrang_monastery,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Xiahe,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/spanishcostas/losgigantes,Los Gigantes,Los Gigantes,5,22,do,Dolphine and whale watching,0.55,candidate,has description; high-value type,,,Los Gigantes Marina,europe/spain/spanishcostas/losgigantes/los_gigantes_marina,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Los_Gigantes,candidate score 0.55 is below the 6.0 POI threshold
asia/china/heilongjiang/harbin,Harbin,Harbin,7,108,do,Yangge Traditional Chinese Dance,0.55,candidate,has description; high-value type,,,Zhongyang Dajie (Central Street),asia/china/heilongjiang/harbin/zhongyang_dajie,0.34,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Harbin,candidate score 0.55 is below the 6.0 POI threshold
