world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/mexico/veracruz,Veracruz,Veracruz,11,44,do,Take a jog in the sea air,0.7,candidate,has coordinates; has description; high-value type,19.1837,-96.1248,Acuario de Veracruz,northamerica/mexico/veracruz/acuario_veracruz,0.551,0.449,3.076,needs_external_source,,https://en.wikivoyage.org/wiki/Veracruz
europe/switzerland/zurich,Zurich,Zurich,54,136,see,Lake Promenade,0.7,candidate,has coordinates; has description; high-value type,47.3603,8.5474,Kronenhalle,europe/switzerland/zurich/kronenhalle,0.56,0.718,1.645,needs_external_source,,https://en.wikivoyage.org/wiki/Zurich
asia/china/jiangsu_province/nanjing,Nanjing,Nanjing,51,72,see,City Wall of Nanjing,0.7,candidate,has coordinates; has description; high-value type,32.013943,118.776838,Drum Tower of Nanjing,asia/china/jiangsu_province/nanjing/drum_tower,0.634,4.997,3.329,needs_external_source,,https://en.wikivoyage.org/wiki/Nanjing
asia/india/madhyapradesh/bhopal,Bhopal,Bhopal,7,24,see,Lower Lake,0.7,candidate,has coordinates; has description; high-value type,23.24848,77.40565,Upper Lake (Bada Talaab),asia/india/madhyapradesh/bhopal/upper_lake,0.7,1.374,1.174,needs_external_source,,https://en.wikivoyage.org/wiki/Bhopal
asia/china/zhejiang/mount-putuo,Mount Putuo,Mount Putuo,6,24,see,Chao Yindong,0.7,candidate,has coordinates; has description; high-value type,29.9803,122.3902,Chaoyin Cave,asia/china/zhejiang/mount-putuo/chaoyin_cave,0.583,3.459,3.307,needs_external_source,,https://en.wikivoyage.org/wiki/Mount_Putuo
northamerica/elsalvador/santaana,Santa Ana,Santa Ana (El Salvador),10,110,see,Parroquia San Lorenzo,0.7,candidate,has coordinates; has description; high-value type,13.9983,-89.55565,Cathedral of Santa Ana,northamerica/elsalvador/santaana/cathedral_santa_ana,0.6,0.4,0.631,needs_external_source,,https://en.wikivoyage.org/wiki/Santa_Ana_%28El_Salvador%29
europe/estonia/tartu,Tartu,Tartu,16,89,see,Devil's Bridge,0.7,candidate,has coordinates; has description; high-value type,58.378934,26.715897,Café Werner,europe/estonia/tartu/restaurant_werner,0.625,0.375,0.772,needs_external_source,,https://en.wikivoyage.org/wiki/Tartu
asia/china/fujianprovince/tulou,Fujian Tulou,Fujian Tulou,3,16,see,Hukeng/Hongkeng Tulou Cluster Scenic Spot,0.7,candidate,has coordinates; has description; high-value type,24.666,116.9727,Tianluokeng Tulou Cluster,asia/china/fujianprovince/tulou/tianluokeng_tulou_cluster,0.606,12.103,12.403,needs_external_source,,https://en.wikivoyage.org/wiki/Fujian_Tulou
asia/thailand/pai,Pai,Pai,11,33,do,Sai Ngam Hot Spring,0.7,candidate,has coordinates; has description; high-value type,19.459,98.3805,Tha Pai Hot Springs,asia/thailand/pai/tha_pai_hot_springs,0.684,18.89,12.788,needs_external_source,,https://en.wikivoyage.org/wiki/Pai
asia/philippines/alaminos,Alaminos,Alaminos,6,27,see,Lucap Wharf/Lighthouse,0.7,candidate,has coordinates; has description; high-value type,16.19291,120.00332,Lucap Wharf,asia/philippines/alaminos/lucap_wharf,0.667,0.667,4.902,needs_external_source,,https://en.wikivoyage.org/wiki/Alaminos
asia/china/sichuanprovince/xichang,Xichang,Xichang,6,23,do,Small fishing village,0.7,candidate,has coordinates; has description; high-value type,27.846061,102.295831,Dashiban Ancient Village,asia/china/sichuanprovince/xichang/dashiban_ancient_village,0.578,3.215,6.023,needs_external_source,,https://en.wikivoyage.org/wiki/Xichang
asia/india/uttaranchal/mussoorie,Mussoorie,Mussoorie,13,47,see,Bhatta falls,0.7,candidate,has coordinates; has description; high-value type,30.438933,78.074389,Kempty Falls,asia/india/uttaranchal/mussoorie/kempty_falls,0.583,9.117,2.033,needs_external_source,,https://en.wikivoyage.org/wiki/Mussoorie
europe/france/centre/auvergne/vichy,Vichy,Vichy,14,77,do,Parc Kennedy,0.7,candidate,has coordinates; has description; high-value type,46.1194,3.4216,Parc des Sources,europe/france/centre/auvergne/vichy/parc_des_sources,0.568,0.432,0.522,needs_external_source,,https://en.wikivoyage.org/wiki/Vichy
europe/netherlands/arnhem,Arnhem,Arnhem,12,78,see,Waterval Jansbeek,0.7,candidate,has coordinates; has description; high-value type,51.978045,5.904638,St Eusebius' Church,europe/netherlands/arnhem/st_eusebius_church,0.605,0.395,0.884,needs_external_source,,https://en.wikivoyage.org/wiki/Arnhem
asia/india/delhi,Delhi,Delhi,105,20,see,Brunei,0.7,candidate,has coordinates; has description; high-value type,28.5461473,77.2089878,Social Hauz Khas,asia/india/delhi/hauz_khas_social,0.633,0.367,7.533,needs_external_source,,https://en.wikivoyage.org/wiki/Delhi
asia/india/maharashtra/nashik,Nashik,Nashik,5,73,see,Nashik Caves,0.7,candidate,has coordinates; has description; high-value type,19.941667,73.748611,Pandavleni Caves,asia/india/maharashtra/nashik/pandavleni_caves,0.571,6.677,8.876,needs_external_source,,https://en.wikivoyage.org/wiki/Nashik
